  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 300 (FRIEDRICHSHAFEN G20) AIRFOIL           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.0731   0.05550   0.05204  -0.0966   0.8889   0.0533
  -4.500   0.1488   0.05066   0.04669  -0.1080   0.8656   0.0608
  -4.000   0.1819   0.04341   0.03936  -0.1080   0.8401   0.0632
  -3.000   0.2899   0.03404   0.02928  -0.1126   0.7899   0.0791
  -2.500   0.3483   0.02998   0.02469  -0.1143   0.7665   0.0911
  -2.000   0.4049   0.02679   0.02106  -0.1153   0.7431   0.1055
  -1.500   0.4607   0.02425   0.01808  -0.1157   0.7221   0.1218
  -0.500   0.5713   0.02062   0.01370  -0.1161   0.6842   0.1670
   0.000   0.6253   0.01928   0.01212  -0.1160   0.6661   0.2014
   0.500   0.6871   0.01801   0.01020  -0.1155   0.6485   0.1633
   1.000   0.7465   0.01633   0.00787  -0.1144   0.6311   0.1171
   1.500   0.8006   0.01561   0.00701  -0.1138   0.6123   0.1185
   2.000   0.8539   0.01527   0.00661  -0.1131   0.5926   0.1254
   2.500   0.9072   0.01505   0.00626  -0.1123   0.5734   0.1303
   3.000   0.9593   0.01479   0.00602  -0.1114   0.5523   0.1410
   3.500   1.0106   0.01471   0.00599  -0.1105   0.5292   0.1606
   4.000   1.0620   0.01461   0.00613  -0.1097   0.5081   0.2705
   4.500   1.1129   0.01394   0.00636  -0.1086   0.4882   1.0000
   5.000   1.1632   0.01443   0.00677  -0.1076   0.4672   1.0000
   5.500   1.2130   0.01494   0.00724  -0.1066   0.4475   1.0000
   6.000   1.2629   0.01552   0.00781  -0.1057   0.4311   1.0000
   6.500   1.3116   0.01611   0.00841  -0.1046   0.4143   1.0000
   7.000   1.3594   0.01675   0.00908  -0.1035   0.3978   1.0000
   7.500   1.4060   0.01746   0.00985  -0.1022   0.3815   1.0000
   8.000   1.4504   0.01824   0.01067  -0.1005   0.3632   1.0000
   8.500   1.4922   0.01917   0.01162  -0.0985   0.3430   1.0000
   9.000   1.5291   0.02010   0.01275  -0.0958   0.3183   1.0000
   9.500   1.5599   0.02129   0.01401  -0.0922   0.2890   1.0000
  10.000   1.5817   0.02263   0.01540  -0.0874   0.2561   1.0000
  10.500   1.5971   0.02438   0.01714  -0.0821   0.2255   1.0000
  11.000   1.6085   0.02678   0.01949  -0.0772   0.2027   1.0000
  11.500   1.6198   0.02958   0.02234  -0.0730   0.1865   1.0000
  12.000   1.6285   0.03284   0.02568  -0.0692   0.1732   1.0000
  12.500   1.6341   0.03657   0.02952  -0.0660   0.1591   1.0000
  13.000   1.6371   0.04084   0.03398  -0.0635   0.1443   1.0000
  13.500   1.6401   0.04576   0.03921  -0.0626   0.1159   1.0000
  14.000   1.6095   0.05485   0.04804  -0.0616   0.0639   1.0000
  15.000   1.5426   0.07584   0.06912  -0.0624   0.0352   1.0000
  15.500   1.5110   0.08724   0.08077  -0.0643   0.0318   1.0000
  16.000   1.4828   0.09865   0.09248  -0.0669   0.0298   1.0000
  16.500   1.4609   0.10937   0.10349  -0.0698   0.0281   1.0000
  17.000   1.4410   0.11998   0.11433  -0.0730   0.0266   1.0000
  17.500   1.4261   0.12967   0.12418  -0.0762   0.0252   1.0000
  18.000   1.4234   0.13594   0.13045  -0.0770   0.0233   1.0000
