  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 301 (FRIEDRICHSHAFEN G 13) AIRFOIL          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1222   0.05210   0.04848  -0.1139   0.8967   0.0586
  -4.500   0.1971   0.04448   0.04048  -0.1263   0.8729   0.0635
  -4.000   0.2545   0.03977   0.03546  -0.1308   0.8432   0.0698
  -3.500   0.3153   0.03448   0.02973  -0.1356   0.8159   0.0751
  -3.000   0.3801   0.03068   0.02526  -0.1393   0.7924   0.0858
  -2.500   0.4303   0.02750   0.02191  -0.1399   0.7683   0.0920
  -2.000   0.4879   0.02480   0.01876  -0.1412   0.7476   0.1059
   0.000   0.6979   0.00490  -0.00313  -0.1335   0.6555   0.0831
   0.500   0.7511   0.00437  -0.00391  -0.1327   0.6357   0.0860
   1.000   0.8028   0.00397  -0.00436  -0.1318   0.6153   0.0934
   1.500   0.8542   0.00367  -0.00472  -0.1308   0.5945   0.1076
   2.000   0.9047   0.00351  -0.00483  -0.1298   0.5736   0.1369
   2.500   0.9543   0.00296  -0.00392  -0.1286   0.5556   1.0000
   3.000   1.0043   0.00316  -0.00395  -0.1274   0.5363   1.0000
   3.500   1.0538   0.00339  -0.00392  -0.1263   0.5172   1.0000
   4.000   1.1031   0.00367  -0.00379  -0.1252   0.4997   1.0000
   4.500   1.1518   0.00399  -0.00357  -0.1240   0.4824   1.0000
   5.000   1.1985   0.00433  -0.00327  -0.1225   0.4635   1.0000
   5.500   1.2448   0.00474  -0.00288  -0.1211   0.4457   1.0000
   6.000   1.2906   0.00521  -0.00241  -0.1195   0.4287   1.0000
   6.500   1.3343   0.00571  -0.00190  -0.1177   0.4108   1.0000
   7.000   1.3767   0.00627  -0.00129  -0.1157   0.3935   1.0000
   7.500   1.4174   0.00689  -0.00062  -0.1134   0.3766   1.0000
   8.000   1.4557   0.00755   0.00013  -0.1107   0.3596   1.0000
   8.500   1.4908   0.00827   0.00094  -0.1076   0.3426   1.0000
   9.000   1.5222   0.00909   0.00186  -0.1039   0.3258   1.0000
   9.500   1.5469   0.01000   0.00286  -0.0991   0.3093   1.0000
  10.000   1.5662   0.01111   0.00406  -0.0937   0.2926   1.0000
  10.500   1.5748   0.01240   0.00554  -0.0872   0.2729   1.0000
  11.000   1.5774   0.01426   0.00752  -0.0806   0.2525   1.0000
  11.500   1.5769   0.01695   0.01027  -0.0747   0.2337   1.0000
  12.000   1.5744   0.02046   0.01388  -0.0694   0.2170   1.0000
  12.500   1.5709   0.02474   0.01834  -0.0649   0.2026   1.0000
  13.000   1.5639   0.03000   0.02383  -0.0610   0.1892   1.0000
  13.500   1.5535   0.03629   0.03034  -0.0579   0.1765   1.0000
  14.000   1.5394   0.04352   0.03779  -0.0553   0.1647   1.0000
  14.500   1.5206   0.05168   0.04616  -0.0532   0.1538   1.0000
  15.000   1.4958   0.06078   0.05547  -0.0517   0.1430   1.0000
  15.500   1.4640   0.07079   0.06564  -0.0508   0.1316   1.0000
  16.000   1.4263   0.08130   0.07634  -0.0508   0.1194   1.0000
  16.500   1.3814   0.09219   0.08746  -0.0517   0.1053   1.0000
  17.000   1.3251   0.10247   0.09806  -0.0528   0.0847   1.0000
  17.500   1.2622   0.11283   0.10851  -0.0552   0.0672   1.0000
  18.000   1.2055   0.12366   0.11940  -0.0590   0.0576   1.0000
