  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 308 (MVA H.40) AIRFOIL                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1602   0.05641   0.05308  -0.0614   0.9557   0.0566
  -4.500  -0.0936   0.04860   0.04495  -0.0706   0.9421   0.0672
  -4.000  -0.0283   0.04223   0.03826  -0.0766   0.9294   0.0796
  -3.500   0.0440   0.03612   0.03175  -0.0824   0.9192   0.0921
  -3.000   0.1121   0.03093   0.02600  -0.0858   0.9053   0.1040
  -2.500   0.1739   0.02761   0.02207  -0.0866   0.8858   0.1165
  -2.000   0.2346   0.01686   0.00973  -0.0852   0.8675   0.0652
  -1.500   0.2968   0.01477   0.00731  -0.0858   0.8420   0.0685
  -1.000   0.3553   0.01341   0.00568  -0.0853   0.8120   0.0711
  -0.500   0.4085   0.01255   0.00464  -0.0839   0.7772   0.0775
   0.000   0.4575   0.01212   0.00415  -0.0817   0.7365   0.1058
   0.500   0.5050   0.01194   0.00385  -0.0794   0.6904   0.1535
   1.000   0.5526   0.01212   0.00380  -0.0774   0.6439   0.1836
   1.500   0.5991   0.01229   0.00378  -0.0752   0.6033   0.2070
   2.000   0.6391   0.01164   0.00386  -0.0722   0.5725   0.5421
