  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 316 (HANSA-BRANDENBURG IV.5) AIRFOIL        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1550   0.04707   0.04337  -0.0604   0.9182   0.0526
  -4.500  -0.1018   0.04118   0.03672  -0.0633   0.8796   0.0603
  -4.000  -0.0631   0.03648   0.03184  -0.0624   0.8467   0.0643
  -3.500  -0.0114   0.03228   0.02700  -0.0627   0.8197   0.0744
  -3.000   0.0411   0.02941   0.02347  -0.0624   0.7945   0.0872
  -2.000   0.1439   0.02335   0.01681  -0.0624   0.7426   0.1216
   0.000   0.3766   0.01549   0.00694  -0.0585   0.6236   0.0783
   0.500   0.4319   0.01445   0.00556  -0.0575   0.5783   0.0742
   1.000   0.4858   0.01387   0.00476  -0.0568   0.5269   0.0767
   1.500   0.5399   0.01373   0.00438  -0.0564   0.4840   0.0826
   2.000   0.5950   0.01370   0.00412  -0.0562   0.4553   0.0914
   2.500   0.6483   0.01181   0.00412  -0.0555   0.4364   1.0000
   3.000   0.7035   0.01236   0.00435  -0.0553   0.4223   1.0000
   3.500   0.7588   0.01291   0.00474  -0.0553   0.4117   1.0000
   4.000   0.8142   0.01351   0.00529  -0.0553   0.4034   1.0000
   4.500   0.8694   0.01416   0.00587  -0.0554   0.3965   1.0000
   5.000   0.9245   0.01486   0.00661  -0.0554   0.3899   1.0000
   5.500   0.9789   0.01553   0.00726  -0.0554   0.3809   1.0000
   6.000   1.0324   0.01610   0.00794  -0.0552   0.3688   1.0000
   6.500   1.0856   0.01682   0.00875  -0.0551   0.3588   1.0000
   7.000   1.1389   0.01762   0.00955  -0.0550   0.3485   1.0000
   7.500   1.1908   0.01820   0.01043  -0.0546   0.3382   1.0000
   8.000   1.2424   0.01898   0.01142  -0.0543   0.3279   1.0000
   8.500   1.2920   0.01947   0.01211  -0.0536   0.3124   1.0000
   9.000   1.3386   0.01955   0.01242  -0.0524   0.2893   1.0000
   9.500   1.3841   0.01960   0.01281  -0.0511   0.2599   1.0000
  10.000   1.4208   0.02057   0.01363  -0.0492   0.1715   1.0000
  11.000   1.4146   0.02970   0.02210  -0.0380   0.0531   1.0000
  11.500   1.3970   0.03568   0.02830  -0.0345   0.0425   1.0000
  12.000   1.3793   0.04315   0.03592  -0.0341   0.0372   1.0000
  12.500   1.3756   0.04966   0.04272  -0.0345   0.0332   1.0000
  13.000   1.3637   0.05736   0.05055  -0.0354   0.0308   1.0000
  13.500   1.3531   0.06465   0.05799  -0.0354   0.0289   1.0000
  14.000   1.3499   0.07128   0.06485  -0.0357   0.0269   1.0000
  14.500   1.3473   0.07804   0.07173  -0.0366   0.0250   1.0000
  15.000   1.3513   0.08311   0.07687  -0.0346   0.0235   1.0000
  15.500   1.3509   0.08990   0.08402  -0.0349   0.0228   1.0000
  16.000   1.3453   0.09788   0.09237  -0.0361   0.0222   1.0000
  16.500   1.3317   0.10764   0.10252  -0.0392   0.0217   1.0000
  17.000   1.3113   0.11926   0.11454  -0.0444   0.0213   1.0000
  17.500   1.2839   0.13300   0.12868  -0.0518   0.0212   1.0000
  18.000   1.2473   0.15007   0.14617  -0.0622   0.0215   1.0000
