  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 321 (HANSA-BRANDENBURG III.1) AIRFOIL       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.0738   0.05101   0.04599  -0.0698   0.7446   0.0671
  -4.500  -0.0370   0.04529   0.04031  -0.0699   0.7290   0.0691
  -4.000   0.0115   0.04115   0.03590  -0.0716   0.7143   0.0745
  -3.500   0.0646   0.03642   0.03074  -0.0737   0.7012   0.0816
  -3.000   0.1211   0.03343   0.02713  -0.0748   0.6903   0.0932
  -2.500   0.1715   0.02992   0.02355  -0.0754   0.6799   0.0998
  -2.000   0.2271   0.02721   0.02055  -0.0762   0.6694   0.1143
  -1.500   0.2825   0.02511   0.01805  -0.0766   0.6596   0.1422
  -1.000   0.3356   0.02297   0.01583  -0.0767   0.6474   0.1794
  -0.500   0.3982   0.02071   0.01300  -0.0764   0.6342   0.1606
   0.000   0.4653   0.01774   0.00905  -0.0742   0.6229   0.0742
   0.500   0.5223   0.01671   0.00783  -0.0737   0.6131   0.0758
   1.000   0.5785   0.01581   0.00694  -0.0733   0.6015   0.0797
   1.500   0.6341   0.01517   0.00638  -0.0731   0.5887   0.0932
   2.000   0.6905   0.01249   0.00585  -0.0727   0.5756   1.0000
   2.500   0.7459   0.01267   0.00571  -0.0723   0.5614   1.0000
   3.000   0.8012   0.01291   0.00574  -0.0719   0.5481   1.0000
   3.500   0.8562   0.01317   0.00586  -0.0716   0.5332   1.0000
   4.000   0.9107   0.01342   0.00603  -0.0713   0.5166   1.0000
   4.500   0.9646   0.01368   0.00623  -0.0709   0.4979   1.0000
   5.000   1.0176   0.01386   0.00647  -0.0704   0.4741   1.0000
   5.500   1.0698   0.01404   0.00663  -0.0697   0.4441   1.0000
   6.000   1.1199   0.01437   0.00687  -0.0689   0.3992   1.0000
   6.500   1.1634   0.01540   0.00752  -0.0672   0.3429   1.0000
   7.000   1.2038   0.01690   0.00872  -0.0654   0.3004   1.0000
   7.500   1.2447   0.01839   0.01001  -0.0636   0.2753   1.0000
   8.000   1.2873   0.01972   0.01125  -0.0621   0.2601   1.0000
   8.500   1.3311   0.02091   0.01250  -0.0608   0.2499   1.0000
   9.000   1.3748   0.02223   0.01385  -0.0595   0.2423   1.0000
   9.500   1.4186   0.02348   0.01521  -0.0583   0.2361   1.0000
  10.000   1.4655   0.02502   0.01671  -0.0576   0.2312   1.0000
  10.500   1.5036   0.02627   0.01825  -0.0557   0.2249   1.0000
  11.000   1.5439   0.02768   0.01967  -0.0543   0.2176   1.0000
  11.500   1.5712   0.02912   0.02143  -0.0512   0.2106   1.0000
  12.000   1.6002   0.03067   0.02297  -0.0485   0.2018   1.0000
  12.500   1.6099   0.03261   0.02529  -0.0442   0.1945   1.0000
  13.000   1.6246   0.03494   0.02772  -0.0414   0.1853   1.0000
  13.500   1.6283   0.03811   0.03116  -0.0391   0.1756   1.0000
  14.500   1.6315   0.04662   0.04014  -0.0370   0.1554   1.0000
  15.000   1.6177   0.05322   0.04709  -0.0376   0.1404   1.0000
  15.500   1.5910   0.06268   0.05670  -0.0400   0.0927   1.0000
  16.000   1.5381   0.07593   0.06977  -0.0425   0.0634   1.0000
  16.500   1.4909   0.08941   0.08337  -0.0457   0.0504   1.0000
  17.000   1.4470   0.10339   0.09758  -0.0500   0.0452   1.0000
  17.500   1.4036   0.11823   0.11268  -0.0556   0.0425   1.0000
  18.000   1.3613   0.13362   0.12829  -0.0622   0.0407   1.0000
