  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 575 AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.6376   0.03111   0.02343   0.0166   0.9421   0.0747
  -4.500  -0.5719   0.02817   0.02008   0.0149   0.9306   0.0761
  -4.000  -0.4878   0.02638   0.01816   0.0094   0.9234   0.0790
  -3.500  -0.4104   0.02461   0.01618   0.0055   0.9113   0.0824
  -3.000  -0.3294   0.02294   0.01450   0.0008   0.8991   0.0867
  -2.000  -0.1555   0.01999   0.01167  -0.0104   0.8788   0.1059
  -1.500  -0.0814   0.01864   0.01061  -0.0136   0.8640   0.1424
  -1.000  -0.0100   0.01762   0.00974  -0.0159   0.8486   0.1927
  -0.500   0.0628   0.01646   0.00866  -0.0184   0.8316   0.2248
   0.000   0.1458   0.01508   0.00749  -0.0233   0.8111   0.2663
   1.000   0.6987   0.01357   0.00739  -0.1174   0.7053   1.0000
   1.500   0.7517   0.01401   0.00737  -0.1166   0.6422   1.0000
   2.000   0.7850   0.01448   0.00748  -0.1116   0.5897   1.0000
   2.500   0.8168   0.01493   0.00767  -0.1063   0.5450   1.0000
   3.000   0.8514   0.01542   0.00791  -0.1018   0.5067   1.0000
   3.500   0.8889   0.01593   0.00821  -0.0979   0.4755   1.0000
   4.000   0.9275   0.01644   0.00857  -0.0943   0.4489   1.0000
   4.500   0.9677   0.01701   0.00896  -0.0911   0.4259   1.0000
   5.000   1.0048   0.01752   0.00944  -0.0872   0.4036   1.0000
   5.500   1.0395   0.01806   0.00993  -0.0829   0.3819   1.0000
   6.000   1.0715   0.01864   0.01045  -0.0781   0.3600   1.0000
   6.500   1.1039   0.01927   0.01103  -0.0734   0.3397   1.0000
   7.000   1.1348   0.01999   0.01166  -0.0686   0.3189   1.0000
   7.500   1.1614   0.02066   0.01239  -0.0629   0.2979   1.0000
   8.000   1.1865   0.02138   0.01313  -0.0570   0.2767   1.0000
   8.500   1.2130   0.02218   0.01396  -0.0516   0.2588   1.0000
   9.000   1.2392   0.02308   0.01489  -0.0463   0.2426   1.0000
   9.500   1.2641   0.02406   0.01592  -0.0410   0.2277   1.0000
  10.000   1.2872   0.02514   0.01704  -0.0355   0.2138   1.0000
  10.500   1.3074   0.02639   0.01832  -0.0298   0.1998   1.0000
  11.000   1.3240   0.02782   0.01981  -0.0239   0.1852   1.0000
  11.500   1.3370   0.02955   0.02161  -0.0178   0.1698   1.0000
  12.000   1.3442   0.03169   0.02386  -0.0113   0.1523   1.0000
  12.500   1.3487   0.03425   0.02649  -0.0052   0.1364   1.0000
  13.000   1.3530   0.03713   0.02938   0.0003   0.1258   1.0000
  13.500   1.3601   0.04003   0.03244   0.0048   0.1174   1.0000
  14.000   1.3673   0.04324   0.03573   0.0088   0.1117   1.0000
  14.500   1.3749   0.04654   0.03923   0.0121   0.1068   1.0000
  15.000   1.3836   0.04996   0.04269   0.0149   0.1030   1.0000
  15.500   1.3896   0.05382   0.04676   0.0173   0.0994   1.0000
  16.000   1.3927   0.05807   0.05126   0.0192   0.0962   1.0000
  16.500   1.3942   0.06253   0.05583   0.0205   0.0927   1.0000
  17.000   1.4069   0.06609   0.05946   0.0221   0.0900   1.0000
  17.500   1.3921   0.07281   0.06658   0.0222   0.0876   1.0000
  18.000   1.3832   0.07919   0.07324   0.0219   0.0853   1.0000
