  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 802 A AIRFOIL                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1227   0.05159   0.04767  -0.1122   0.9139   0.0462
  -4.500   0.1671   0.04642   0.04239  -0.1147   0.8989   0.0484
  -4.000   0.2315   0.04233   0.03786  -0.1191   0.8851   0.0521
  -3.500   0.2793   0.03740   0.03279  -0.1205   0.8717   0.0550
  -3.000   0.3351   0.03410   0.02907  -0.1213   0.8537   0.0585
  -2.500   0.3861   0.03061   0.02532  -0.1216   0.8352   0.0621
  -2.000   0.4417   0.02797   0.02227  -0.1217   0.8165   0.0649
  -1.500   0.4969   0.02603   0.01994  -0.1215   0.7970   0.0693
  -1.000   0.5510   0.02332   0.01691  -0.1216   0.7764   0.0722
   0.000   0.6606   0.02022   0.01312  -0.1208   0.7283   0.0771
   1.000   0.7699   0.01826   0.01045  -0.1198   0.6777   0.0817
   1.500   0.8232   0.01746   0.00940  -0.1193   0.6502   0.0834
   2.000   0.8763   0.01711   0.00875  -0.1186   0.6243   0.0845
   2.500   0.9288   0.01665   0.00810  -0.1180   0.5994   0.0855
   3.000   0.9806   0.01652   0.00781  -0.1173   0.5744   0.0878
   3.500   1.0316   0.01631   0.00743  -0.1165   0.5503   0.0910
