  
       XFOIL         Version 6.96
  
 Calculated polar for: UNIVERSITY OF GLASGOW GU25-5(11)8 AIRFOIL       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3663   0.08818   0.08447  -0.0748   0.7075   0.0761
  -4.500  -0.3396   0.08162   0.07736  -0.0749   0.7058   0.0841
  -4.000  -0.3635   0.07967   0.07532  -0.0661   0.6946   0.0861
  -3.500  -0.3279   0.07546   0.07057  -0.0650   0.6915   0.0980
  -3.000  -0.2825   0.07303   0.06772  -0.0647   0.6899   0.1129
  -2.500  -0.2300   0.07178   0.06612  -0.0650   0.6890   0.1295
  -1.000  -0.1890   0.06151   0.05313  -0.0428   0.6627   0.0572
  -0.500  -0.1340   0.06162   0.05300  -0.0426   0.6598   0.0581
   0.000  -0.0743   0.06248   0.05390  -0.0434   0.6584   0.0628
   0.500  -0.0809   0.06250   0.05388  -0.0366   0.6458   0.0648
   1.000  -0.0253   0.06360   0.05493  -0.0366   0.6435   0.0695
   1.500   0.0379   0.06571   0.05705  -0.0378   0.6424   0.0845
   2.000   0.0280   0.06546   0.05687  -0.0309   0.6289   0.1023
   4.000   0.2866   0.07506   0.06899  -0.0563   0.5995   1.0000
   4.500   0.3094   0.07717   0.07100  -0.0542   0.5880   1.0000
   5.000   0.3794   0.07797   0.07162  -0.0559   0.5828   1.0000
   5.500   0.4130   0.07738   0.07091  -0.0537   0.5589   1.0000
   6.000   0.4744   0.07766   0.07107  -0.0545   0.5538   1.0000
   6.500   0.5490   0.07783   0.07114  -0.0566   0.5519   1.0000
   7.500   0.5808   0.08195   0.07526  -0.0519   0.5262   1.0000
   8.000   0.6483   0.08168   0.07494  -0.0532   0.5241   1.0000
   9.000   0.6878   0.08629   0.07962  -0.0499   0.5001   1.0000
   9.500   0.7491   0.08585   0.07919  -0.0507   0.4977   1.0000
  10.500   0.7936   0.09055   0.08403  -0.0483   0.4740   1.0000
  11.000   0.8515   0.08972   0.08326  -0.0487   0.4711   1.0000
  12.000   0.9218   0.09195   0.08568  -0.0476   0.4538   1.0000
  13.000   0.9783   0.09529   0.08925  -0.0460   0.4306   1.0000
  13.500   1.0391   0.09323   0.08734  -0.0463   0.4279   1.0000
  14.000   1.1046   0.09043   0.08470  -0.0468   0.4263   1.0000
  15.500   1.2774   0.08338   0.07817  -0.0472   0.3991   1.0000
  16.000   1.3557   0.07914   0.07399  -0.0484   0.3811   1.0000
  16.500   1.3832   0.08074   0.07559  -0.0475   0.3496   1.0000
  17.000   1.3951   0.08404   0.07874  -0.0459   0.3077   1.0000
  17.500   1.3871   0.08961   0.08404  -0.0438   0.2587   1.0000
  18.000   1.3721   0.09630   0.09053  -0.0419   0.2152   1.0000
