  
       XFOIL         Version 6.96
  
 Calculated polar for: HOBIESMO1.DAT                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.000   0.1160   0.01286   0.00563  -0.1060   0.9279   0.1952
  -2.500   0.1802   0.01217   0.00500  -0.1074   0.9132   0.2321
  -2.000   0.2417   0.01154   0.00452  -0.1081   0.8979   0.2899
  -1.500   0.2978   0.01106   0.00422  -0.1076   0.8799   0.3676
  -1.000   0.3502   0.01060   0.00404  -0.1065   0.8599   0.4623
  -0.500   0.3948   0.00958   0.00398  -0.1034   0.8391   0.7380
   1.500   0.6232   0.00964   0.00363  -0.1021   0.7467   1.0000
   2.000   0.6760   0.00983   0.00371  -0.1010   0.7208   1.0000
   2.500   0.7284   0.01006   0.00387  -0.1000   0.6933   1.0000
   3.000   0.7805   0.01034   0.00411  -0.0989   0.6644   1.0000
   3.500   0.8322   0.01068   0.00444  -0.0978   0.6346   1.0000
   4.000   0.8835   0.01107   0.00485  -0.0966   0.6038   1.0000
   4.500   0.9308   0.01143   0.00512  -0.0944   0.5529   1.0000
   5.000   0.9760   0.01194   0.00554  -0.0920   0.4893   1.0000
   5.500   1.0034   0.01383   0.00638  -0.0870   0.2718   1.0000
   6.000   1.0170   0.01848   0.00958  -0.0811   0.0409   1.0000
   8.000   1.1702   0.03214   0.02353  -0.0698   0.0252   1.0000
   8.500   1.2236   0.03757   0.02934  -0.0689   0.0252   1.0000
