  
       XFOIL         Version 6.96
  
 Calculated polar for: HQ 1.5/8.5 AIRFOIL                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4415   0.02145   0.01461  -0.0325   1.0000   0.0431
  -4.500  -0.3972   0.01856   0.01115  -0.0304   0.9993   0.0461
  -4.000  -0.3261   0.01576   0.00811  -0.0337   0.9923   0.0525
  -3.500  -0.2539   0.01403   0.00632  -0.0374   0.9841   0.0637
  -3.000  -0.1845   0.01136   0.00468  -0.0417   0.9758   0.2792
  -2.500  -0.1227   0.01003   0.00479  -0.0433   0.9653   0.6551
  -2.000  -0.0579   0.01012   0.00501  -0.0443   0.9543   0.7619
  -1.500   0.0067   0.01007   0.00497  -0.0452   0.9435   0.8203
  -1.000   0.0720   0.00988   0.00476  -0.0462   0.9308   0.8579
  -0.500   0.1312   0.00967   0.00457  -0.0457   0.9152   0.8972
   0.000   0.1951   0.00945   0.00434  -0.0459   0.8983   0.9388
   0.500   0.2782   0.00917   0.00400  -0.0504   0.8780   0.9756
   1.000   0.3573   0.00896   0.00376  -0.0552   0.8565   1.0000
   1.500   0.3965   0.00902   0.00375  -0.0523   0.8330   1.0000
   2.000   0.4460   0.00911   0.00378  -0.0507   0.8100   1.0000
   2.500   0.4968   0.00921   0.00386  -0.0492   0.7820   1.0000
   3.000   0.5451   0.00910   0.00369  -0.0466   0.7294   1.0000
   3.500   0.5950   0.00913   0.00363  -0.0446   0.6636   1.0000
   4.000   0.6428   0.00959   0.00376  -0.0424   0.5586   1.0000
   4.500   0.6857   0.01079   0.00424  -0.0400   0.4030   1.0000
   5.000   0.7307   0.01209   0.00511  -0.0385   0.2902   1.0000
   5.500   0.7705   0.01431   0.00637  -0.0366   0.1115   1.0000
   6.000   0.8143   0.01621   0.00812  -0.0348   0.0780   1.0000
   6.500   0.8598   0.01772   0.00966  -0.0334   0.0632   1.0000
   7.000   0.9016   0.01999   0.01199  -0.0316   0.0492   1.0000
   8.000   0.9816   0.02962   0.02228  -0.0271   0.0247   1.0000
   8.500   1.0216   0.03263   0.02591  -0.0246   0.0218   1.0000
   9.000   1.0513   0.03757   0.03153  -0.0217   0.0197   1.0000
   9.500   1.0593   0.04537   0.04023  -0.0173   0.0197   1.0000
  10.000   1.0369   0.05469   0.05038  -0.0121   0.0207   1.0000
  10.500   0.9956   0.06282   0.05897  -0.0084   0.0214   1.0000
  11.000   0.9511   0.07349   0.06998  -0.0119   0.0218   1.0000
  11.500   0.9047   0.08961   0.08632  -0.0237   0.0225   1.0000
  12.000   0.8609   0.11231   0.10905  -0.0385   0.0241   1.0000
  12.500 NaN      NaN       NaN       NaN        0.0360   1.0000
  13.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  13.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  14.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  14.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  15.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  15.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  16.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  16.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  17.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  17.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  18.000 NaN      NaN       NaN       NaN        1.0000   1.0000
