  
       XFOIL         Version 6.96
  
 Calculated polar for: HQ 2.0/10 AIRFOIL                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3619   0.01978   0.01259  -0.0492   0.9773   0.0345
  -4.500  -0.2885   0.01720   0.00976  -0.0528   0.9693   0.0457
  -4.000  -0.2183   0.01506   0.00763  -0.0561   0.9600   0.0752
  -3.500  -0.1505   0.01362   0.00634  -0.0592   0.9496   0.1265
  -3.000  -0.0886   0.01115   0.00578  -0.0618   0.9408   0.5780
  -2.500  -0.0211   0.01105   0.00575  -0.0633   0.9311   0.6794
  -2.000   0.0385   0.01109   0.00577  -0.0632   0.9189   0.7374
  -1.500   0.0944   0.01112   0.00581  -0.0620   0.9062   0.7861
  -1.000   0.1493   0.01099   0.00565  -0.0607   0.8921   0.8208
  -0.500   0.2002   0.01079   0.00545  -0.0585   0.8768   0.8556
   0.000   0.2518   0.01047   0.00509  -0.0565   0.8587   0.8827
   0.500   0.3022   0.01022   0.00483  -0.0544   0.8378   0.9126
   1.000   0.3671   0.00996   0.00454  -0.0553   0.8187   0.9455
   1.500   0.4494   0.00979   0.00437  -0.0607   0.7982   0.9789
   2.000   0.5149   0.00968   0.00420  -0.0632   0.7769   1.0000
   2.500   0.5634   0.00973   0.00420  -0.0619   0.7519   1.0000
   3.000   0.6154   0.00980   0.00424  -0.0610   0.7241   1.0000
   3.500   0.6675   0.00988   0.00427  -0.0598   0.6906   1.0000
   4.000   0.7182   0.01004   0.00441  -0.0583   0.6448   1.0000
   4.500   0.7661   0.01036   0.00456  -0.0563   0.5733   1.0000
   5.000   0.8080   0.01122   0.00491  -0.0535   0.4524   1.0000
   5.500   0.8484   0.01252   0.00571  -0.0511   0.3538   1.0000
   6.000   0.8919   0.01367   0.00663  -0.0493   0.2903   1.0000
   6.500   0.9356   0.01482   0.00768  -0.0476   0.2367   1.0000
   7.000   0.9753   0.01627   0.00876  -0.0455   0.1452   1.0000
   7.500   1.0094   0.01846   0.01058  -0.0426   0.0864   1.0000
   8.000   1.0440   0.02052   0.01262  -0.0397   0.0692   1.0000
   8.500   1.0813   0.02216   0.01440  -0.0375   0.0537   1.0000
   9.000   1.1175   0.02378   0.01622  -0.0351   0.0394   1.0000
   9.500   1.1344   0.02714   0.01965  -0.0301   0.0231   1.0000
  10.000   1.1548   0.03036   0.02319  -0.0254   0.0188   1.0000
  10.500   1.1723   0.03396   0.02702  -0.0213   0.0168   1.0000
  11.000   1.1810   0.03942   0.03295  -0.0172   0.0149   1.0000
  11.500   1.1854   0.04393   0.03797  -0.0135   0.0138   1.0000
  12.000   1.1756   0.05044   0.04503  -0.0106   0.0136   1.0000
  12.500   1.1524   0.05860   0.05373  -0.0095   0.0134   1.0000
  13.000   1.1198   0.06885   0.06447  -0.0116   0.0134   1.0000
  13.500   1.0809   0.08185   0.07791  -0.0178   0.0136   1.0000
  14.000   1.0376   0.09856   0.09499  -0.0283   0.0139   1.0000
  14.500   0.9914   0.11966   0.11637  -0.0422   0.0145   1.0000
  15.000   0.7394   0.15261   0.14982  -0.0578   0.0222   1.0000
  15.500   0.7121   0.17153   0.16866  -0.0667   0.0291   1.0000
  17.000   0.7140   0.19998   0.19715  -0.0806   0.0380   1.0000
  17.500   0.7228   0.20692   0.20412  -0.0838   0.0354   1.0000
  18.000   0.9393   0.23316   0.22970  -0.0978   0.0319   1.0000
