  
       XFOIL         Version 6.96
  
 Calculated polar for: HQ-2.0/9  9.0%   smoothed                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3986   0.02482   0.01873  -0.0427   0.9938   0.0303
  -4.500  -0.3255   0.02000   0.01297  -0.0459   0.9872   0.0344
  -4.000  -0.2550   0.01677   0.00928  -0.0487   0.9794   0.0488
  -3.500  -0.1849   0.01485   0.00731  -0.0521   0.9706   0.0738
  -3.000  -0.1136   0.01318   0.00582  -0.0558   0.9616   0.1219
  -2.500  -0.0484   0.01080   0.00552  -0.0589   0.9533   0.6424
  -2.000   0.0167   0.01080   0.00557  -0.0599   0.9417   0.7415
  -1.500   0.0801   0.01069   0.00548  -0.0605   0.9295   0.7985
  -1.000   0.1337   0.01048   0.00537  -0.0582   0.9157   0.8606
  -0.500   0.1887   0.01023   0.00511  -0.0570   0.9017   0.8998
   0.000   0.2513   0.00998   0.00483  -0.0576   0.8881   0.9351
   0.500   0.3328   0.00960   0.00439  -0.0621   0.8719   0.9682
   1.000   0.4122   0.00932   0.00405  -0.0669   0.8515   1.0000
   1.500   0.4585   0.00933   0.00396  -0.0653   0.8290   1.0000
   2.000   0.5099   0.00936   0.00393  -0.0641   0.8032   1.0000
   2.500   0.5622   0.00941   0.00393  -0.0629   0.7756   1.0000
   3.000   0.6147   0.00948   0.00400  -0.0617   0.7447   1.0000
   3.500   0.6664   0.00958   0.00410  -0.0603   0.7057   1.0000
   4.000   0.7165   0.00974   0.00421  -0.0585   0.6472   1.0000
   4.500   0.7635   0.01020   0.00439  -0.0562   0.5516   1.0000
   5.000   0.8056   0.01131   0.00493  -0.0536   0.4234   1.0000
   5.500   0.8476   0.01266   0.00585  -0.0515   0.3124   1.0000
   6.000   0.8898   0.01413   0.00694  -0.0497   0.2185   1.0000
   6.500   0.9271   0.01633   0.00854  -0.0473   0.1120   1.0000
   7.000   0.9661   0.01841   0.01049  -0.0450   0.0741   1.0000
   7.500   1.0046   0.02054   0.01265  -0.0427   0.0504   1.0000
   8.000   1.0393   0.02366   0.01595  -0.0395   0.0306   1.0000
   8.500   1.0744   0.02895   0.02148  -0.0366   0.0243   1.0000
   9.000   1.1121   0.03167   0.02468  -0.0341   0.0202   1.0000
   9.500   1.1415   0.03664   0.03018  -0.0311   0.0187   1.0000
  10.000   1.1556   0.04309   0.03730  -0.0269   0.0182   1.0000
  10.500   1.1426   0.05090   0.04594  -0.0206   0.0187   1.0000
  11.000   1.0945   0.05994   0.05572  -0.0147   0.0197   1.0000
  11.500   1.0461   0.07060   0.06688  -0.0155   0.0204   1.0000
  12.000   0.9977   0.08454   0.08117  -0.0232   0.0209   1.0000
  12.500   0.9450   0.10588   0.10277  -0.0388   0.0217   1.0000
  13.000   0.9013   0.13080   0.12762  -0.0530   0.0236   1.0000
