  
       XFOIL         Version 6.96
  
 Calculated polar for: HQ 3.5/9 AIRFOIL                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2093   0.04554   0.04180  -0.0819   0.9620   0.0456
  -4.500  -0.1365   0.04152   0.03676  -0.0885   0.9513   0.0557
  -4.000  -0.0697   0.03173   0.02677  -0.0959   0.9469   0.0660
  -3.500   0.0003   0.02425   0.01807  -0.0972   0.9374   0.0401
  -3.000   0.0808   0.01864   0.01152  -0.1006   0.9339   0.0322
  -2.500   0.1442   0.01637   0.00907  -0.1017   0.9243   0.0366
  -2.000   0.2244   0.01420   0.00701  -0.1065   0.9198   0.1072
  -1.500   0.2757   0.01220   0.00698  -0.1058   0.9083   0.7091
  -1.000   0.3291   0.01194   0.00679  -0.1037   0.8962   0.8077
  -0.500   0.3748   0.01130   0.00629  -0.0996   0.8829   0.8985
   0.000   0.4575   0.01061   0.00548  -0.1042   0.8693   1.0000
   0.500   0.5213   0.01038   0.00504  -0.1057   0.8536   1.0000
   1.000   0.5813   0.01020   0.00467  -0.1062   0.8364   1.0000
   1.500   0.6364   0.01020   0.00458  -0.1058   0.8169   1.0000
   2.000   0.6930   0.01014   0.00443  -0.1055   0.7977   1.0000
   2.500   0.7470   0.01015   0.00442  -0.1047   0.7742   1.0000
   3.000   0.8009   0.01016   0.00440  -0.1038   0.7475   1.0000
   3.500   0.8541   0.01022   0.00446  -0.1028   0.7152   1.0000
   4.000   0.9053   0.01039   0.00457  -0.1013   0.6728   1.0000
   4.500   0.9534   0.01073   0.00485  -0.0994   0.6113   1.0000
   5.000   0.9964   0.01148   0.00525  -0.0966   0.5163   1.0000
   5.500   1.0335   0.01285   0.00608  -0.0932   0.4119   1.0000
   6.000   1.0734   0.01419   0.00715  -0.0907   0.3434   1.0000
   7.000   1.1543   0.01660   0.00931  -0.0862   0.2396   1.0000
   7.500   1.1906   0.01802   0.01045  -0.0836   0.1502   1.0000
   8.000   1.2009   0.02252   0.01393  -0.0772   0.0194   1.0000
   8.500   1.2237   0.02518   0.01699  -0.0720   0.0159   1.0000
   9.000   1.2373   0.02820   0.02030  -0.0659   0.0145   1.0000
   9.500   1.2511   0.03185   0.02421  -0.0605   0.0139   1.0000
  10.000   1.2737   0.03636   0.02904  -0.0565   0.0137   1.0000
  10.500   1.3015   0.04230   0.03559  -0.0532   0.0141   1.0000
  11.000   1.3081   0.04789   0.04171  -0.0488   0.0134   1.0000
  11.500   1.3011   0.05374   0.04799  -0.0447   0.0126   1.0000
  12.000   1.2837   0.06115   0.05585  -0.0419   0.0121   1.0000
  12.500   1.2569   0.07000   0.06528  -0.0409   0.0124   1.0000
  13.000   1.2203   0.08158   0.07743  -0.0432   0.0130   1.0000
  13.500   1.1758   0.09630   0.09266  -0.0502   0.0135   1.0000
  14.000   1.1241   0.11658   0.11340  -0.0633   0.0145   1.0000
  14.500   1.0729   0.14166   0.13866  -0.0798   0.0170   1.0000
