  
       XFOIL         Version 6.96
  
 Calculated polar for: HT12                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5471   0.01925   0.01157  -0.0054   1.0000   0.0410
  -4.500  -0.4933   0.01595   0.00792  -0.0046   1.0000   0.0482
  -4.000  -0.4393   0.01384   0.00574  -0.0039   1.0000   0.0626
  -3.500  -0.3849   0.01203   0.00397  -0.0034   1.0000   0.0974
  -3.000  -0.3311   0.01028   0.00294  -0.0034   1.0000   0.2367
  -2.500  -0.2774   0.00926   0.00252  -0.0031   1.0000   0.3961
  -2.000  -0.2265   0.00805   0.00214  -0.0020   1.0000   0.5960
  -1.500  -0.1628   0.00684   0.00195  -0.0015   1.0000   1.0000
  -1.000  -0.1086   0.00677   0.00167  -0.0010   1.0000   1.0000
  -0.500  -0.0543   0.00673   0.00153  -0.0005   1.0000   1.0000
   0.000   0.0001   0.00672   0.00147   0.0000   1.0000   1.0000
   0.500   0.0544   0.00673   0.00153   0.0005   1.0000   1.0000
   1.000   0.1087   0.00677   0.00167   0.0010   1.0000   1.0000
   1.500   0.1629   0.00684   0.00195   0.0015   1.0000   1.0000
   2.000   0.2266   0.00805   0.00214   0.0020   0.5954   1.0000
   2.500   0.2775   0.00926   0.00252   0.0031   0.3956   1.0000
   3.000   0.3312   0.01029   0.00294   0.0034   0.2362   1.0000
   3.500   0.3850   0.01203   0.00397   0.0034   0.0972   1.0000
   4.000   0.4394   0.01385   0.00574   0.0039   0.0625   1.0000
   4.500   0.4935   0.01595   0.00792   0.0046   0.0481   1.0000
   5.000   0.5472   0.01928   0.01161   0.0054   0.0410   1.0000
   5.500   0.6013   0.02350   0.01659   0.0063   0.0373   1.0000
   6.000   0.6505   0.03243   0.02685   0.0066   0.0395   1.0000
   8.000   0.7442   0.09090   0.08759  -0.0336   0.0505   1.0000
   8.500   0.7459   0.09970   0.09633  -0.0394   0.0477   1.0000
   9.000   0.7542   0.10702   0.10366  -0.0411   0.0453   1.0000
   9.500   0.6132   0.10750   0.10420  -0.0326   0.0489   1.0000
  10.000   0.6155   0.11523   0.11191  -0.0339   0.0462   1.0000
  10.500   0.6312   0.12462   0.12132  -0.0302   0.0434   1.0000
  11.000   0.6266   0.13274   0.12942  -0.0338   0.0432   1.0000
  11.500   0.6157   0.13957   0.13622  -0.0392   0.0423   1.0000
  12.000   0.6090   0.14558   0.14221  -0.0432   0.0389   1.0000
  12.500   0.6115   0.15112   0.14775  -0.0445   0.0354   1.0000
  13.000   0.6203   0.15657   0.15321  -0.0440   0.0333   1.0000
  13.500   0.6312   0.16622   0.16287  -0.0438   0.0322   1.0000
  14.000   0.6251   0.16994   0.16658  -0.0465   0.0319   1.0000
  14.500   0.6172   0.17259   0.16923  -0.0503   0.0312   1.0000
  15.000   0.6196   0.17735   0.17399  -0.0532   0.0291   1.0000
  15.500   0.6254   0.18270   0.17936  -0.0553   0.0272   1.0000
  16.000   0.6324   0.18806   0.18475  -0.0572   0.0256   1.0000
  16.500   0.6409   0.19358   0.19028  -0.0588   0.0243   1.0000
  17.000   0.6595   0.20478   0.20149  -0.0584   0.0230   1.0000
  17.500   0.6564   0.20720   0.20391  -0.0623   0.0227   1.0000
  18.000   0.6592   0.21103   0.20774  -0.0660   0.0217   1.0000
