  
       XFOIL         Version 6.96
  
 Calculated polar for: I.S.A. 962                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.0552   0.03847   0.03384  -0.1022   0.9290   0.0997
  -4.500   0.1077   0.03435   0.02977  -0.1032   0.9132   0.1048
  -4.000   0.1613   0.03040   0.02547  -0.1044   0.8942   0.1182
  -3.500   0.2132   0.02726   0.02200  -0.1043   0.8747   0.1336
  -3.000   0.2656   0.02447   0.01889  -0.1037   0.8555   0.1498
  -2.500   0.3347   0.01653   0.00885  -0.1017   0.8388   0.0647
  -2.000   0.3886   0.01514   0.00738  -0.1004   0.8199   0.0680
  -1.500   0.4421   0.01412   0.00632  -0.0990   0.7989   0.0706
  -1.000   0.4959   0.01327   0.00545  -0.0977   0.7763   0.0759
  -0.500   0.5503   0.01274   0.00492  -0.0965   0.7532   0.0945
   0.000   0.6108   0.01015   0.00463  -0.0971   0.7288   1.0000
   0.500   0.6646   0.01032   0.00444  -0.0959   0.7031   1.0000
   1.000   0.7175   0.01053   0.00440  -0.0947   0.6734   1.0000
   1.500   0.7700   0.01079   0.00444  -0.0935   0.6415   1.0000
   2.000   0.8216   0.01109   0.00451  -0.0922   0.6037   1.0000
   2.500   0.8718   0.01145   0.00467  -0.0907   0.5574   1.0000
   3.000   0.9204   0.01198   0.00491  -0.0891   0.5023   1.0000
   3.500   0.9677   0.01267   0.00531  -0.0875   0.4460   1.0000
   4.000   1.0143   0.01350   0.00585  -0.0858   0.4003   1.0000
   4.500   1.0600   0.01442   0.00653  -0.0842   0.3618   1.0000
   5.000   1.1043   0.01546   0.00736  -0.0824   0.3243   1.0000
   5.500   1.1476   0.01647   0.00825  -0.0805   0.2807   1.0000
   6.000   1.1889   0.01757   0.00916  -0.0784   0.2406   1.0000
   6.500   1.2297   0.01874   0.01018  -0.0763   0.2139   1.0000
   7.000   1.2688   0.02009   0.01143  -0.0740   0.1966   1.0000
   7.500   1.3067   0.02164   0.01289  -0.0716   0.1827   1.0000
   8.000   1.3454   0.02311   0.01441  -0.0694   0.1713   1.0000
   8.500   1.3844   0.02482   0.01621  -0.0673   0.1614   1.0000
   9.000   1.4229   0.02678   0.01812  -0.0655   0.1510   1.0000
   9.500   1.4519   0.02810   0.01967  -0.0620   0.1419   1.0000
  10.000   1.4823   0.02996   0.02163  -0.0590   0.1340   1.0000
  10.500   1.5055   0.03149   0.02336  -0.0552   0.1269   1.0000
  11.000   1.5326   0.03356   0.02552  -0.0524   0.1209   1.0000
  11.500   1.5499   0.03549   0.02779  -0.0488   0.1153   1.0000
  12.000   1.5674   0.03768   0.03005  -0.0459   0.1097   1.0000
  12.500   1.5798   0.04041   0.03315  -0.0431   0.1044   1.0000
  13.000   1.5896   0.04336   0.03632  -0.0410   0.0989   1.0000
  13.500   1.5965   0.04710   0.04033  -0.0394   0.0931   1.0000
  14.000   1.6005   0.05145   0.04494  -0.0388   0.0868   1.0000
  14.500   1.6009   0.05680   0.05063  -0.0390   0.0782   1.0000
  15.000   1.5952   0.06353   0.05763  -0.0401   0.0673   1.0000
  15.500   1.5766   0.07262   0.06688  -0.0422   0.0554   1.0000
  16.000   1.5488   0.08363   0.07812  -0.0453   0.0448   1.0000
  16.500   1.5106   0.09704   0.09176  -0.0501   0.0397   1.0000
  17.000   1.4708   0.11156   0.10656  -0.0561   0.0368   1.0000
  17.500   1.4280   0.12727   0.12253  -0.0634   0.0353   1.0000
  18.000   1.3876   0.14314   0.13861  -0.0715   0.0343   1.0000
