  
       XFOIL         Version 6.96
  
 Calculated polar for: GRUMMAN K-3 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3236   0.02184   0.01549  -0.0922   0.9564   0.4476
  -4.500  -0.2609   0.02267   0.01639  -0.0939   0.9524   0.4867
  -4.000  -0.2092   0.02334   0.01706  -0.0934   0.9455   0.5111
  -3.500  -0.1434   0.02427   0.01800  -0.0953   0.9416   0.5320
  -3.000  -0.0974   0.02512   0.01901  -0.0932   0.9342   0.5459
  -2.500  -0.0358   0.02581   0.01975  -0.0943   0.9281   0.5604
  -2.000   0.0438   0.02658   0.02048  -0.0989   0.9244   0.5768
  -1.500   0.0825   0.02707   0.02116  -0.0952   0.9127   0.5861
  -0.500   0.2135   0.02771   0.02199  -0.0979   0.8949   0.6106
   0.000   0.3313   0.02524   0.01954  -0.1064   0.8763   0.6255
   0.500   0.4098   0.02348   0.01794  -0.1079   0.8598   0.6328
   1.500   0.5958   0.01950   0.01419  -0.1182   0.8398   0.6506
   2.000   0.6795   0.01758   0.01243  -0.1210   0.8195   0.6572
   2.500   0.7342   0.01657   0.01149  -0.1189   0.7749   0.6656
   3.000   0.7974   0.01650   0.01005  -0.1180   0.5083   0.6726
   3.500   0.7830   0.01901   0.01136  -0.1046   0.3008   0.6782
   4.000   0.8084   0.02073   0.01254  -0.0993   0.2227   0.6855
   4.500   0.8521   0.02211   0.01359  -0.0977   0.1896   0.6931
   5.000   0.8948   0.02306   0.01454  -0.0953   0.1678   0.6997
   5.500   0.9393   0.02413   0.01557  -0.0934   0.1502   0.7077
   6.000   0.9872   0.02526   0.01661  -0.0925   0.1342   0.7158
   6.500   1.0277   0.02634   0.01769  -0.0899   0.1200   0.7229
   7.000   1.0696   0.02753   0.01892  -0.0878   0.1054   0.7323
   7.500   1.1094   0.02875   0.02013  -0.0855   0.0907   0.7405
   8.000   1.1454   0.03015   0.02161  -0.0825   0.0766   0.7492
   8.500   1.1820   0.03189   0.02334  -0.0799   0.0654   0.7596
   9.000   1.2137   0.03367   0.02521  -0.0765   0.0574   0.7696
   9.500   1.2473   0.03585   0.02745  -0.0737   0.0519   0.7806
  10.000   1.2778   0.03818   0.02990  -0.0703   0.0480   0.7917
  10.500   1.3103   0.04062   0.03230  -0.0675   0.0450   0.8050
  11.000   1.3374   0.04335   0.03538  -0.0642   0.0423   0.8202
  11.500   1.3672   0.04603   0.03806  -0.0613   0.0403   0.8366
  12.000   1.3814   0.04947   0.04200  -0.0569   0.0387   0.8557
  12.500   1.3925   0.05283   0.04568  -0.0521   0.0375   0.8814
  13.500   1.4066   0.06049   0.05378  -0.0436   0.0359   1.0001
  14.000   1.3905   0.06789   0.06176  -0.0413   0.0355   1.0001
  14.500   1.3630   0.07687   0.07129  -0.0403   0.0353   1.0001
  15.000   1.3231   0.08843   0.08340  -0.0422   0.0351   1.0001
  15.500   1.2706   0.10390   0.09945  -0.0491   0.0353   1.0001
  16.000   1.2025   0.12573   0.12185  -0.0637   0.0358   1.0001
  17.000   0.6240   0.20570   0.20301  -0.0928   0.0585   0.8493
  17.500   0.6325   0.21027   0.20765  -0.0938   0.0564   0.8691
  18.000   0.6476   0.21383   0.21130  -0.0913   0.0554   0.9091
