  
       XFOIL         Version 6.96
  
 Calculated polar for: KC-135 BL124.32 AIRFOIL                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.500  -0.2489   0.02030   0.01224  -0.0440   0.8961   0.0476
  -4.000  -0.1937   0.01775   0.00958  -0.0435   0.8793   0.0506
  -3.500  -0.1463   0.01630   0.00813  -0.0417   0.8625   0.0568
  -3.000  -0.1056   0.01497   0.00677  -0.0388   0.8465   0.0669
  -2.500  -0.0643   0.01402   0.00573  -0.0360   0.8318   0.0851
  -2.000  -0.0511   0.01141   0.00509  -0.0283   0.8171   0.6087
  -1.500  -0.0101   0.01162   0.00548  -0.0238   0.8052   0.7221
  -1.000   0.0376   0.01179   0.00570  -0.0213   0.7923   0.7647
  -0.500   0.0856   0.01198   0.00595  -0.0189   0.7802   0.8016
   0.000   0.1380   0.01207   0.00600  -0.0180   0.7693   0.8231
   0.500   0.1934   0.01207   0.00594  -0.0177   0.7580   0.8396
   1.000   0.2468   0.01210   0.00599  -0.0171   0.7441   0.8586
   1.500   0.3019   0.01217   0.00611  -0.0169   0.7305   0.8806
   2.000   0.3626   0.01218   0.00614  -0.0174   0.7141   0.9040
   2.500   0.4330   0.01211   0.00602  -0.0198   0.6947   0.9255
   3.000   0.5081   0.01221   0.00616  -0.0237   0.6784   0.9467
   3.500   0.5903   0.01226   0.00632  -0.0292   0.6592   0.9631
   4.000   0.6762   0.01218   0.00633  -0.0356   0.6359   0.9785
   4.500   0.7627   0.01197   0.00623  -0.0422   0.6053   0.9952
   5.000   0.8108   0.01180   0.00606  -0.0414   0.5678   1.0000
   5.500   0.8408   0.01189   0.00612  -0.0365   0.5144   1.0000
   6.000   0.8625   0.01260   0.00634  -0.0301   0.4046   1.0000
   6.500   0.8770   0.01412   0.00723  -0.0231   0.3057   1.0000
   7.000   0.9019   0.01534   0.00822  -0.0180   0.2534   1.0000
   7.500   0.9288   0.01644   0.00920  -0.0133   0.2127   1.0000
   8.000   0.9534   0.01765   0.01029  -0.0085   0.1757   1.0000
   9.000   0.9747   0.02136   0.01347   0.0050   0.0729   1.0000
   9.500   0.9802   0.02383   0.01584   0.0114   0.0577   1.0000
  10.000   0.9923   0.02639   0.01845   0.0161   0.0486   1.0000
  10.500   1.0099   0.02889   0.02107   0.0196   0.0418   1.0000
  11.000   1.0284   0.03213   0.02442   0.0229   0.0369   1.0000
  11.500   1.0534   0.03512   0.02751   0.0254   0.0335   1.0000
  12.000   1.0797   0.03899   0.03162   0.0276   0.0304   1.0000
  12.500   1.0970   0.04295   0.03594   0.0299   0.0284   1.0000
  13.000   1.1078   0.04755   0.04090   0.0320   0.0274   1.0000
  13.500   1.1085   0.05300   0.04671   0.0338   0.0267   1.0000
  14.000   1.0984   0.05984   0.05392   0.0348   0.0262   1.0000
  14.500   1.0718   0.06792   0.06248   0.0344   0.0263   1.0000
  15.000   1.0313   0.07853   0.07359   0.0314   0.0266   1.0000
  15.500   0.9424   0.09934   0.09512   0.0198   0.0281   1.0000
  16.000   0.8424   0.13135   0.12754  -0.0005   0.0304   1.0000
  17.000   0.5742   0.17017   0.16679  -0.0207   0.0594   1.0000
  17.500   0.5922   0.17771   0.17436  -0.0219   0.0577   1.0000
  18.000   0.5739   0.18455   0.18119  -0.0297   0.0530   1.0000
