  
       XFOIL         Version 6.96
  
 Calculated polar for: LA2573A                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4073   0.04757   0.04143  -0.0008   0.5157   0.0951
  -4.500  -0.3710   0.04400   0.03732   0.0008   0.5117   0.1059
  -4.000  -0.3269   0.04011   0.03348   0.0014   0.5077   0.1115
  -3.500  -0.2834   0.03695   0.03005   0.0025   0.5035   0.1248
  -3.000  -0.2368   0.03409   0.02700   0.0034   0.4991   0.1407
  -2.500  -0.1883   0.03176   0.02449   0.0044   0.4949   0.1608
  -2.000  -0.1185   0.02303   0.01365   0.0082   0.4911   0.0709
  -1.500  -0.0626   0.02204   0.01239   0.0090   0.4868   0.0732
  -1.000  -0.0072   0.02120   0.01171   0.0092   0.4829   0.0780
  -0.500   0.0480   0.02071   0.01131   0.0097   0.4781   0.0828
   0.000   0.1006   0.02018   0.01093   0.0105   0.4731   0.0926
   0.500   0.1515   0.01973   0.01063   0.0117   0.4692   0.1110
   1.000   0.1942   0.01779   0.01158   0.0170   0.4658   0.9408
   1.500   0.4184   0.01890   0.01252  -0.0148   0.4565   1.0000
   2.000   0.4670   0.01927   0.01279  -0.0136   0.4517   1.0000
   2.500   0.5150   0.01970   0.01307  -0.0122   0.4479   1.0000
   3.000   0.5626   0.02080   0.01425  -0.0116   0.4427   1.0000
   3.500   0.6096   0.02186   0.01544  -0.0111   0.4358   1.0000
   4.000   0.6563   0.02230   0.01582  -0.0095   0.4313   1.0000
   4.500   0.7026   0.02269   0.01611  -0.0075   0.4277   1.0000
   5.000   0.7432   0.02478   0.01851  -0.0072   0.4185   1.0000
   5.500   0.7874   0.02526   0.01900  -0.0052   0.4134   1.0000
   6.000   0.8338   0.02519   0.01884  -0.0027   0.4099   1.0000
   6.500   0.8649   0.02773   0.02171  -0.0015   0.3995   1.0000
   7.000   0.9103   0.02749   0.02144   0.0012   0.3950   1.0000
   7.500   0.9596   0.02681   0.02065   0.0039   0.3918   1.0000
   8.000   0.9841   0.02895   0.02314   0.0064   0.3803   1.0000
   8.500   1.0464   0.02630   0.02029   0.0090   0.3762   1.0000
   9.000   1.0983   0.02414   0.01812   0.0115   0.3635   1.0000
   9.500   1.1491   0.02288   0.01688   0.0136   0.3537   1.0000
  10.000   1.2039   0.02141   0.01534   0.0153   0.3440   1.0000
  10.500   1.2490   0.02106   0.01515   0.0171   0.3296   1.0000
  11.000   1.2905   0.02121   0.01551   0.0188   0.3103   1.0000
  11.500   1.3285   0.02166   0.01601   0.0205   0.2836   1.0000
  12.000   1.3444   0.02377   0.01808   0.0229   0.2445   1.0000
  12.500   1.3050   0.03074   0.02502   0.0235   0.2143   1.0000
  13.000   1.2556   0.04042   0.03459   0.0216   0.1843   1.0000
  13.500   1.2083   0.04992   0.04390   0.0200   0.1540   1.0000
  14.000   1.1697   0.05914   0.05288   0.0180   0.1268   1.0000
  14.500   1.1478   0.06726   0.06080   0.0160   0.1058   1.0000
  15.000   1.1390   0.07398   0.06732   0.0146   0.0920   1.0000
  15.500   1.1433   0.07917   0.07243   0.0137   0.0821   1.0000
  16.000   1.1551   0.08341   0.07660   0.0132   0.0752   1.0000
  16.500   1.1689   0.08760   0.08086   0.0127   0.0699   1.0000
  17.000   1.1885   0.09073   0.08395   0.0127   0.0655   1.0000
  17.500   1.2054   0.09460   0.08790   0.0122   0.0621   1.0000
  18.000   1.2326   0.09666   0.08993   0.0129   0.0592   1.0000
