  
       XFOIL         Version 6.96
  
 Calculated polar for: LNV109A                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1208   0.07865   0.07392  -0.0144   0.4979   0.0636
  -4.500  -0.0834   0.07169   0.06685  -0.0304   0.4950   0.0679
  -4.000  -0.0512   0.06735   0.06254  -0.0288   0.4919   0.0692
  -3.500  -0.0064   0.06254   0.05763  -0.0343   0.4893   0.0735
  -3.000   0.0431   0.05697   0.05187  -0.0409   0.4869   0.0771
  -2.000   0.1512   0.04909   0.04389  -0.0503   0.4793   0.0890
  -1.500   0.2095   0.04530   0.03991  -0.0546   0.4754   0.0969
  -1.000   0.2667   0.04213   0.03645  -0.0571   0.4717   0.1077
  -0.500   0.3217   0.03957   0.03358  -0.0579   0.4687   0.1212
   0.000   0.3759   0.03784   0.03158  -0.0585   0.4660   0.1364
   0.500   0.4290   0.03782   0.03171  -0.0609   0.4600   0.1545
   1.000   0.4909   0.03606   0.02930  -0.0624   0.4541   0.1345
   1.500   0.5533   0.03256   0.02464  -0.0611   0.4508   0.0847
   2.000   0.6077   0.03193   0.02391  -0.0600   0.4483   0.0888
   2.500   0.6619   0.03172   0.02348  -0.0584   0.4459   0.0924
   3.000   0.6953   0.03691   0.02927  -0.0629   0.4331   0.0981
   3.500   0.7487   0.03633   0.02872  -0.0611   0.4303   0.1087
   4.000   0.8035   0.03574   0.02820  -0.0592   0.4285   0.1365
   4.500   0.8668   0.03413   0.02822  -0.0593   0.4268   1.0000
   5.000   0.8496   0.04661   0.04119  -0.0676   0.4055   1.0000
   5.500   0.9229   0.04340   0.03769  -0.0628   0.4073   1.0000
   6.000   0.9939   0.04069   0.03471  -0.0591   0.4087   1.0000
