  
       XFOIL         Version 6.96
  
 Calculated polar for: LWK 79-100                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5666   0.01216   0.00508  -0.0013   1.0000   0.2215
  -4.500  -0.5203   0.01091   0.00437   0.0000   1.0000   0.3339
  -4.000  -0.4729   0.01013   0.00400   0.0016   1.0000   0.4439
  -3.500  -0.4243   0.00981   0.00393   0.0033   1.0000   0.5228
  -3.000  -0.3764   0.00970   0.00394   0.0051   1.0000   0.5739
  -2.500  -0.3019   0.00971   0.00400   0.0010   0.9683   0.6171
  -2.000  -0.2158   0.00973   0.00394  -0.0046   0.9032   0.6540
  -1.500  -0.1562   0.00981   0.00386  -0.0044   0.8512   0.6830
  -1.000  -0.1041   0.00988   0.00382  -0.0029   0.8160   0.7089
  -0.500  -0.0521   0.00995   0.00382  -0.0014   0.7885   0.7354
   0.000   0.0000   0.00996   0.00383   0.0000   0.7628   0.7628
   0.500   0.0521   0.00995   0.00382   0.0014   0.7354   0.7885
   1.000   0.1041   0.00988   0.00382   0.0029   0.7089   0.8160
   1.500   0.1562   0.00981   0.00386   0.0044   0.6830   0.8512
   2.000   0.2158   0.00973   0.00394   0.0046   0.6541   0.9032
   2.500   0.3020   0.00971   0.00400  -0.0010   0.6171   0.9682
   3.000   0.3764   0.00970   0.00394  -0.0051   0.5739   1.0000
   3.500   0.4244   0.00981   0.00393  -0.0034   0.5228   1.0000
   4.000   0.4730   0.01013   0.00400  -0.0016   0.4439   1.0000
   4.500   0.5203   0.01091   0.00437  -0.0001   0.3338   1.0000
   5.000   0.5667   0.01216   0.00508   0.0013   0.2215   1.0000
   5.500   0.6127   0.01369   0.00618   0.0025   0.1346   1.0000
   6.000   0.6583   0.01543   0.00769   0.0040   0.0913   1.0000
   6.500   0.7036   0.01727   0.00944   0.0056   0.0732   1.0000
   7.000   0.7502   0.01905   0.01128   0.0071   0.0621   1.0000
   7.500   0.7961   0.02139   0.01378   0.0087   0.0541   1.0000
   8.000   0.8402   0.02462   0.01714   0.0101   0.0476   1.0000
   8.500   0.8845   0.02695   0.01985   0.0117   0.0419   1.0000
   9.000   0.9197   0.03258   0.02585   0.0133   0.0382   1.0000
   9.500   0.9496   0.03633   0.03039   0.0157   0.0350   1.0000
  10.000   0.9620   0.04285   0.03766   0.0182   0.0335   1.0000
  10.500   0.9420   0.05163   0.04721   0.0206   0.0337   1.0000
  11.000   0.8885   0.06129   0.05734   0.0195   0.0346   1.0000
  11.500   0.8251   0.07775   0.07410   0.0070   0.0360   1.0000
  12.000   0.7713   0.09914   0.09553  -0.0071   0.0380   1.0000
