  
       XFOIL         Version 6.96
  
 Calculated polar for: LWK 80-120/K25                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5051   0.01368   0.00675  -0.0161   0.9555   0.2772
  -4.500  -0.4852   0.01173   0.00640  -0.0101   0.9437   0.5842
  -4.000  -0.4390   0.01221   0.00709  -0.0072   0.9350   0.7039
  -3.500  -0.3795   0.01292   0.00767  -0.0070   0.9292   0.7488
  -3.000  -0.3306   0.01363   0.00827  -0.0048   0.9211   0.7769
  -2.500  -0.2691   0.01440   0.00899  -0.0046   0.9155   0.7995
  -2.000  -0.2176   0.01510   0.00964  -0.0026   0.9087   0.8234
  -1.500  -0.1589   0.01574   0.01025  -0.0018   0.9021   0.8419
  -1.000  -0.0960   0.01597   0.01042  -0.0027   0.8970   0.8558
  -0.500  -0.0558   0.01610   0.01053   0.0001   0.8865   0.8691
   0.000   0.0000   0.01619   0.01062   0.0000   0.8784   0.8784
   0.500   0.0558   0.01610   0.01053  -0.0001   0.8691   0.8865
   1.000   0.0960   0.01598   0.01042   0.0027   0.8558   0.8969
   1.500   0.1591   0.01573   0.01024   0.0018   0.8418   0.9020
   2.000   0.2174   0.01511   0.00965   0.0026   0.8234   0.9088
   2.500   0.2692   0.01440   0.00899   0.0046   0.7995   0.9155
   3.000   0.3306   0.01363   0.00827   0.0048   0.7769   0.9211
   3.500   0.3795   0.01289   0.00764   0.0070   0.7482   0.9291
   4.000   0.4389   0.01220   0.00708   0.0072   0.7037   0.9350
   4.500   0.4852   0.01172   0.00640   0.0101   0.5851   0.9437
   5.000   0.5052   0.01367   0.00674   0.0161   0.2779   0.9556
   5.500   0.5563   0.01584   0.00805   0.0148   0.1405   0.9626
   6.000   0.6108   0.01722   0.00934   0.0137   0.1040   0.9708
   6.500   0.6700   0.01900   0.01103   0.0116   0.0825   0.9787
   7.000   0.7339   0.02075   0.01287   0.0088   0.0665   0.9854
   7.500   0.7970   0.02305   0.01528   0.0061   0.0554   0.9924
   8.000   0.8607   0.02623   0.01858   0.0031   0.0465   0.9996
   8.500   0.8652   0.02720   0.01989   0.0114   0.0428   1.0000
   9.000   0.8809   0.02927   0.02217   0.0175   0.0396   1.0000
   9.500   0.9060   0.03427   0.02750   0.0209   0.0369   1.0000
  10.000   0.9183   0.03788   0.03182   0.0267   0.0343   1.0000
  10.500   0.9133   0.04404   0.03868   0.0330   0.0334   1.0000
  11.000   0.8816   0.05076   0.04597   0.0409   0.0336   1.0000
  11.500   0.8383   0.05868   0.05434   0.0452   0.0345   1.0000
  12.000   0.7867   0.06894   0.06495   0.0441   0.0352   1.0000
  12.500   0.7367   0.08251   0.07873   0.0369   0.0362   1.0000
