  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA M18 AIRFOIL                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2487   0.04608   0.04119  -0.0437   0.7772   0.0866
  -4.500  -0.2095   0.04207   0.03687  -0.0427   0.7611   0.0932
  -4.000  -0.1699   0.03727   0.03158  -0.0415   0.7459   0.1018
  -3.500  -0.1261   0.03388   0.02768  -0.0401   0.7310   0.1157
  -3.000  -0.0799   0.03111   0.02449  -0.0388   0.7169   0.1309
  -2.500  -0.0320   0.02834   0.02141  -0.0377   0.7020   0.1473
  -2.000   0.0191   0.02545   0.01828  -0.0368   0.6869   0.1553
  -1.500   0.0893   0.01785   0.00887  -0.0340   0.6737   0.0678
  -1.000   0.1452   0.01672   0.00755  -0.0335   0.6589   0.0697
  -0.500   0.1983   0.01556   0.00641  -0.0327   0.6439   0.0750
   0.000   0.2506   0.01493   0.00579  -0.0318   0.6293   0.0887
   0.500   0.2961   0.01361   0.00527  -0.0298   0.6161   0.2996
   1.000   0.4814   0.01294   0.00610  -0.0551   0.5973   1.0000
   1.500   0.5337   0.01309   0.00603  -0.0546   0.5849   1.0000
   2.000   0.5859   0.01324   0.00603  -0.0541   0.5723   1.0000
   2.500   0.6376   0.01345   0.00619  -0.0536   0.5601   1.0000
   3.000   0.6886   0.01371   0.00636  -0.0530   0.5492   1.0000
   3.500   0.7396   0.01394   0.00646  -0.0522   0.5389   1.0000
   4.000   0.7894   0.01413   0.00666  -0.0513   0.5258   1.0000
   4.500   0.8392   0.01446   0.00702  -0.0504   0.5148   1.0000
   5.000   0.8892   0.01482   0.00734  -0.0495   0.5058   1.0000
   5.500   0.9381   0.01518   0.00779  -0.0485   0.4951   1.0000
   6.000   0.9864   0.01565   0.00834  -0.0474   0.4849   1.0000
   6.500   1.0351   0.01604   0.00875  -0.0463   0.4741   1.0000
   7.000   1.0826   0.01644   0.00923  -0.0450   0.4620   1.0000
   7.500   1.1285   0.01689   0.00983  -0.0435   0.4486   1.0000
   8.000   1.1741   0.01745   0.01056  -0.0419   0.4360   1.0000
   8.500   1.2179   0.01771   0.01090  -0.0399   0.4176   1.0000
   9.000   1.2559   0.01776   0.01103  -0.0368   0.3897   1.0000
   9.500   1.2930   0.01810   0.01145  -0.0338   0.3643   1.0000
  10.000   1.3251   0.01864   0.01218  -0.0302   0.3327   1.0000
  10.500   1.3471   0.01965   0.01319  -0.0252   0.2865   1.0000
  11.000   1.3424   0.02185   0.01513  -0.0169   0.2277   1.0000
  11.500   1.3100   0.02634   0.01919  -0.0082   0.1484   1.0000
  12.000   1.2686   0.03390   0.02630  -0.0037   0.0834   1.0000
  13.000   1.2188   0.04914   0.04149  -0.0009   0.0499   1.0000
  13.500   1.2059   0.05607   0.04859  -0.0005   0.0451   1.0000
  14.000   1.1941   0.06313   0.05573  -0.0004   0.0416   1.0000
  14.500   1.1922   0.06903   0.06176   0.0000   0.0385   1.0000
  15.000   1.1965   0.07430   0.06712   0.0002   0.0355   1.0000
  15.500   1.2099   0.07755   0.07032   0.0025   0.0332   1.0000
  16.000   1.2249   0.08149   0.07447   0.0035   0.0314   1.0000
  16.500   1.2379   0.08571   0.07884   0.0041   0.0295   1.0000
  17.000   1.2665   0.08738   0.08047   0.0076   0.0276   1.0000
  17.500   1.2655   0.09417   0.08766   0.0065   0.0271   1.0000
  18.000   1.2584   0.10206   0.09598   0.0048   0.0267   1.0000
