  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA M2 AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5450   0.01694   0.00866  -0.0029   1.0000   0.0666
  -4.500  -0.4955   0.01559   0.00721  -0.0016   1.0000   0.0742
  -4.000  -0.4481   0.01416   0.00582   0.0000   1.0000   0.0853
  -3.500  -0.4018   0.01283   0.00460   0.0018   1.0000   0.1205
  -3.000  -0.3546   0.01195   0.00384   0.0031   1.0000   0.1627
  -2.500  -0.3075   0.01089   0.00316   0.0042   1.0000   0.2325
  -2.000  -0.2697   0.00862   0.00303   0.0074   1.0000   0.7111
  -1.500  -0.2285   0.00842   0.00331   0.0121   1.0000   0.8556
  -1.000  -0.1727   0.00878   0.00372   0.0138   1.0000   0.9590
  -0.500  -0.0539   0.00902   0.00385   0.0009   1.0000   0.9926
   0.000   0.0000   0.00897   0.00378   0.0000   1.0000   1.0000
   0.500   0.0538   0.00902   0.00385  -0.0009   0.9926   1.0000
   1.000   0.1726   0.00878   0.00372  -0.0138   0.9590   1.0000
   1.500   0.2285   0.00842   0.00330  -0.0120   0.8554   1.0000
   2.000   0.2696   0.00862   0.00303  -0.0074   0.7113   1.0000
   2.500   0.3074   0.01089   0.00316  -0.0042   0.2329   1.0000
   3.000   0.3546   0.01195   0.00384  -0.0031   0.1627   1.0000
   3.500   0.4017   0.01283   0.00460  -0.0017   0.1206   1.0000
   4.000   0.4480   0.01416   0.00581   0.0000   0.0853   1.0000
   4.500   0.4954   0.01559   0.00721   0.0016   0.0743   1.0000
   5.000   0.5449   0.01694   0.00866   0.0029   0.0666   1.0000
   5.500   0.5944   0.01934   0.01123   0.0042   0.0615   1.0000
   6.000   0.6450   0.02134   0.01356   0.0054   0.0549   1.0000
   6.500   0.6922   0.02517   0.01793   0.0067   0.0486   1.0000
   7.000   0.7370   0.02896   0.02231   0.0083   0.0425   1.0000
   7.500   0.7551   0.04356   0.03859   0.0124   0.0461   1.0000
