  
       XFOIL         Version 6.96
  
 Calculated polar for: M6 (85%)                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4893   0.02538   0.01819  -0.0051   0.9778   0.0482
  -4.500  -0.4134   0.02065   0.01290  -0.0094   0.9647   0.0492
  -4.000  -0.3311   0.01774   0.00981  -0.0146   0.9515   0.0516
  -3.500  -0.2492   0.01563   0.00759  -0.0194   0.9352   0.0584
  -3.000  -0.1784   0.01395   0.00598  -0.0224   0.9112   0.0730
  -2.500  -0.1189   0.01279   0.00491  -0.0227   0.8825   0.1107
  -2.000  -0.0858   0.01085   0.00417  -0.0182   0.8518   0.3839
  -1.500   0.0854   0.01110   0.00594  -0.0380   0.8351   0.9427
  -1.000   0.2343   0.01161   0.00605  -0.0558   0.8080   0.9868
  -0.500   0.3192   0.01114   0.00530  -0.0621   0.7779   1.0000
   0.000   0.3618   0.01115   0.00510  -0.0597   0.7507   1.0000
   0.500   0.4051   0.01119   0.00496  -0.0574   0.7261   1.0000
   1.000   0.4488   0.01125   0.00492  -0.0551   0.7020   1.0000
   1.500   0.4931   0.01134   0.00490  -0.0529   0.6794   1.0000
   2.000   0.5371   0.01144   0.00494  -0.0506   0.6551   1.0000
   2.500   0.5812   0.01155   0.00495  -0.0481   0.6298   1.0000
   3.000   0.6256   0.01168   0.00509  -0.0459   0.6054   1.0000
   3.500   0.6702   0.01184   0.00520  -0.0435   0.5812   1.0000
   4.000   0.7138   0.01198   0.00538  -0.0410   0.5527   1.0000
   4.500   0.7569   0.01214   0.00556  -0.0383   0.5213   1.0000
   5.000   0.7983   0.01231   0.00572  -0.0353   0.4808   1.0000
   5.500   0.8383   0.01260   0.00597  -0.0321   0.4314   1.0000
   6.000   0.8756   0.01313   0.00635  -0.0286   0.3656   1.0000
   6.500   0.9061   0.01424   0.00703  -0.0242   0.2585   1.0000
   7.000   0.9197   0.01698   0.00872  -0.0178   0.0961   1.0000
   7.500   0.9356   0.01948   0.01102  -0.0112   0.0586   1.0000
   8.000   0.9539   0.02157   0.01312  -0.0051   0.0488   1.0000
   8.500   0.9757   0.02341   0.01508   0.0005   0.0439   1.0000
   9.000   0.9955   0.02589   0.01753   0.0060   0.0410   1.0000
   9.500   1.0272   0.02875   0.02053   0.0096   0.0396   1.0000
  10.000   1.0606   0.03147   0.02350   0.0129   0.0383   1.0000
  10.500   1.0894   0.03447   0.02683   0.0165   0.0368   1.0000
  11.000   1.1132   0.03847   0.03126   0.0204   0.0366   1.0000
  11.500   1.1211   0.04310   0.03639   0.0259   0.0368   1.0000
  12.000   1.1084   0.04794   0.04172   0.0333   0.0371   1.0000
  12.500   1.0854   0.05383   0.04808   0.0389   0.0378   1.0000
  13.000   1.0544   0.06098   0.05564   0.0417   0.0386   1.0000
  13.500   1.0186   0.06975   0.06476   0.0415   0.0393   1.0000
  14.000   0.9976   0.07961   0.07485   0.0402   0.0406   1.0000
  14.500   0.5545   0.13813   0.13431   0.0072   0.0787   1.0000
  15.000   0.5526   0.14352   0.13971   0.0054   0.0756   1.0000
  15.500   0.5664   0.14780   0.14402   0.0054   0.0732   1.0000
  16.000   0.5765   0.15495   0.15119   0.0050   0.0716   1.0000
  16.500   0.5443   0.16136   0.15757  -0.0028   0.0664   1.0000
  17.000   0.5519   0.16620   0.16244  -0.0046   0.0628   1.0000
  17.500   0.5761   0.17127   0.16757  -0.0040   0.0606   1.0000
  18.000   0.5723   0.17855   0.17485  -0.0078   0.0594   1.0000
