  
       XFOIL         Version 6.96
  
 Calculated polar for: MA409 (original)                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.0774   0.01465   0.00755  -0.0965   0.9666   0.0776
  -4.500  -0.0132   0.01464   0.00727  -0.0985   0.9572   0.1053
  -4.000   0.0556   0.01394   0.00646  -0.1014   0.9512   0.1225
  -3.500   0.1203   0.01306   0.00546  -0.1032   0.9434   0.1339
  -3.000   0.1854   0.01222   0.00468  -0.1052   0.9368   0.1603
  -2.500   0.2469   0.01107   0.00428  -0.1068   0.9290   0.3367
  -2.000   0.3052   0.01037   0.00414  -0.1075   0.9204   0.5117
  -1.500   0.3627   0.00912   0.00394  -0.1068   0.9137   1.0000
  -1.000   0.4199   0.00917   0.00382  -0.1070   0.9030   1.0000
  -0.500   0.4778   0.00914   0.00369  -0.1071   0.8906   1.0000
   0.000   0.5349   0.00908   0.00360  -0.1069   0.8757   1.0000
   0.500   0.5917   0.00894   0.00344  -0.1064   0.8544   1.0000
   1.000   0.6481   0.00886   0.00338  -0.1058   0.8288   1.0000
   1.500   0.7038   0.00891   0.00338  -0.1049   0.7928   1.0000
   2.000   0.7577   0.00940   0.00373  -0.1036   0.7476   1.0000
   2.500   0.7950   0.00986   0.00368  -0.0987   0.5840   1.0000
   3.000   0.8342   0.01130   0.00450  -0.0953   0.4335   1.0000
   4.000   0.9028   0.01691   0.00803  -0.0879   0.0274   1.0000
   4.500   0.9426   0.01935   0.01069  -0.0848   0.0225   1.0000
   5.000   0.9828   0.02257   0.01400  -0.0815   0.0222   1.0000
   5.500   1.0343   0.02612   0.01790  -0.0791   0.0250   1.0000
   6.000   1.0855   0.03212   0.02458  -0.0765   0.0285   1.0000
