  
       XFOIL         Version 6.96
  
 Calculated polar for: MARSKE XM-1D AIRFOIL (F14-3.0)                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4318   0.03937   0.03331   0.0067   0.5777   0.1586
  -4.500  -0.3931   0.03693   0.03077   0.0090   0.5644   0.1880
  -4.000  -0.3537   0.03427   0.02799   0.0115   0.5504   0.2207
  -3.500  -0.3096   0.03145   0.02506   0.0138   0.5371   0.2469
  -3.000  -0.2203   0.02005   0.01041   0.0168   0.5284   0.0697
  -2.500  -0.1644   0.01872   0.00907   0.0178   0.5142   0.0688
  -2.000  -0.1114   0.01769   0.00806   0.0191   0.5012   0.0691
  -1.500  -0.0607   0.01688   0.00719   0.0207   0.4899   0.0713
  -1.000  -0.0108   0.01619   0.00653   0.0224   0.4780   0.0736
  -0.500   0.0412   0.01587   0.00616   0.0238   0.4663   0.0770
   0.000   0.0933   0.01559   0.00587   0.0251   0.4565   0.0914
   0.500   0.1369   0.01466   0.00582   0.0275   0.4458   0.3110
   1.000   0.1734   0.01309   0.00604   0.0325   0.4374   0.8271
   1.500   0.2516   0.01371   0.00682   0.0298   0.4262   0.9112
   2.000   0.3513   0.01468   0.00759   0.0228   0.4154   0.9475
   2.500   0.4657   0.01543   0.00823   0.0123   0.4039   0.9733
   3.000   0.5963   0.01579   0.00849  -0.0023   0.3921   0.9987
   3.500   0.6465   0.01600   0.00862  -0.0016   0.3844   1.0000
   4.000   0.6912   0.01649   0.00906   0.0000   0.3777   1.0000
   4.500   0.7354   0.01686   0.00953   0.0017   0.3695   1.0000
   5.000   0.7804   0.01726   0.00982   0.0036   0.3630   1.0000
   5.500   0.8232   0.01801   0.01073   0.0054   0.3560   1.0000
   6.000   0.8669   0.01836   0.01110   0.0074   0.3477   1.0000
   6.500   0.9100   0.01886   0.01159   0.0095   0.3393   1.0000
   7.000   0.9527   0.01918   0.01198   0.0116   0.3301   1.0000
   7.500   0.9965   0.01983   0.01259   0.0136   0.3234   1.0000
   8.000   1.0362   0.02046   0.01344   0.0159   0.3145   1.0000
   8.500   1.0820   0.02088   0.01373   0.0178   0.3074   1.0000
   9.000   1.1187   0.02163   0.01480   0.0203   0.2980   1.0000
   9.500   1.1645   0.02192   0.01496   0.0221   0.2896   1.0000
  10.000   1.2006   0.02245   0.01577   0.0247   0.2785   1.0000
  10.500   1.2385   0.02293   0.01636   0.0271   0.2672   1.0000
  11.000   1.2761   0.02327   0.01672   0.0295   0.2546   1.0000
  11.500   1.3075   0.02389   0.01740   0.0323   0.2403   1.0000
  12.000   1.3282   0.02504   0.01865   0.0358   0.2248   1.0000
  12.500   1.3313   0.02692   0.02060   0.0406   0.2100   1.0000
  13.000   1.3196   0.03079   0.02457   0.0424   0.1961   1.0000
  13.500   1.3096   0.03592   0.02976   0.0418   0.1822   1.0000
  14.000   1.2969   0.04158   0.03549   0.0411   0.1696   1.0000
  14.500   1.2834   0.04759   0.04158   0.0401   0.1584   1.0000
  15.000   1.2725   0.05354   0.04756   0.0390   0.1483   1.0000
  15.500   1.2682   0.05900   0.05297   0.0380   0.1386   1.0000
  16.000   1.2613   0.06531   0.05933   0.0361   0.1296   1.0000
  16.500   1.2517   0.07230   0.06645   0.0339   0.1212   1.0000
  17.000   1.2556   0.07737   0.07148   0.0328   0.1131   1.0000
  17.500   1.2433   0.08522   0.07949   0.0297   0.1063   1.0000
  18.000   1.2371   0.09220   0.08657   0.0272   0.0998   1.0000
