  
       XFOIL         Version 6.96
  
 Calculated polar for: MARSKE PIONEER IA AIRFOIL (NACA 23112/43012A HYB
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.500  -0.3748   0.02078   0.01329   0.0066   0.9519   0.0638
  -4.000  -0.2883   0.01808   0.01029   0.0018   0.9145   0.0681
  -3.500  -0.2132   0.01611   0.00829  -0.0010   0.8594   0.0736
  -3.000  -0.1590   0.01519   0.00712   0.0006   0.8026   0.0787
  -2.500  -0.1157   0.01410   0.00594   0.0040   0.7539   0.0872
  -2.000  -0.0738   0.01342   0.00509   0.0076   0.7084   0.0993
  -1.500  -0.0471   0.01150   0.00418   0.0134   0.6604   0.3719
  -1.000   0.0043   0.01141   0.00572   0.0197   0.5782   0.9051
  -0.500   0.1610   0.01427   0.00732   0.0034   0.4008   0.9440
   0.000   0.2564   0.01501   0.00745  -0.0039   0.3466   0.9649
   0.500   0.3225   0.01519   0.00733  -0.0063   0.3218   0.9747
   1.000   0.3913   0.01535   0.00725  -0.0092   0.3028   0.9839
   1.500   0.4657   0.01543   0.00712  -0.0134   0.2877   0.9923
   2.000   0.5385   0.01564   0.00709  -0.0173   0.2755   0.9999
   2.500   0.5821   0.01589   0.00737  -0.0154   0.2665   1.0000
   3.000   0.6254   0.01652   0.00783  -0.0135   0.2582   1.0000
   3.500   0.6687   0.01688   0.00831  -0.0114   0.2516   1.0000
   4.000   0.7120   0.01741   0.00879  -0.0094   0.2452   1.0000
   4.500   0.7551   0.01819   0.00958  -0.0074   0.2391   1.0000
   5.000   0.7973   0.01875   0.01029  -0.0052   0.2332   1.0000
   5.500   0.8394   0.01941   0.01093  -0.0030   0.2276   1.0000
   6.000   0.8800   0.02047   0.01207  -0.0007   0.2223   1.0000
   6.500   0.9185   0.02121   0.01301   0.0022   0.2166   1.0000
   7.000   0.9579   0.02202   0.01387   0.0048   0.2117   1.0000
   7.500   0.9955   0.02339   0.01532   0.0075   0.2070   1.0000
   8.000   1.0290   0.02438   0.01660   0.0110   0.2015   1.0000
   8.500   1.0646   0.02537   0.01771   0.0142   0.1968   1.0000
   9.000   1.1017   0.02705   0.01938   0.0168   0.1924   1.0000
   9.500   1.1273   0.02837   0.02114   0.0212   0.1870   1.0000
  10.000   1.1598   0.02954   0.02247   0.0246   0.1821   1.0000
  10.500   1.1991   0.03130   0.02419   0.0265   0.1778   1.0000
  11.000   1.2120   0.03332   0.02675   0.0320   0.1725   1.0000
  11.500   1.2447   0.03390   0.02743   0.0350   0.1669   1.0000
  12.000   1.2748   0.03498   0.02857   0.0380   0.1612   1.0000
  12.500   1.2828   0.03678   0.03072   0.0434   0.1556   1.0000
  13.000   1.3180   0.03728   0.03121   0.0457   0.1512   1.0000
  13.500   1.3100   0.04004   0.03426   0.0520   0.1473   1.0000
  14.000   1.2716   0.04480   0.03944   0.0572   0.1435   1.0000
  14.500   1.2900   0.04631   0.04102   0.0585   0.1389   1.0000
  15.000   1.2855   0.05074   0.04560   0.0586   0.1349   1.0000
  15.500   0.7408   0.15248   0.14775   0.0031   0.1141   1.0000
  16.000   0.7242   0.16439   0.15969  -0.0031   0.1064   1.0000
  16.500   0.7784   0.16023   0.15562   0.0004   0.1019   1.0000
  17.000   0.7318   0.18187   0.17728  -0.0106   0.1035   1.0000
  17.500   0.7560   0.18706   0.18254  -0.0115   0.1020   1.0000
  18.000   0.7752   0.19000   0.18552  -0.0134   0.0915   1.0000
