  
       XFOIL         Version 6.96
  
 Calculated polar for: MARSKE PIONEER IID ROOT AIRFOIL (NACA 431012A/24
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4482   0.02458   0.01734   0.0110   0.9720   0.0511
  -4.500  -0.3597   0.01988   0.01229   0.0054   0.9395   0.0533
  -4.000  -0.2680   0.01733   0.00959  -0.0007   0.8830   0.0586
  -3.500  -0.2009   0.01548   0.00750  -0.0016   0.8133   0.0633
  -3.000  -0.1546   0.01457   0.00638   0.0012   0.7611   0.0690
  -2.500  -0.1126   0.01388   0.00548   0.0048   0.7177   0.0773
  -2.000  -0.0696   0.01330   0.00480   0.0082   0.6741   0.0964
  -1.500  -0.0654   0.01038   0.00480   0.0197   0.6346   0.8166
  -1.000   0.0650   0.01310   0.00701   0.0112   0.5406   0.9153
  -0.500   0.1754   0.01455   0.00767   0.0023   0.4464   0.9418
   0.000   0.2686   0.01522   0.00780  -0.0044   0.3904   0.9632
   0.500   0.3422   0.01534   0.00756  -0.0082   0.3580   0.9729
   1.000   0.4109   0.01538   0.00737  -0.0111   0.3353   0.9808
   1.500   0.4686   0.01550   0.00731  -0.0119   0.3183   0.9863
   2.000   0.5294   0.01563   0.00729  -0.0135   0.3035   0.9912
   2.500   0.5873   0.01591   0.00741  -0.0144   0.2920   0.9954
   3.000   0.6494   0.01605   0.00753  -0.0162   0.2811   0.9999
   3.500   0.6927   0.01654   0.00799  -0.0143   0.2723   1.0000
   4.000   0.7355   0.01697   0.00841  -0.0123   0.2644   1.0000
   4.500   0.7782   0.01766   0.00911  -0.0103   0.2579   1.0000
   5.000   0.8198   0.01816   0.00973  -0.0081   0.2510   1.0000
   5.500   0.8618   0.01888   0.01037  -0.0060   0.2447   1.0000
   6.000   0.9007   0.01955   0.01127  -0.0033   0.2384   1.0000
   6.500   0.9392   0.02008   0.01184  -0.0006   0.2315   1.0000
   7.000   0.9770   0.02109   0.01290   0.0021   0.2258   1.0000
   7.500   1.0112   0.02182   0.01388   0.0056   0.2195   1.0000
   8.000   1.0480   0.02260   0.01469   0.0085   0.2143   1.0000
   8.500   1.0811   0.02389   0.01615   0.0120   0.2090   1.0000
   9.000   1.1123   0.02475   0.01725   0.0159   0.2025   1.0000
   9.500   1.1514   0.02578   0.01820   0.0183   0.1968   1.0000
  10.000   1.1763   0.02711   0.01996   0.0228   0.1908   1.0000
  10.500   1.2106   0.02798   0.02092   0.0260   0.1847   1.0000
  11.000   1.2397   0.02949   0.02264   0.0294   0.1784   1.0000
  11.500   1.2645   0.03075   0.02415   0.0335   0.1719   1.0000
  12.000   1.2992   0.03202   0.02543   0.0359   0.1659   1.0000
  12.500   1.3063   0.03371   0.02754   0.0417   0.1595   1.0000
  13.000   1.3457   0.03433   0.02804   0.0435   0.1534   1.0000
  13.500   0.9224   0.08491   0.08013   0.0344   0.1496   1.0000
  14.000   0.9916   0.07912   0.07444   0.0387   0.1467   1.0000
  14.500   0.9478   0.09328   0.08862   0.0323   0.1403   1.0000
  15.000   1.0359   0.08414   0.07958   0.0383   0.1381   1.0000
  16.000   0.7721   0.15391   0.14928   0.0041   0.1155   1.0000
  16.500   0.7377   0.17109   0.16648  -0.0046   0.1133   1.0000
  17.000   0.7145   0.18648   0.18191  -0.0129   0.1217   1.0000
  17.500   0.7380   0.19088   0.18639  -0.0140   0.1167   1.0000
  18.000   0.5824   0.17803   0.17416  -0.0067   0.1147   1.0000
