  
       XFOIL         Version 6.96
  
 Calculated polar for: MH 18  11.16%                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3081   0.02299   0.01590  -0.0418   0.8338   0.0237
  -4.500  -0.2572   0.01966   0.01206  -0.0401   0.8242   0.0251
  -4.000  -0.2102   0.01728   0.00950  -0.0380   0.8161   0.0361
  -3.500  -0.1666   0.01535   0.00777  -0.0354   0.8081   0.1086
  -3.000  -0.1205   0.01423   0.00716  -0.0342   0.7993   0.2394
  -2.500  -0.0856   0.01272   0.00675  -0.0302   0.7925   0.5176
  -2.000   0.0419   0.01196   0.00703  -0.0427   0.7861   0.9289
  -1.500   0.1485   0.01244   0.00707  -0.0519   0.7801   0.9799
  -1.000   0.2482   0.01227   0.00663  -0.0615   0.7711   1.0000
  -0.500   0.2935   0.01226   0.00642  -0.0600   0.7619   1.0000
   0.000   0.3396   0.01224   0.00622  -0.0584   0.7524   1.0000
   0.500   0.3880   0.01233   0.00623  -0.0574   0.7414   1.0000
   1.000   0.4363   0.01242   0.00625  -0.0562   0.7306   1.0000
   1.500   0.4844   0.01248   0.00623  -0.0548   0.7201   1.0000
   2.000   0.5327   0.01248   0.00614  -0.0531   0.7095   1.0000
   2.500   0.5817   0.01251   0.00617  -0.0518   0.6970   1.0000
   3.000   0.6310   0.01254   0.00621  -0.0504   0.6835   1.0000
   3.500   0.6805   0.01254   0.00625  -0.0490   0.6692   1.0000
   4.000   0.7299   0.01257   0.00638  -0.0477   0.6517   1.0000
   4.500   0.7794   0.01252   0.00643  -0.0463   0.6326   1.0000
   5.000   0.8289   0.01242   0.00641  -0.0447   0.6110   1.0000
   5.500   0.8779   0.01235   0.00649  -0.0431   0.5837   1.0000
   6.000   0.9260   0.01237   0.00663  -0.0415   0.5482   1.0000
   6.500   0.9718   0.01261   0.00689  -0.0395   0.5001   1.0000
   7.000   1.0120   0.01335   0.00749  -0.0369   0.4363   1.0000
   7.500   1.0451   0.01460   0.00851  -0.0335   0.3591   1.0000
   8.000   1.0712   0.01616   0.00984  -0.0293   0.2823   1.0000
   8.500   1.0806   0.01844   0.01165  -0.0230   0.1815   1.0000
   9.000   1.0591   0.02188   0.01429  -0.0128   0.0770   1.0000
   9.500   1.0390   0.02603   0.01811  -0.0045   0.0373   1.0000
  10.000   1.0344   0.03003   0.02223   0.0009   0.0219   1.0000
  10.500   1.0263   0.03493   0.02729   0.0059   0.0172   1.0000
  11.000   1.0408   0.03805   0.03060   0.0084   0.0134   1.0000
  11.500   1.0489   0.04262   0.03529   0.0119   0.0114   1.0000
  12.000   1.0670   0.04750   0.04054   0.0151   0.0107   1.0000
  12.500   1.0731   0.05314   0.04666   0.0176   0.0104   1.0000
  13.000   1.0641   0.06023   0.05426   0.0192   0.0103   1.0000
  13.500   1.0446   0.06844   0.06293   0.0194   0.0105   1.0000
  14.000   1.0152   0.07839   0.07332   0.0177   0.0106   1.0000
  14.500   0.9842   0.08967   0.08496   0.0139   0.0108   1.0000
  15.000   0.9472   0.10376   0.09938   0.0081   0.0111   1.0000
  15.500   0.9262   0.11594   0.11183   0.0011   0.0113   1.0000
  16.000   0.8990   0.13146   0.12760  -0.0084   0.0115   1.0000
