  
       XFOIL         Version 6.96
  
 Calculated polar for: MH 201  13.08%                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2463   0.02034   0.01266  -0.0786   0.9314   0.0279
  -4.500  -0.1942   0.01877   0.01111  -0.0788   0.9205   0.0375
  -4.000  -0.1193   0.01499   0.00875  -0.0850   0.9168   0.3110
  -3.500  -0.0688   0.01382   0.00886  -0.0846   0.9061   0.6102
  -3.000   0.0055   0.01421   0.00924  -0.0864   0.9020   0.7099
  -2.500   0.0562   0.01474   0.00964  -0.0841   0.8905   0.7449
  -2.000   0.1302   0.01484   0.00958  -0.0861   0.8862   0.7720
  -1.500   0.1788   0.01505   0.00970  -0.0835   0.8737   0.7930
  -1.000   0.2339   0.01507   0.00962  -0.0825   0.8624   0.8128
  -0.500   0.3018   0.01479   0.00924  -0.0835   0.8552   0.8306
   0.000   0.3511   0.01466   0.00906  -0.0813   0.8412   0.8462
   0.500   0.4056   0.01444   0.00878  -0.0805   0.8269   0.8597
   1.000   0.4574   0.01415   0.00845  -0.0789   0.8118   0.8707
   1.500   0.5116   0.01383   0.00809  -0.0780   0.7957   0.8817
   2.000   0.5679   0.01351   0.00773  -0.0776   0.7783   0.8925
   2.500   0.6175   0.01326   0.00748  -0.0761   0.7574   0.9034
   3.000   0.6665   0.01293   0.00716  -0.0742   0.7349   0.9128
   3.500   0.7163   0.01266   0.00689  -0.0728   0.7094   0.9222
   4.000   0.7647   0.01243   0.00667  -0.0711   0.6793   0.9323
   4.500   0.8090   0.01221   0.00645  -0.0686   0.6430   0.9430
   5.000   0.8537   0.01215   0.00632  -0.0663   0.5982   0.9549
   5.500   0.9008   0.01240   0.00641  -0.0648   0.5446   0.9684
   6.000   0.9546   0.01301   0.00683  -0.0652   0.4808   0.9852
   6.500   0.9979   0.01388   0.00747  -0.0641   0.4186   1.0000
   7.000   1.0383   0.01502   0.00838  -0.0627   0.3599   1.0000
   7.500   1.0775   0.01626   0.00944  -0.0611   0.3059   1.0000
   8.000   1.1151   0.01769   0.01071  -0.0595   0.2591   1.0000
   8.500   1.1503   0.01928   0.01215  -0.0575   0.2190   1.0000
   9.000   1.1830   0.02097   0.01376  -0.0552   0.1856   1.0000
   9.500   1.2129   0.02284   0.01557  -0.0526   0.1590   1.0000
  10.000   1.2392   0.02494   0.01761  -0.0497   0.1375   1.0000
  10.500   1.2657   0.02710   0.01984  -0.0469   0.1195   1.0000
  11.000   1.2897   0.02948   0.02231  -0.0442   0.1044   1.0000
  11.500   1.3112   0.03216   0.02510  -0.0414   0.0918   1.0000
  12.000   1.3302   0.03516   0.02820  -0.0388   0.0809   1.0000
  12.500   1.3469   0.03853   0.03163  -0.0364   0.0712   1.0000
  13.000   1.3598   0.04198   0.03535  -0.0343   0.0633   1.0000
  13.500   1.3709   0.04618   0.03980  -0.0323   0.0562   1.0000
  14.000   1.3803   0.05083   0.04452  -0.0308   0.0502   1.0000
  14.500   1.3817   0.05605   0.05013  -0.0299   0.0454   1.0000
  15.000   1.3842   0.06191   0.05613  -0.0293   0.0411   1.0000
  16.000   1.3752   0.07586   0.07059  -0.0310   0.0344   1.0000
  16.500   1.3561   0.08578   0.08103  -0.0341   0.0324   1.0000
  17.000   1.3379   0.09623   0.09186  -0.0386   0.0303   1.0000
  17.500   1.3315   0.10490   0.10058  -0.0424   0.0278   1.0000
  18.000   1.2990   0.11935   0.11551  -0.0505   0.0270   1.0000
