  
       XFOIL         Version 6.96
  
 Calculated polar for: MH 44  9.66%                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4882   0.02122   0.01418  -0.0115   0.9977   0.0240
  -4.500  -0.4128   0.01752   0.01007  -0.0148   0.9871   0.0241
  -4.000  -0.3387   0.01485   0.00721  -0.0182   0.9750   0.0299
  -3.500  -0.2715   0.01165   0.00529  -0.0214   0.9616   0.2937
  -3.000  -0.2035   0.01074   0.00489  -0.0240   0.9460   0.4561
  -2.500  -0.1491   0.00992   0.00466  -0.0229   0.9276   0.6207
  -2.000  -0.1008   0.00926   0.00452  -0.0197   0.9058   0.7888
  -1.500   0.0047   0.00910   0.00442  -0.0279   0.8910   0.9281
  -1.000   0.0989   0.00926   0.00430  -0.0344   0.8712   0.9775
  -0.500   0.1785   0.00916   0.00395  -0.0391   0.8453   1.0000
   0.000   0.2187   0.00909   0.00366  -0.0357   0.8153   1.0000
   0.500   0.2627   0.00904   0.00344  -0.0330   0.7828   1.0000
   1.000   0.3084   0.00901   0.00325  -0.0304   0.7485   1.0000
   1.500   0.3556   0.00906   0.00313  -0.0282   0.7115   1.0000
   2.000   0.4037   0.00920   0.00307  -0.0263   0.6721   1.0000
   2.500   0.4526   0.00944   0.00314  -0.0245   0.6308   1.0000
   3.000   0.5018   0.00975   0.00329  -0.0229   0.5879   1.0000
   3.500   0.5512   0.01012   0.00354  -0.0215   0.5437   1.0000
   4.000   0.6004   0.01055   0.00385  -0.0201   0.4984   1.0000
   4.500   0.6492   0.01106   0.00426  -0.0187   0.4518   1.0000
   5.000   0.6975   0.01164   0.00473  -0.0172   0.4033   1.0000
   5.500   0.7449   0.01231   0.00533  -0.0158   0.3510   1.0000
   6.000   0.7913   0.01312   0.00603  -0.0143   0.2971   1.0000
   6.500   0.8362   0.01410   0.00692  -0.0126   0.2437   1.0000
   7.500   0.9207   0.01663   0.00923  -0.0089   0.1501   1.0000
   8.000   0.9591   0.01827   0.01079  -0.0066   0.1127   1.0000
   8.500   0.9960   0.02003   0.01258  -0.0041   0.0819   1.0000
   9.000   1.0266   0.02241   0.01496  -0.0009   0.0611   1.0000
   9.500   1.0556   0.02497   0.01767   0.0025   0.0476   1.0000
  10.000   1.0806   0.02837   0.02122   0.0061   0.0391   1.0000
  10.500   1.1054   0.03088   0.02405   0.0096   0.0330   1.0000
  11.500   1.1228   0.03869   0.03258   0.0183   0.0250   1.0000
  12.000   1.1183   0.04407   0.03816   0.0213   0.0219   1.0000
  12.500   1.1000   0.05027   0.04491   0.0226   0.0201   1.0000
  13.000   1.0798   0.05798   0.05307   0.0212   0.0189   1.0000
  13.500   1.0529   0.06789   0.06338   0.0170   0.0180   1.0000
  14.000   1.0154   0.08112   0.07702   0.0095   0.0181   1.0000
  14.500   0.9655   0.09896   0.09522  -0.0015   0.0197   1.0000
  15.000   0.6348   0.15084   0.14754  -0.0249   0.0490   1.0000
  15.500   0.7847   0.17917   0.17547  -0.0417   0.0544   1.0000
  16.000   0.6153   0.17090   0.16760  -0.0355   0.0590   1.0000
  16.500   0.6230   0.17691   0.17365  -0.0382   0.0537   1.0000
  17.000   0.6354   0.18467   0.18143  -0.0398   0.0503   1.0000
  17.500   0.6288   0.19129   0.18806  -0.0458   0.0448   1.0000
  18.000   0.6511   0.19901   0.19581  -0.0455   0.0397   1.0000
