  
       XFOIL         Version 6.96
  
 Calculated polar for: MH 62  9.3%                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4102   0.01980   0.01293  -0.0268   0.9848   0.0232
  -4.500  -0.3345   0.01638   0.00912  -0.0301   0.9674   0.0261
  -4.000  -0.2758   0.01360   0.00623  -0.0303   0.9440   0.0438
  -3.500  -0.2348   0.01129   0.00506  -0.0277   0.9189   0.2984
  -3.000  -0.1910   0.01075   0.00480  -0.0248   0.8966   0.4197
  -2.500  -0.1484   0.01017   0.00460  -0.0214   0.8756   0.5544
  -2.000  -0.1057   0.00956   0.00442  -0.0177   0.8555   0.7022
  -1.500  -0.0512   0.00907   0.00432  -0.0153   0.8365   0.8796
  -1.000   0.0520   0.00903   0.00403  -0.0236   0.8191   0.9800
  -0.500   0.1217   0.00899   0.00371  -0.0265   0.7970   1.0000
   0.000   0.1676   0.00903   0.00350  -0.0243   0.7750   1.0000
   0.500   0.2160   0.00908   0.00336  -0.0225   0.7510   1.0000
   1.000   0.2656   0.00914   0.00326  -0.0209   0.7256   1.0000
   1.500   0.3159   0.00921   0.00320  -0.0193   0.6984   1.0000
   2.000   0.3668   0.00930   0.00316  -0.0179   0.6686   1.0000
   2.500   0.4183   0.00942   0.00315  -0.0166   0.6353   1.0000
   3.000   0.4702   0.00960   0.00323  -0.0155   0.5971   1.0000
   3.500   0.5223   0.00987   0.00339  -0.0144   0.5540   1.0000
   4.000   0.5745   0.01024   0.00365  -0.0136   0.5061   1.0000
   5.000   0.6780   0.01135   0.00455  -0.0121   0.4070   1.0000
   5.500   0.7290   0.01207   0.00517  -0.0114   0.3561   1.0000
   6.000   0.7791   0.01293   0.00594  -0.0107   0.3050   1.0000
   6.500   0.8284   0.01389   0.00683  -0.0100   0.2527   1.0000
   7.000   0.8763   0.01503   0.00791  -0.0092   0.2036   1.0000
   7.500   0.9226   0.01634   0.00920  -0.0083   0.1585   1.0000
   8.000   0.9664   0.01788   0.01066  -0.0072   0.1160   1.0000
   8.500   1.0062   0.01991   0.01263  -0.0057   0.0755   1.0000
   9.000   1.0400   0.02262   0.01540  -0.0035   0.0460   1.0000
   9.500   1.0647   0.02609   0.01897  -0.0006   0.0309   1.0000
  10.000   1.0838   0.02994   0.02303   0.0026   0.0213   1.0000
  10.500   1.0997   0.03369   0.02717   0.0063   0.0168   1.0000
  11.000   1.1038   0.03826   0.03200   0.0098   0.0149   1.0000
  12.000   1.0710   0.05425   0.04899   0.0123   0.0136   1.0000
  12.500   1.0543   0.06155   0.05673   0.0094   0.0129   1.0000
  13.000   1.0291   0.07197   0.06756   0.0039   0.0126   1.0000
  13.500   0.9861   0.08740   0.08333  -0.0047   0.0135   1.0000
  14.000   0.8560   0.09914   0.09567  -0.0090   0.0154   1.0000
  14.500   0.7745   0.12463   0.12157  -0.0247   0.0184   1.0000
  15.000   0.7129   0.14310   0.14004  -0.0354   0.0209   1.0000
  15.500   0.8254   0.18085   0.17726  -0.0550   0.0266   1.0000
  16.000   0.6699   0.17371   0.17059  -0.0491   0.0292   1.0000
