  
       XFOIL         Version 6.96
  
 Calculated polar for: NASA/LANGLEY MS(1)-0313 AIRFOIL                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2610   0.01751   0.00974  -0.0698   0.9558   0.0894
  -4.500  -0.1995   0.01586   0.00851  -0.0726   0.9476   0.1568
  -4.000  -0.1245   0.01359   0.00832  -0.0788   0.9440   0.6113
  -3.500  -0.0519   0.01417   0.00887  -0.0811   0.9399   0.6782
  -3.000  -0.0029   0.01497   0.00962  -0.0789   0.9294   0.7108
  -2.500   0.0587   0.01574   0.01039  -0.0783   0.9241   0.7407
  -2.000   0.0998   0.01656   0.01123  -0.0741   0.9128   0.7632
  -1.500   0.1641   0.01669   0.01131  -0.0749   0.9073   0.7789
  -1.000   0.2114   0.01699   0.01160  -0.0728   0.8952   0.7948
  -0.500   0.2701   0.01673   0.01130  -0.0725   0.8824   0.8045
   0.000   0.3325   0.01566   0.01016  -0.0716   0.8618   0.8131
   0.500   0.3903   0.01494   0.00937  -0.0705   0.8427   0.8225
   1.000   0.4445   0.01441   0.00882  -0.0690   0.8247   0.8304
   1.500   0.5016   0.01396   0.00836  -0.0687   0.8031   0.8396
   2.000   0.5537   0.01345   0.00788  -0.0668   0.7779   0.8473
   2.500   0.6114   0.01305   0.00747  -0.0667   0.7456   0.8566
   3.000   0.6609   0.01266   0.00705  -0.0644   0.6952   0.8644
   3.500   0.7089   0.01282   0.00664  -0.0621   0.5515   0.8737
   4.000   0.7358   0.01479   0.00733  -0.0571   0.3304   0.8832
   4.500   0.7723   0.01629   0.00819  -0.0544   0.2336   0.8931
   5.000   0.8165   0.01740   0.00907  -0.0530   0.1961   0.9037
   5.500   0.8584   0.01837   0.00993  -0.0508   0.1766   0.9151
   6.000   0.9012   0.01925   0.01079  -0.0488   0.1631   0.9278
   6.500   0.9450   0.02026   0.01180  -0.0469   0.1530   0.9426
   7.000   0.9893   0.02120   0.01274  -0.0452   0.1452   0.9627
   7.500   1.0457   0.02253   0.01418  -0.0462   0.1382   1.0000
   8.000   1.1070   0.02407   0.01575  -0.0486   0.1314   1.0000
   8.500   1.1691   0.02628   0.01807  -0.0510   0.1259   1.0000
   9.000   1.2250   0.02795   0.01997  -0.0523   0.1200   1.0000
   9.500   1.2827   0.03064   0.02263  -0.0542   0.1138   1.0000
  10.000   1.3278   0.03229   0.02469  -0.0535   0.1089   1.0000
  10.500   1.3727   0.03405   0.02658  -0.0530   0.1035   1.0000
  11.000   1.4124   0.03704   0.02984  -0.0520   0.0984   1.0000
  11.500   1.4419   0.03906   0.03221  -0.0491   0.0931   1.0000
  12.000   1.4794   0.04206   0.03519  -0.0481   0.0879   1.0000
  12.500   1.4803   0.04453   0.03823  -0.0415   0.0840   1.0000
  13.000   1.4881   0.04686   0.04082  -0.0366   0.0800   1.0000
  13.500   1.5032   0.05037   0.04439  -0.0337   0.0761   1.0000
  14.000   1.4771   0.05562   0.05026  -0.0281   0.0733   1.0000
  14.500   1.4616   0.06099   0.05600  -0.0252   0.0703   1.0000
  15.000   1.4766   0.06382   0.05880  -0.0240   0.0672   1.0000
  15.500   1.4363   0.07351   0.06895  -0.0235   0.0655   1.0000
  16.000   1.3626   0.08900   0.08507  -0.0282   0.0649   1.0000
  16.500   1.2152   0.12453   0.12123  -0.0499   0.0662   1.0000
