  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 1-H-15 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.500  -0.3321   0.07267   0.06848  -0.0569   0.7414   0.0729
  -3.000  -0.2805   0.06265   0.05720  -0.0439   0.7265   0.0945
  -2.500  -0.2404   0.06030   0.05474  -0.0425   0.7230   0.1016
  -2.000  -0.1877   0.05857   0.05262  -0.0421   0.7209   0.1166
  -1.500  -0.1979   0.05706   0.05081  -0.0337   0.7115   0.1281
  -1.000  -0.1520   0.05572   0.04933  -0.0326   0.7073   0.1494
  -0.500  -0.0843   0.05382   0.04651  -0.0316   0.7054   0.1159
   0.000  -0.0901   0.05467   0.04742  -0.0250   0.6948   0.1576
   0.500  -0.0123   0.05097   0.04235  -0.0238   0.6919   0.0649
   1.500   0.0600   0.05123   0.04253  -0.0198   0.6783   0.0675
   2.000   0.1298   0.05225   0.04363  -0.0215   0.6757   0.0719
   2.500   0.1416   0.05226   0.04363  -0.0166   0.6633   0.0751
   3.000   0.4205   0.05155   0.04550  -0.0605   0.6474   1.0000
   4.000   0.4631   0.05412   0.04790  -0.0533   0.6258   1.0000
   4.500   0.5109   0.05495   0.04867  -0.0525   0.6205   1.0000
   5.000   0.5746   0.05542   0.04910  -0.0532   0.6173   1.0000
   6.000   0.6110   0.05878   0.05249  -0.0466   0.5940   1.0000
   6.500   0.6705   0.05902   0.05277  -0.0469   0.5903   1.0000
   7.500   0.7282   0.06167   0.05556  -0.0424   0.5673   1.0000
   8.000   0.8118   0.05837   0.05236  -0.0431   0.5612   1.0000
   8.500   0.8759   0.05519   0.04931  -0.0418   0.5480   1.0000
  10.000   1.1052   0.03800   0.03104  -0.0366   0.2937   1.0000
  10.500   1.0508   0.04593   0.03783  -0.0283   0.1379   1.0000
  11.000   1.0426   0.05085   0.04236  -0.0239   0.0910   1.0000
  11.500   1.0507   0.05455   0.04604  -0.0209   0.0794   1.0000
  12.000   1.0639   0.05779   0.04927  -0.0183   0.0724   1.0000
  12.500   1.0842   0.06028   0.05182  -0.0159   0.0675   1.0000
  13.000   1.1089   0.06234   0.05390  -0.0137   0.0628   1.0000
  13.500   1.1443   0.06306   0.05460  -0.0113   0.0585   1.0000
  14.000   1.1782   0.06440   0.05608  -0.0094   0.0546   1.0000
  14.500   1.2316   0.06419   0.05582  -0.0076   0.0498   1.0000
  15.000   1.2566   0.06686   0.05885  -0.0058   0.0468   1.0000
  15.500   1.2878   0.06923   0.06140  -0.0042   0.0438   1.0000
  16.000   1.3196   0.07270   0.06516  -0.0026   0.0407   1.0000
  16.500   1.3194   0.07823   0.07122  -0.0003   0.0390   1.0000
  17.000   1.3143   0.08448   0.07791   0.0015   0.0375   1.0000
  17.500   1.3165   0.08998   0.08365   0.0026   0.0359   1.0000
