  
       XFOIL         Version 6.96
  
 Calculated polar for: N-22                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1059   0.01503   0.00726  -0.0975   0.8694   0.1046
  -4.500   0.1603   0.01412   0.00635  -0.0963   0.8509   0.1311
  -4.000   0.2142   0.01323   0.00564  -0.0953   0.8327   0.1844
  -3.500   0.2675   0.01256   0.00523  -0.0945   0.8132   0.2588
  -3.000   0.3181   0.01156   0.00502  -0.0934   0.7930   0.4700
  -2.500   0.3767   0.01023   0.00502  -0.0917   0.7733   0.9526
  -2.000   0.4486   0.01025   0.00470  -0.0946   0.7522   1.0001
  -1.500   0.5003   0.01039   0.00458  -0.0935   0.7291   1.0001
  -1.000   0.5527   0.01056   0.00451  -0.0925   0.7052   1.0001
  -0.500   0.6053   0.01075   0.00448  -0.0916   0.6797   1.0001
   0.000   0.6582   0.01097   0.00449  -0.0907   0.6533   1.0001
   0.500   0.7103   0.01123   0.00458  -0.0898   0.6232   1.0001
   1.000   0.7624   0.01155   0.00472  -0.0890   0.5920   1.0001
   1.500   0.8139   0.01195   0.00493  -0.0881   0.5600   1.0001
   2.000   0.8651   0.01245   0.00526  -0.0874   0.5292   1.0001
   2.500   0.9160   0.01301   0.00566  -0.0866   0.5002   1.0001
   3.000   0.9654   0.01359   0.00607  -0.0856   0.4699   1.0001
   3.500   1.0150   0.01422   0.00657  -0.0848   0.4446   1.0001
   4.000   1.0648   0.01488   0.00718  -0.0841   0.4232   1.0001
   4.500   1.1140   0.01555   0.00785  -0.0834   0.4034   1.0001
   5.000   1.1623   0.01624   0.00855  -0.0825   0.3842   1.0001
   5.500   1.2096   0.01697   0.00930  -0.0815   0.3655   1.0001
   6.000   1.2554   0.01777   0.01009  -0.0804   0.3468   1.0001
   6.500   1.2981   0.01853   0.01099  -0.0787   0.3256   1.0001
   7.000   1.3369   0.01937   0.01189  -0.0765   0.3015   1.0001
   7.500   1.3710   0.02035   0.01296  -0.0736   0.2738   1.0001
   8.000   1.3967   0.02157   0.01417  -0.0695   0.2427   1.0001
   8.500   1.4156   0.02314   0.01571  -0.0646   0.2145   1.0001
   9.000   1.4328   0.02516   0.01765  -0.0602   0.1924   1.0001
   9.500   1.4520   0.02731   0.01986  -0.0567   0.1746   1.0001
  10.000   1.4693   0.02977   0.02240  -0.0535   0.1606   1.0001
  10.500   1.4841   0.03253   0.02526  -0.0506   0.1476   1.0001
  11.000   1.4961   0.03570   0.02855  -0.0481   0.1356   1.0001
  11.500   1.5051   0.03937   0.03238  -0.0462   0.1231   1.0001
  12.000   1.5128   0.04353   0.03682  -0.0452   0.1070   1.0001
  12.500   1.5054   0.04973   0.04310  -0.0445   0.0765   1.0001
  13.000   1.4772   0.05884   0.05210  -0.0444   0.0502   1.0001
  13.500   1.4492   0.06877   0.06215  -0.0454   0.0425   1.0001
  14.000   1.4203   0.07953   0.07310  -0.0474   0.0390   1.0001
  14.500   1.3965   0.09007   0.08389  -0.0500   0.0365   1.0001
  15.000   1.3708   0.10117   0.09516  -0.0532   0.0346   1.0001
  15.500   1.3533   0.11102   0.10516  -0.0561   0.0329   1.0001
  16.000   1.3436   0.11976   0.11408  -0.0589   0.0310   1.0001
  16.500   1.3392   0.12737   0.12174  -0.0615   0.0292   1.0001
  17.000   1.3445   0.13284   0.12729  -0.0627   0.0277   1.0001
  17.500   1.3464   0.13966   0.13433  -0.0654   0.0266   1.0001
  18.000   1.3495   0.14630   0.14115  -0.0682   0.0255   1.0001
