  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 2414                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3957   0.01643   0.00875  -0.0425   0.9600   0.1813
  -4.500  -0.3214   0.01561   0.00813  -0.0465   0.9488   0.2239
  -4.000  -0.2380   0.01477   0.00749  -0.0522   0.9408   0.2798
  -3.500  -0.1686   0.01397   0.00696  -0.0549   0.9273   0.3391
  -3.000  -0.1024   0.01315   0.00643  -0.0566   0.9129   0.4086
  -2.500  -0.0408   0.01233   0.00597  -0.0572   0.8968   0.4959
  -2.000   0.0159   0.01158   0.00562  -0.0563   0.8785   0.5961
  -1.500   0.0704   0.01099   0.00535  -0.0546   0.8583   0.6926
  -1.000   0.1225   0.01063   0.00519  -0.0522   0.8353   0.7773
  -0.500   0.1735   0.01050   0.00517  -0.0494   0.8085   0.8492
   0.000   0.2320   0.01057   0.00518  -0.0480   0.7817   0.9054
   0.500   0.3047   0.01078   0.00523  -0.0500   0.7519   0.9444
   1.000   0.3923   0.01101   0.00527  -0.0557   0.7196   0.9705
   1.500   0.4882   0.01116   0.00522  -0.0637   0.6857   0.9906
   2.000   0.5612   0.01125   0.00512  -0.0676   0.6530   1.0000
   2.500   0.6055   0.01142   0.00509  -0.0656   0.6245   1.0000
   3.000   0.6490   0.01164   0.00521  -0.0633   0.5954   1.0000
   3.500   0.6929   0.01194   0.00538  -0.0610   0.5674   1.0000
   4.000   0.7366   0.01229   0.00560  -0.0585   0.5393   1.0000
   4.500   0.7798   0.01265   0.00590  -0.0559   0.5103   1.0000
   5.000   0.8229   0.01308   0.00622  -0.0533   0.4809   1.0000
   5.500   0.8651   0.01355   0.00658  -0.0505   0.4498   1.0000
   6.000   0.9068   0.01403   0.00701  -0.0477   0.4160   1.0000
   6.500   0.9477   0.01458   0.00750  -0.0448   0.3790   1.0000
   7.000   0.9875   0.01524   0.00809  -0.0418   0.3381   1.0000
   7.500   1.0246   0.01613   0.00882  -0.0386   0.2950   1.0000
   8.000   1.0585   0.01724   0.00975  -0.0350   0.2495   1.0000
   8.500   1.0897   0.01855   0.01090  -0.0312   0.2054   1.0000
   9.000   1.1159   0.02013   0.01230  -0.0268   0.1687   1.0000
   9.500   1.1356   0.02190   0.01392  -0.0216   0.1413   1.0000
  10.000   1.1573   0.02378   0.01578  -0.0170   0.1203   1.0000
  10.500   1.1759   0.02600   0.01795  -0.0127   0.1054   1.0000
  11.000   1.1949   0.02839   0.02037  -0.0089   0.0939   1.0000
  11.500   1.2136   0.03099   0.02305  -0.0056   0.0847   1.0000
  12.000   1.2313   0.03390   0.02602  -0.0026   0.0773   1.0000
  12.500   1.2493   0.03699   0.02908   0.0000   0.0712   1.0000
  13.000   1.2657   0.04015   0.03245   0.0021   0.0660   1.0000
  13.500   1.2838   0.04358   0.03594   0.0042   0.0617   1.0000
  14.000   1.2962   0.04735   0.03992   0.0058   0.0579   1.0000
  14.500   1.3138   0.05112   0.04375   0.0074   0.0547   1.0000
  15.000   1.3171   0.05609   0.04908   0.0084   0.0521   1.0000
  15.500   1.3265   0.06055   0.05364   0.0091   0.0497   1.0000
  16.000   1.3283   0.06628   0.05962   0.0095   0.0477   1.0000
  16.500   1.3115   0.07419   0.06798   0.0082   0.0462   1.0000
  17.000   1.2960   0.08253   0.07666   0.0061   0.0450   1.0000
  17.500   1.2773   0.09180   0.08625   0.0029   0.0440   1.0000
  18.000   1.2666   0.10021   0.09484  -0.0001   0.0430   1.0000
