  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 63-412 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2298   0.01626   0.00868  -0.0790   0.9387   0.0660
  -4.500  -0.1645   0.01466   0.00704  -0.0814   0.9259   0.0832
  -4.000  -0.1101   0.01148   0.00550  -0.0835   0.9109   0.4154
  -3.500  -0.0537   0.01120   0.00551  -0.0831   0.8957   0.5689
  -3.000   0.0009   0.01126   0.00555  -0.0820   0.8802   0.6242
  -2.500   0.0530   0.01156   0.00585  -0.0801   0.8643   0.6737
  -2.000   0.1050   0.01179   0.00601  -0.0783   0.8485   0.7097
  -1.500   0.1576   0.01182   0.00598  -0.0769   0.8328   0.7307
  -1.000   0.2111   0.01182   0.00591  -0.0760   0.8172   0.7505
  -0.500   0.2651   0.01182   0.00583  -0.0753   0.8016   0.7699
   0.000   0.3184   0.01183   0.00581  -0.0744   0.7861   0.7882
   0.500   0.3707   0.01186   0.00584  -0.0733   0.7708   0.8063
   1.000   0.4227   0.01191   0.00590  -0.0722   0.7554   0.8255
   1.500   0.4745   0.01196   0.00597  -0.0711   0.7400   0.8462
   2.000   0.5244   0.01200   0.00607  -0.0695   0.7244   0.8670
   2.500   0.5730   0.01201   0.00615  -0.0676   0.7086   0.8902
   3.000   0.6191   0.01194   0.00617  -0.0651   0.6923   0.9159
   3.500   0.6675   0.01178   0.00610  -0.0631   0.6744   0.9470
   4.000   0.7377   0.01159   0.00601  -0.0658   0.6499   0.9835
   4.500   0.7984   0.01156   0.00598  -0.0672   0.6183   1.0000
   5.000   0.8540   0.01158   0.00596  -0.0673   0.5746   1.0000
   5.500   0.9080   0.01185   0.00623  -0.0672   0.5280   1.0000
   6.000   0.9554   0.01244   0.00664  -0.0659   0.4440   1.0000
   6.500   0.9749   0.01528   0.00810  -0.0611   0.2022   1.0000
   7.000   0.9918   0.01887   0.01074  -0.0564   0.0760   1.0000
   7.500   1.0220   0.02107   0.01291  -0.0531   0.0572   1.0000
   8.000   1.0481   0.02355   0.01546  -0.0492   0.0490   1.0000
   8.500   1.0772   0.02656   0.01842  -0.0460   0.0431   1.0000
   9.000   1.1187   0.02906   0.02110  -0.0442   0.0393   1.0000
   9.500   1.1678   0.03235   0.02454  -0.0439   0.0366   1.0000
  10.000   1.2271   0.03841   0.03087  -0.0454   0.0349   1.0000
  10.500   1.2528   0.04313   0.03622  -0.0423   0.0337   1.0000
  11.000   1.2668   0.04904   0.04278  -0.0384   0.0335   1.0000
  11.500   1.2609   0.05602   0.05033  -0.0333   0.0339   1.0000
  12.000   1.2569   0.06447   0.05921  -0.0299   0.0349   1.0000
  12.500   1.1642   0.07456   0.07039  -0.0248   0.0388   1.0000
  13.000   1.1068   0.08800   0.08428  -0.0284   0.0409   1.0000
