  
       XFOIL         Version 6.96
  
 Calculated polar for: NASA/LANGLEY 64-012 AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.000  -0.3120   0.01167   0.00604  -0.0067   0.8959   0.6955
  -2.500  -0.2633   0.01187   0.00614  -0.0043   0.8763   0.7217
  -2.000  -0.2119   0.01181   0.00599  -0.0030   0.8579   0.7353
  -1.500  -0.1599   0.01175   0.00582  -0.0020   0.8407   0.7512
  -1.000  -0.1071   0.01168   0.00568  -0.0011   0.8241   0.7642
  -0.500  -0.0536   0.01165   0.00561  -0.0006   0.8078   0.7780
   0.000   0.0000   0.01162   0.00553   0.0000   0.7931   0.7931
   0.500   0.0536   0.01165   0.00561   0.0006   0.7779   0.8078
   1.000   0.1071   0.01168   0.00568   0.0011   0.7642   0.8241
   1.500   0.1599   0.01175   0.00582   0.0020   0.7512   0.8407
   2.000   0.2119   0.01181   0.00599   0.0030   0.7353   0.8578
   2.500   0.2633   0.01187   0.00614   0.0043   0.7217   0.8763
   3.000   0.3120   0.01167   0.00604   0.0067   0.6955   0.8959
   3.500   0.3590   0.01117   0.00550   0.0100   0.6518   0.9167
   4.000   0.4118   0.01096   0.00537   0.0114   0.6116   0.9384
   4.500   0.4739   0.01087   0.00530   0.0107   0.5381   0.9588
   5.000   0.5259   0.01462   0.00676   0.0081   0.0914   0.9797
   5.500   0.6023   0.01680   0.00876   0.0021   0.0628   0.9947
   6.000   0.6369   0.01835   0.01027   0.0044   0.0547   1.0000
   6.500   0.6691   0.01989   0.01180   0.0078   0.0495   1.0000
   7.000   0.7155   0.02241   0.01439   0.0091   0.0459   1.0000
   7.500   0.7651   0.02511   0.01728   0.0099   0.0430   1.0000
   8.000   0.8140   0.02895   0.02134   0.0105   0.0414   1.0000
   8.500   0.8562   0.03489   0.02776   0.0116   0.0408   1.0000
