  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 642-015 AIRFOIL                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.000  -0.3324   0.01424   0.00805   0.0004   0.8008   0.6668
  -2.500  -0.2777   0.01409   0.00777   0.0005   0.7867   0.6769
  -2.000  -0.2229   0.01395   0.00751   0.0006   0.7735   0.6869
  -1.500  -0.1677   0.01384   0.00731   0.0007   0.7611   0.6973
  -1.000  -0.1120   0.01373   0.00711   0.0005   0.7495   0.7070
  -0.500  -0.0561   0.01365   0.00697   0.0003   0.7381   0.7169
   0.000   0.0000   0.01363   0.00694   0.0000   0.7274   0.7274
   0.500   0.0561   0.01365   0.00697  -0.0003   0.7169   0.7381
   1.000   0.1119   0.01373   0.00711  -0.0005   0.7070   0.7495
   1.500   0.1676   0.01384   0.00731  -0.0007   0.6973   0.7611
   2.000   0.2228   0.01395   0.00751  -0.0006   0.6870   0.7735
   2.500   0.2777   0.01409   0.00777  -0.0005   0.6769   0.7867
   3.000   0.3324   0.01424   0.00805  -0.0004   0.6668   0.8009
   3.500   0.3861   0.01410   0.00798   0.0006   0.6513   0.8156
   4.000   0.4379   0.01368   0.00762   0.0023   0.6266   0.8304
   4.500   0.4890   0.01327   0.00728   0.0040   0.5977   0.8473
   5.000   0.5381   0.01302   0.00719   0.0060   0.5678   0.8637
   5.500   0.5856   0.01282   0.00712   0.0082   0.5290   0.8821
   6.000   0.6273   0.01280   0.00709   0.0114   0.4456   0.9028
   6.500   0.6327   0.01553   0.00831   0.0185   0.1608   0.9326
   7.000   0.6671   0.01800   0.01029   0.0199   0.0868   0.9634
   7.500   0.7333   0.02027   0.01245   0.0150   0.0680   0.9877
   8.000   0.7677   0.02195   0.01404   0.0159   0.0602   1.0000
   9.000   0.8508   0.02592   0.01797   0.0180   0.0499   1.0000
   9.500   0.9049   0.02863   0.02062   0.0175   0.0465   1.0000
  10.000   0.9513   0.03153   0.02388   0.0181   0.0441   1.0000
  10.500   1.0010   0.03481   0.02719   0.0178   0.0419   1.0000
  11.000   1.0356   0.03961   0.03251   0.0192   0.0411   1.0000
  11.500   1.0491   0.04473   0.03829   0.0224   0.0407   1.0000
  12.000   1.0416   0.05032   0.04446   0.0270   0.0405   1.0000
  12.500   1.0310   0.05683   0.05138   0.0300   0.0410   1.0000
