  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 642-015A AIRFOIL                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5455   0.01269   0.00698  -0.0058   0.9352   0.5813
  -4.000  -0.4282   0.01287   0.00699  -0.0057   0.8999   0.6444
  -3.500  -0.3750   0.01318   0.00725  -0.0040   0.8819   0.6736
  -3.000  -0.3219   0.01327   0.00725  -0.0028   0.8645   0.6932
  -2.500  -0.2687   0.01323   0.00710  -0.0019   0.8473   0.7081
  -2.000  -0.2154   0.01311   0.00685  -0.0013   0.8306   0.7206
  -1.500  -0.1623   0.01298   0.00661  -0.0009   0.8147   0.7333
  -1.000  -0.1082   0.01291   0.00649  -0.0005   0.7990   0.7452
  -0.500  -0.0539   0.01287   0.00644  -0.0003   0.7843   0.7571
   0.000   0.0000   0.01285   0.00641   0.0000   0.7702   0.7701
   0.500   0.0539   0.01287   0.00644   0.0003   0.7571   0.7843
   1.000   0.1082   0.01291   0.00649   0.0005   0.7453   0.7990
   1.500   0.1624   0.01298   0.00661   0.0009   0.7334   0.8146
   2.000   0.2155   0.01311   0.00685   0.0013   0.7206   0.8306
   2.500   0.2687   0.01323   0.00710   0.0019   0.7081   0.8473
   3.000   0.3219   0.01327   0.00725   0.0028   0.6932   0.8645
   3.500   0.3750   0.01318   0.00725   0.0040   0.6736   0.8819
   4.000   0.4282   0.01287   0.00699   0.0057   0.6444   0.9000
   4.500   0.4856   0.01277   0.00692   0.0061   0.6188   0.9176
   5.000   0.5455   0.01269   0.00698   0.0058   0.5812   0.9353
   5.500   0.6109   0.01273   0.00703   0.0042   0.5223   0.9515
   6.000   0.6626   0.01451   0.00767   0.0035   0.2643   0.9701
   6.500   0.7160   0.01803   0.01004   0.0003   0.0941   0.9870
   7.000   0.7840   0.02034   0.01226  -0.0046   0.0677   1.0000
   7.500   0.7796   0.02105   0.01298   0.0051   0.0613   1.0000
   8.000   0.7895   0.02264   0.01453   0.0124   0.0561   1.0000
   8.500   0.8172   0.02428   0.01615   0.0166   0.0511   1.0000
   9.000   0.8569   0.02670   0.01862   0.0186   0.0469   1.0000
   9.500   0.9001   0.02913   0.02123   0.0201   0.0440   1.0000
  10.000   0.9440   0.03212   0.02435   0.0212   0.0420   1.0000
  11.000   1.0035   0.04133   0.03446   0.0260   0.0398   1.0000
  11.500   1.0082   0.04634   0.04004   0.0308   0.0395   1.0000
  12.000   0.9963   0.05226   0.04645   0.0363   0.0398   1.0000
  12.500   0.9773   0.05967   0.05425   0.0399   0.0403   1.0000
  13.000   0.4842   0.11656   0.11301   0.0219   0.0873   1.0000
  13.500   0.4840   0.12305   0.11949   0.0204   0.0842   1.0000
  14.000   0.6407   0.14215   0.13834   0.0011   0.0724   1.0000
  14.500   0.6646   0.14660   0.14282   0.0024   0.0703   1.0000
  15.000   0.4547   0.14126   0.13769   0.0131   0.0716   1.0000
  15.500   0.4853   0.14663   0.14309   0.0154   0.0693   1.0000
  16.000   0.4407   0.15343   0.14986   0.0065   0.0652   1.0000
  16.500   0.4470   0.15817   0.15461   0.0045   0.0614   1.0000
  17.000   0.4855   0.16422   0.16069   0.0071   0.0585   1.0000
  17.500   0.4520   0.16905   0.16550  -0.0008   0.0557   1.0000
  18.000   0.4580   0.17395   0.17041  -0.0033   0.0519   1.0000
