  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 64(1)-212 MOD B                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3808   0.01765   0.00986  -0.0339   0.9651   0.0546
  -4.500  -0.3061   0.01598   0.00826  -0.0381   0.9557   0.0660
  -4.000  -0.2354   0.01416   0.00664  -0.0417   0.9431   0.0970
  -3.500  -0.1905   0.01117   0.00580  -0.0407   0.9198   0.5708
  -3.000  -0.1348   0.01118   0.00580  -0.0389   0.8987   0.6355
  -2.500  -0.0846   0.01130   0.00588  -0.0359   0.8762   0.6775
  -2.000  -0.0395   0.01186   0.00657  -0.0311   0.8552   0.7288
  -1.500   0.0126   0.01171   0.00630  -0.0293   0.8338   0.7449
  -1.000   0.0649   0.01152   0.00598  -0.0274   0.8113   0.7600
  -0.500   0.1176   0.01130   0.00569  -0.0260   0.7846   0.7742
   0.000   0.1701   0.01108   0.00537  -0.0243   0.7535   0.7894
   0.500   0.2214   0.01089   0.00503  -0.0223   0.7064   0.8053
   1.000   0.2670   0.01097   0.00463  -0.0191   0.5645   0.8218
   1.500   0.2992   0.01279   0.00503  -0.0149   0.3005   0.8399
   2.000   0.3448   0.01348   0.00546  -0.0128   0.2711   0.8587
   2.500   0.3908   0.01400   0.00585  -0.0106   0.2538   0.8794
   3.000   0.4369   0.01437   0.00622  -0.0083   0.2424   0.9037
   3.500   0.4811   0.01488   0.00668  -0.0056   0.2338   0.9298
   4.000   0.5374   0.01533   0.00711  -0.0055   0.2248   0.9584
   4.500   0.6154   0.01630   0.00803  -0.0103   0.2170   0.9807
   5.000   0.6923   0.01716   0.00893  -0.0153   0.2099   1.0000
   5.500   0.7382   0.01833   0.00998  -0.0146   0.2040   1.0000
   6.000   0.7931   0.01939   0.01117  -0.0151   0.1994   1.0000
   6.500   0.8482   0.02048   0.01238  -0.0155   0.1938   1.0000
   7.000   0.9033   0.02190   0.01377  -0.0160   0.1885   1.0000
   7.500   0.9554   0.02342   0.01554  -0.0159   0.1828   1.0000
   8.000   1.0067   0.02444   0.01672  -0.0157   0.1757   1.0000
   8.500   1.0573   0.02613   0.01847  -0.0156   0.1691   1.0000
   9.000   1.1046   0.02682   0.01944  -0.0147   0.1608   1.0000
   9.500   1.1529   0.02801   0.02066  -0.0143   0.1534   1.0000
  10.000   1.1966   0.02846   0.02140  -0.0130   0.1447   1.0000
  10.500   1.2395   0.02920   0.02227  -0.0117   0.1363   1.0000
  11.000   1.2823   0.02901   0.02208  -0.0102   0.1274   1.0000
  11.500   1.3144   0.02920   0.02256  -0.0074   0.1167   1.0000
  12.000   1.3416   0.02954   0.02308  -0.0041   0.1053   1.0000
  12.500   1.3573   0.03047   0.02412   0.0005   0.0938   1.0000
  13.000   1.3681   0.03251   0.02624   0.0042   0.0827   1.0000
  13.500   1.3736   0.03575   0.02961   0.0071   0.0736   1.0000
  14.000   1.3731   0.04009   0.03416   0.0091   0.0668   1.0000
  14.500   1.3663   0.04553   0.03969   0.0100   0.0620   1.0000
  15.000   1.3554   0.05207   0.04655   0.0094   0.0581   1.0000
  15.500   1.3448   0.05915   0.05364   0.0081   0.0548   1.0000
  16.000   1.3163   0.06967   0.06464   0.0035   0.0529   1.0000
  16.500   1.2843   0.08229   0.07762  -0.0035   0.0512   1.0000
  17.000   1.2531   0.09615   0.09176  -0.0118   0.0496   1.0000
  17.500   1.2438   0.10553   0.10116  -0.0162   0.0474   1.0000
  18.000   1.1763   0.12867   0.12475  -0.0317   0.0473   1.0000
