  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 0010-64                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.6136   0.01748   0.00898   0.0117   1.0000   0.0745
  -4.500  -0.5737   0.01623   0.00764   0.0146   1.0000   0.0802
  -4.000  -0.5345   0.01505   0.00650   0.0175   1.0000   0.0935
  -3.500  -0.4967   0.01333   0.00536   0.0202   1.0000   0.1778
  -3.000  -0.4650   0.01078   0.00476   0.0235   1.0000   0.5702
  -2.500  -0.4255   0.01028   0.00509   0.0277   1.0000   0.7756
  -2.000  -0.3859   0.01063   0.00561   0.0322   1.0000   0.8717
  -1.500  -0.3373   0.01143   0.00640   0.0352   1.0000   0.9354
  -1.000  -0.2357   0.01246   0.00728   0.0265   0.9999   0.9676
  -0.500  -0.0973   0.01323   0.00792   0.0099   1.0000   0.9878
   0.000   0.0000   0.01334   0.00800   0.0000   0.9987   0.9987
   0.500   0.0972   0.01323   0.00792  -0.0099   0.9878   1.0000
   1.000   0.2357   0.01246   0.00728  -0.0266   0.9676   0.9999
   1.500   0.3373   0.01143   0.00640  -0.0352   0.9355   1.0000
   2.000   0.3859   0.01063   0.00561  -0.0322   0.8717   1.0000
   2.500   0.4255   0.01028   0.00508  -0.0276   0.7755   1.0000
   3.000   0.4649   0.01077   0.00476  -0.0235   0.5703   1.0000
   3.500   0.4966   0.01332   0.00536  -0.0202   0.1783   1.0000
   4.500   0.5736   0.01622   0.00763  -0.0146   0.0802   1.0000
   5.000   0.6135   0.01748   0.00897  -0.0117   0.0745   1.0000
   5.500   0.6541   0.01886   0.01039  -0.0089   0.0691   1.0000
   6.000   0.6964   0.02126   0.01290  -0.0064   0.0649   1.0000
   6.500   0.7373   0.02304   0.01500  -0.0035   0.0608   1.0000
   7.000   0.7762   0.02523   0.01745  -0.0004   0.0566   1.0000
   7.500   0.8084   0.02923   0.02188   0.0034   0.0524   1.0000
   8.000   0.8343   0.03302   0.02641   0.0087   0.0490   1.0000
   8.500   0.8564   0.03704   0.03092   0.0138   0.0457   1.0000
   9.000   0.8133   0.05358   0.04906   0.0256   0.0584   1.0000
  10.000   0.6966   0.08068   0.07707   0.0274   0.0742   1.0000
  10.500   0.6637   0.09628   0.09261   0.0144   0.0721   1.0000
