  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 23012  12%                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5047   0.02120   0.01326   0.0023   1.0000   0.0587
  -4.500  -0.4627   0.01951   0.01142   0.0049   1.0000   0.0617
  -4.000  -0.4000   0.01772   0.00962   0.0032   0.9956   0.0679
  -3.500  -0.3138   0.01604   0.00801  -0.0030   0.9844   0.0787
  -3.000  -0.2269   0.01457   0.00668  -0.0095   0.9709   0.0991
  -2.500  -0.1531   0.01166   0.00515  -0.0140   0.9513   0.3805
  -2.000  -0.0950   0.00990   0.00500  -0.0125   0.9267   0.7609
  -1.500  -0.0376   0.00972   0.00497  -0.0101   0.8957   0.8514
  -1.000   0.0202   0.00983   0.00499  -0.0077   0.8590   0.9072
  -0.500   0.0967   0.01028   0.00523  -0.0091   0.8127   0.9449
   0.000   0.1830   0.01051   0.00510  -0.0141   0.7553   0.9637
   0.500   0.2639   0.01071   0.00491  -0.0187   0.6872   0.9810
   1.000   0.3490   0.01091   0.00468  -0.0247   0.6093   0.9953
   1.500   0.4101   0.01112   0.00446  -0.0264   0.5354   1.0000
   2.000   0.4556   0.01145   0.00440  -0.0249   0.4675   1.0000
   2.500   0.5009   0.01189   0.00449  -0.0233   0.4099   1.0000
   3.000   0.5453   0.01241   0.00471  -0.0215   0.3665   1.0000
   3.500   0.5899   0.01295   0.00506  -0.0197   0.3356   1.0000
   4.000   0.6343   0.01358   0.00550  -0.0177   0.3126   1.0000
   4.500   0.6793   0.01418   0.00602  -0.0158   0.2933   1.0000
   5.000   0.7244   0.01486   0.00663  -0.0139   0.2772   1.0000
   5.500   0.7698   0.01560   0.00731  -0.0120   0.2626   1.0000
   6.000   0.8156   0.01641   0.00806  -0.0103   0.2490   1.0000
   6.500   0.8611   0.01708   0.00883  -0.0084   0.2361   1.0000
   7.000   0.9067   0.01793   0.00975  -0.0067   0.2235   1.0000
   7.500   0.9524   0.01885   0.01073  -0.0051   0.2115   1.0000
   8.000   0.9981   0.01979   0.01169  -0.0036   0.1994   1.0000
   8.500   1.0430   0.02059   0.01256  -0.0020   0.1869   1.0000
   9.000   1.0864   0.02136   0.01352  -0.0002   0.1742   1.0000
   9.500   1.1285   0.02220   0.01452   0.0017   0.1611   1.0000
  10.000   1.1686   0.02308   0.01554   0.0038   0.1478   1.0000
  10.500   1.2061   0.02406   0.01667   0.0061   0.1343   1.0000
  11.000   1.2398   0.02520   0.01793   0.0087   0.1205   1.0000
  11.500   1.2678   0.02664   0.01946   0.0119   0.1068   1.0000
  12.000   1.2859   0.02850   0.02140   0.0161   0.0943   1.0000
  12.500   1.2973   0.03093   0.02397   0.0203   0.0833   1.0000
  13.000   1.3046   0.03407   0.02730   0.0234   0.0740   1.0000
  13.500   1.3072   0.03819   0.03165   0.0252   0.0663   1.0000
  14.000   1.3034   0.04358   0.03725   0.0258   0.0605   1.0000
  14.500   1.2976   0.04965   0.04335   0.0253   0.0557   1.0000
  15.000   1.2850   0.05742   0.05153   0.0226   0.0520   1.0000
  15.500   1.2753   0.06485   0.05902   0.0203   0.0488   1.0000
  16.000   1.2552   0.07434   0.06884   0.0166   0.0465   1.0000
  16.500   1.2337   0.08463   0.07942   0.0118   0.0445   1.0000
  17.000   1.2256   0.09266   0.08752   0.0087   0.0424   1.0000
  17.500   1.2007   0.10412   0.09924   0.0033   0.0410   1.0000
  18.000   1.1558   0.12058   0.11612  -0.0063   0.0405   1.0000
