  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 2.5411                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4093   0.01860   0.01075  -0.0404   0.9745   0.0753
  -4.500  -0.3386   0.01709   0.00931  -0.0438   0.9637   0.0929
  -4.000  -0.2649   0.01603   0.00832  -0.0475   0.9536   0.1203
  -3.500  -0.1902   0.01502   0.00747  -0.0514   0.9434   0.1643
  -3.000  -0.1226   0.01408   0.00685  -0.0539   0.9305   0.2327
  -2.500  -0.0528   0.01315   0.00632  -0.0567   0.9184   0.3315
  -1.500   0.0811   0.01064   0.00550  -0.0594   0.8963   0.7532
  -1.000   0.1813   0.01027   0.00542  -0.0663   0.8845   0.9246
  -0.500   0.2995   0.01012   0.00512  -0.0778   0.8709   0.9731
   0.000   0.4187   0.00977   0.00460  -0.0903   0.8508   1.0000
   0.500   0.4646   0.00959   0.00422  -0.0880   0.8175   1.0000
   1.000   0.5076   0.00957   0.00402  -0.0851   0.7812   1.0000
   1.500   0.5514   0.00967   0.00394  -0.0823   0.7453   1.0000
   2.000   0.5958   0.00987   0.00396  -0.0795   0.7103   1.0000
   2.500   0.6402   0.01015   0.00406  -0.0768   0.6764   1.0000
   3.000   0.6842   0.01049   0.00425  -0.0741   0.6431   1.0000
   3.500   0.7280   0.01086   0.00451  -0.0713   0.6103   1.0000
   4.000   0.7710   0.01125   0.00482  -0.0684   0.5764   1.0000
   4.500   0.8133   0.01166   0.00516  -0.0654   0.5409   1.0000
   5.000   0.8544   0.01212   0.00550  -0.0621   0.5032   1.0000
   5.500   0.8947   0.01259   0.00594  -0.0588   0.4634   1.0000
   6.000   0.9334   0.01313   0.00641  -0.0552   0.4190   1.0000
   6.500   0.9690   0.01379   0.00696  -0.0512   0.3625   1.0000
   7.000   0.9995   0.01480   0.00770  -0.0466   0.2871   1.0000
   7.500   1.0222   0.01646   0.00887  -0.0411   0.1951   1.0000
   8.000   1.0407   0.01855   0.01048  -0.0351   0.1248   1.0000
   8.500   1.0593   0.02049   0.01226  -0.0292   0.0929   1.0000
   9.000   1.0768   0.02237   0.01412  -0.0232   0.0758   1.0000
   9.500   1.0945   0.02448   0.01624  -0.0177   0.0643   1.0000
  10.000   1.1141   0.02687   0.01870  -0.0130   0.0565   1.0000
  10.500   1.1378   0.02976   0.02157  -0.0093   0.0508   1.0000
  11.000   1.1637   0.03212   0.02414  -0.0060   0.0461   1.0000
  11.500   1.1984   0.03566   0.02773  -0.0042   0.0424   1.0000
  12.000   1.2219   0.03891   0.03137  -0.0010   0.0402   1.0000
  12.500   1.2406   0.04259   0.03538   0.0021   0.0382   1.0000
  13.000   1.2587   0.04643   0.03935   0.0045   0.0362   1.0000
  13.500   1.2582   0.05270   0.04606   0.0074   0.0352   1.0000
  14.000   1.2386   0.05901   0.05289   0.0102   0.0349   1.0000
  14.500   1.2082   0.06709   0.06148   0.0109   0.0347   1.0000
  15.000   1.1701   0.07719   0.07205   0.0089   0.0347   1.0000
  15.500   1.1250   0.08971   0.08498   0.0038   0.0349   1.0000
  16.000   1.0768   0.10501   0.10062  -0.0042   0.0353   1.0000
  16.500   0.6613   0.17540   0.17202  -0.0497   0.0697   1.0000
  17.000   0.6661   0.18168   0.17833  -0.0533   0.0642   1.0000
  17.500   0.6944   0.18692   0.18363  -0.0527   0.0617   1.0000
  18.000   0.6753   0.19588   0.19258  -0.0607   0.0590   1.0000
