  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 63(2)A-015                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2979   0.01841   0.01052  -0.0391   0.9123   0.0575
  -4.500  -0.2450   0.01678   0.00888  -0.0387   0.8910   0.0702
  -4.000  -0.2070   0.01571   0.00777  -0.0353   0.8665   0.0836
  -3.500  -0.1699   0.01475   0.00670  -0.0316   0.8450   0.0986
  -3.000  -0.1462   0.01287   0.00546  -0.0259   0.8252   0.2831
  -2.500  -0.1335   0.01174   0.00572  -0.0166   0.8068   0.6468
  -2.000  -0.0872   0.01199   0.00592  -0.0136   0.7897   0.6977
  -1.500  -0.0384   0.01222   0.00609  -0.0113   0.7732   0.7325
  -1.000   0.0093   0.01253   0.00640  -0.0085   0.7569   0.7698
  -0.500   0.0619   0.01261   0.00645  -0.0072   0.7408   0.7905
   0.000   0.1143   0.01258   0.00634  -0.0062   0.7240   0.8074
   0.500   0.1662   0.01245   0.00611  -0.0048   0.7023   0.8247
   1.000   0.2181   0.01237   0.00599  -0.0036   0.6818   0.8424
   1.500   0.2722   0.01238   0.00598  -0.0029   0.6642   0.8603
   2.000   0.3280   0.01243   0.00601  -0.0025   0.6461   0.8784
   2.500   0.3869   0.01252   0.00609  -0.0028   0.6271   0.8960
   3.000   0.4506   0.01265   0.00618  -0.0041   0.6064   0.9126
   3.500   0.5179   0.01283   0.00636  -0.0063   0.5828   0.9279
   4.000   0.5887   0.01300   0.00647  -0.0092   0.5552   0.9420
   4.500   0.6653   0.01323   0.00670  -0.0137   0.5197   0.9535
   5.000   0.7400   0.01353   0.00690  -0.0179   0.4715   0.9659
   5.500   0.8098   0.01406   0.00723  -0.0216   0.4042   0.9806
   6.000   0.8823   0.01499   0.00781  -0.0264   0.3394   0.9944
   6.500   0.9258   0.01574   0.00838  -0.0258   0.3053   1.0000
   7.000   0.9405   0.01638   0.00891  -0.0191   0.2851   1.0000
   7.500   0.9603   0.01717   0.00959  -0.0131   0.2668   1.0000
   8.000   0.9847   0.01800   0.01036  -0.0079   0.2499   1.0000
   9.000   1.0374   0.01975   0.01215   0.0015   0.2198   1.0000
   9.500   1.0605   0.02067   0.01315   0.0067   0.2052   1.0000
  10.000   1.0744   0.02159   0.01412   0.0133   0.1899   1.0000
  10.500   1.0878   0.02274   0.01530   0.0192   0.1735   1.0000
  11.000   1.1016   0.02407   0.01678   0.0242   0.1556   1.0000
  11.500   1.1144   0.02588   0.01868   0.0284   0.1369   1.0000
  12.000   1.1227   0.02839   0.02116   0.0320   0.1198   1.0000
  12.500   1.1308   0.03137   0.02415   0.0350   0.1054   1.0000
  13.000   1.1383   0.03472   0.02750   0.0374   0.0945   1.0000
  13.500   1.1473   0.03818   0.03112   0.0392   0.0857   1.0000
  14.000   1.1548   0.04199   0.03507   0.0407   0.0783   1.0000
  14.500   1.1629   0.04592   0.03899   0.0420   0.0721   1.0000
  15.000   1.1685   0.05029   0.04362   0.0426   0.0672   1.0000
  15.500   1.1816   0.05414   0.04745   0.0437   0.0628   1.0000
  16.000   1.1798   0.05969   0.05335   0.0433   0.0597   1.0000
  16.500   1.1837   0.06480   0.05863   0.0428   0.0569   1.0000
  17.000   1.1958   0.06940   0.06331   0.0433   0.0545   1.0000
  17.500   1.1752   0.07800   0.07235   0.0405   0.0532   1.0000
  18.000   1.1504   0.08791   0.08266   0.0366   0.0521   1.0000
