  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 63,3-418                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2424   0.01484   0.00849  -0.0718   0.7820   0.5253
  -4.500  -0.1873   0.01514   0.00874  -0.0711   0.7701   0.5466
  -4.000  -0.1312   0.01543   0.00894  -0.0705   0.7596   0.5665
  -3.500  -0.0766   0.01571   0.00919  -0.0699   0.7470   0.5842
  -3.000  -0.0202   0.01581   0.00917  -0.0697   0.7371   0.5993
  -2.500   0.0360   0.01584   0.00909  -0.0698   0.7257   0.6128
  -2.000   0.0911   0.01593   0.00918  -0.0694   0.7149   0.6227
  -1.500   0.1491   0.01583   0.00892  -0.0699   0.7056   0.6347
  -1.000   0.2037   0.01594   0.00905  -0.0697   0.6942   0.6446
  -0.500   0.2625   0.01589   0.00887  -0.0703   0.6862   0.6551
   0.000   0.3170   0.01599   0.00901  -0.0703   0.6747   0.6661
   0.500   0.3739   0.01605   0.00904  -0.0705   0.6660   0.6757
   1.000   0.4308   0.01612   0.00909  -0.0712   0.6556   0.6879
   1.500   0.4853   0.01629   0.00934  -0.0708   0.6466   0.6971
   2.000   0.5422   0.01636   0.00941  -0.0713   0.6368   0.7087
   2.500   0.5963   0.01661   0.00976  -0.0711   0.6271   0.7198
   3.000   0.6529   0.01668   0.00985  -0.0712   0.6178   0.7309
   3.500   0.7069   0.01695   0.01022  -0.0713   0.6070   0.7438
   4.000   0.7643   0.01704   0.01032  -0.0713   0.5983   0.7555
   4.500   0.8141   0.01728   0.01077  -0.0705   0.5862   0.7676
   5.000   0.8682   0.01745   0.01104  -0.0703   0.5750   0.7814
   5.500   0.9256   0.01740   0.01098  -0.0703   0.5629   0.7955
   6.000   0.9742   0.01739   0.01116  -0.0688   0.5481   0.8093
   6.500   1.0228   0.01731   0.01121  -0.0673   0.5316   0.8242
   7.000   1.0702   0.01706   0.01103  -0.0654   0.5112   0.8402
   7.500   1.1101   0.01705   0.01122  -0.0625   0.4899   0.8581
   8.000   1.1471   0.01708   0.01142  -0.0591   0.4670   0.8785
   8.500   1.1766   0.01715   0.01161  -0.0543   0.4405   0.9028
   9.000   1.1946   0.01731   0.01187  -0.0478   0.4082   0.9412
   9.500   1.2212   0.01824   0.01276  -0.0451   0.3584   1.0000
  10.000   1.2277   0.02066   0.01486  -0.0410   0.2973   1.0000
  10.500   1.2201   0.02435   0.01820  -0.0364   0.2373   1.0000
  11.000   1.2054   0.02914   0.02266  -0.0323   0.1850   1.0000
  11.500   1.1930   0.03442   0.02769  -0.0294   0.1431   1.0000
  12.000   1.1851   0.03980   0.03290  -0.0275   0.1158   1.0000
  12.500   1.1826   0.04509   0.03811  -0.0262   0.0983   1.0000
  13.000   1.1866   0.05007   0.04307  -0.0254   0.0861   1.0000
  13.500   1.1938   0.05489   0.04786  -0.0249   0.0768   1.0000
  14.000   1.2066   0.05937   0.05238  -0.0247   0.0696   1.0000
  14.500   1.2224   0.06357   0.05667  -0.0245   0.0635   1.0000
  15.000   1.2430   0.06722   0.06025  -0.0240   0.0586   1.0000
  15.500   1.2604   0.07153   0.06476  -0.0242   0.0546   1.0000
  16.000   1.2864   0.07480   0.06799  -0.0238   0.0510   1.0000
  16.500   1.2991   0.07995   0.07343  -0.0245   0.0482   1.0000
  17.000   1.3212   0.08385   0.07736  -0.0248   0.0456   1.0000
  17.500   1.3301   0.08977   0.08357  -0.0259   0.0435   1.0000
  18.000   1.3294   0.09703   0.09118  -0.0280   0.0418   1.0000
