  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 65(1)-212 a=0.6                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.500  -0.1145   0.01237   0.00663  -0.0379   0.8453   0.7224
  -2.000  -0.0725   0.01278   0.00707  -0.0337   0.8363   0.7891
  -1.500  -0.0244   0.01248   0.00683  -0.0315   0.8281   0.8237
  -1.000   0.0297   0.01252   0.00682  -0.0309   0.8210   0.8383
  -0.500   0.0829   0.01285   0.00714  -0.0300   0.8126   0.8506
   0.000   0.1352   0.01327   0.00755  -0.0292   0.8039   0.8654
   0.500   0.1849   0.01360   0.00785  -0.0284   0.7954   0.8902
   1.000   0.2326   0.01370   0.00795  -0.0271   0.7872   0.9155
   1.500   0.2909   0.01361   0.00788  -0.0274   0.7807   0.9356
   2.000   0.3620   0.01376   0.00813  -0.0310   0.7722   0.9526
   2.500   0.4423   0.01393   0.00842  -0.0366   0.7637   0.9672
   3.000   0.5298   0.01383   0.00848  -0.0434   0.7533   0.9780
   3.500   0.6121   0.01244   0.00710  -0.0470   0.7236   0.9915
   4.000   0.6737   0.01117   0.00576  -0.0470   0.6756   1.0000
   4.500   0.7116   0.01079   0.00540  -0.0432   0.6193   1.0000
   5.000   0.7099   0.01324   0.00595  -0.0332   0.2431   1.0000
   5.500   0.7086   0.01637   0.00795  -0.0245   0.0686   1.0000
   6.000   0.7303   0.01807   0.00960  -0.0192   0.0559   1.0000
   6.500   0.7564   0.01998   0.01144  -0.0149   0.0489   1.0000
   7.000   0.7941   0.02185   0.01339  -0.0122   0.0448   1.0000
   7.500   0.8451   0.02467   0.01614  -0.0118   0.0411   1.0000
   8.000   0.9013   0.02779   0.01957  -0.0116   0.0399   1.0000
   8.500   0.9535   0.03198   0.02423  -0.0109   0.0396   1.0000
   9.000   0.9964   0.03776   0.03058  -0.0092   0.0407   1.0000
