  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 65(1)-412                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2087   0.02058   0.01273  -0.0839   0.9239   0.0521
  -4.500  -0.1486   0.01763   0.00972  -0.0848   0.9153   0.0551
  -4.000  -0.0903   0.01616   0.00825  -0.0855   0.9053   0.0628
  -3.500  -0.0406   0.01489   0.00695  -0.0848   0.8925   0.0744
  -3.000   0.0005   0.01191   0.00593  -0.0841   0.8800   0.5354
  -2.500   0.0516   0.01203   0.00631  -0.0821   0.8697   0.6859
  -2.000   0.1018   0.01250   0.00680  -0.0795   0.8599   0.7445
  -1.500   0.1500   0.01284   0.00709  -0.0772   0.8481   0.7712
  -1.000   0.2038   0.01291   0.00706  -0.0768   0.8382   0.7830
  -0.500   0.2602   0.01289   0.00695  -0.0768   0.8294   0.7949
   0.000   0.3115   0.01305   0.00709  -0.0761   0.8183   0.8085
   0.500   0.3653   0.01316   0.00720  -0.0757   0.8093   0.8222
   1.000   0.4193   0.01325   0.00729  -0.0754   0.8000   0.8360
   1.500   0.4685   0.01349   0.00763  -0.0743   0.7895   0.8511
   2.000   0.5210   0.01357   0.00777  -0.0734   0.7816   0.8668
   2.500   0.5674   0.01376   0.00812  -0.0715   0.7706   0.8836
   3.000   0.6112   0.01386   0.00837  -0.0688   0.7585   0.9043
   3.500   0.6555   0.01369   0.00835  -0.0658   0.7448   0.9286
   4.000   0.7073   0.01264   0.00734  -0.0630   0.7171   0.9549
   4.500   0.7739   0.01155   0.00624  -0.0636   0.6679   0.9774
   5.000   0.8421   0.01124   0.00594  -0.0661   0.5964   1.0000
   5.500   0.8373   0.01376   0.00668  -0.0564   0.2636   1.0000
   6.000   0.8447   0.01761   0.00921  -0.0504   0.0648   1.0000
   6.500   0.8733   0.01963   0.01123  -0.0468   0.0514   1.0000
   7.000   0.9029   0.02180   0.01346  -0.0433   0.0456   1.0000
   7.500   0.9424   0.02423   0.01590  -0.0414   0.0417   1.0000
   8.000   1.0132   0.02851   0.02024  -0.0443   0.0387   1.0000
   8.500   1.0719   0.03219   0.02432  -0.0449   0.0374   1.0000
   9.000   1.1241   0.03799   0.03069  -0.0447   0.0379   1.0000
   9.500   1.1689   0.04487   0.03807  -0.0437   0.0401   1.0000
