  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 65-210                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4375   0.02249   0.01519  -0.0340   0.9792   0.0462
  -4.500  -0.3654   0.01930   0.01152  -0.0370   0.9713   0.0491
  -4.000  -0.2905   0.01686   0.00886  -0.0406   0.9645   0.0516
  -3.500  -0.2239   0.01478   0.00683  -0.0436   0.9543   0.0620
  -3.000  -0.1570   0.01319   0.00529  -0.0466   0.9438   0.0984
  -2.500  -0.1139   0.01073   0.00534  -0.0446   0.9309   0.7254
  -2.000  -0.0651   0.01139   0.00612  -0.0406   0.9188   0.8064
  -1.500  -0.0162   0.01174   0.00643  -0.0373   0.9068   0.8413
  -1.000   0.0371   0.01171   0.00628  -0.0363   0.8945   0.8578
  -0.500   0.0887   0.01165   0.00615  -0.0354   0.8812   0.8723
   0.000   0.1394   0.01162   0.00609  -0.0342   0.8683   0.8874
   0.500   0.1898   0.01161   0.00607  -0.0330   0.8555   0.9032
   1.000   0.2408   0.01159   0.00608  -0.0320   0.8431   0.9204
   1.500   0.2944   0.01157   0.00612  -0.0315   0.8313   0.9384
   2.000   0.3587   0.01151   0.00615  -0.0332   0.8201   0.9537
   2.500   0.4305   0.01130   0.00609  -0.0362   0.8016   0.9673
   3.000   0.5024   0.01025   0.00497  -0.0372   0.7484   0.9788
   3.500   0.5763   0.00977   0.00440  -0.0400   0.6579   0.9923
   4.000   0.5749   0.01312   0.00506  -0.0311   0.1085   1.0000
   4.500   0.6005   0.01478   0.00647  -0.0264   0.0612   1.0000
   5.000   0.6407   0.01647   0.00818  -0.0243   0.0501   1.0000
   5.500   0.6834   0.01921   0.01089  -0.0225   0.0448   1.0000
   6.000   0.7368   0.02199   0.01384  -0.0219   0.0431   1.0000
   6.500   0.7908   0.02530   0.01752  -0.0212   0.0409   1.0000
   7.000   0.8409   0.03080   0.02368  -0.0198   0.0426   1.0000
