  
       XFOIL         Version 6.96
  
 Calculated polar for: NLF(1)-0115                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.500  -0.0183   0.01594   0.01041  -0.0477   0.8285   0.7538
  -2.000   0.0315   0.01749   0.01194  -0.0425   0.8194   0.7899
  -1.500   0.0825   0.01740   0.01170  -0.0418   0.8103   0.7974
  -1.000   0.1315   0.01705   0.01119  -0.0418   0.8019   0.8014
  -0.500   0.1850   0.01683   0.01084  -0.0422   0.7947   0.8046
   0.000   0.2365   0.01662   0.01051  -0.0427   0.7870   0.8081
   0.500   0.2864   0.01652   0.01036  -0.0428   0.7787   0.8111
   1.000   0.3386   0.01651   0.01033  -0.0430   0.7708   0.8135
   1.500   0.3952   0.01614   0.00985  -0.0432   0.7561   0.8162
   2.000   0.4501   0.01563   0.00923  -0.0430   0.7359   0.8192
   2.500   0.5062   0.01540   0.00896  -0.0434   0.7231   0.8218
   3.000   0.5582   0.01525   0.00884  -0.0429   0.7084   0.8247
   3.500   0.6123   0.01503   0.00863  -0.0427   0.6927   0.8282
   4.000   0.6647   0.01480   0.00844  -0.0423   0.6749   0.8316
   4.500   0.7153   0.01452   0.00822  -0.0412   0.6540   0.8353
   5.000   0.7647   0.01420   0.00794  -0.0399   0.6282   0.8399
   5.500   0.8068   0.01390   0.00774  -0.0371   0.5911   0.8444
   6.000   0.8410   0.01373   0.00751  -0.0329   0.5153   0.8506
   6.500   0.8451   0.01493   0.00785  -0.0236   0.3671   0.8581
   7.000   0.8528   0.01637   0.00883  -0.0158   0.2920   0.8669
   7.500   0.8736   0.01771   0.00997  -0.0108   0.2504   0.8776
   8.000   0.9000   0.01893   0.01111  -0.0068   0.2225   0.8921
   8.500   0.9312   0.02012   0.01231  -0.0039   0.2011   0.9125
   9.000   0.9801   0.02146   0.01374  -0.0048   0.1815   0.9615
   9.500   1.0233   0.02297   0.01513  -0.0051   0.1666   1.0000
  10.000   1.0619   0.02446   0.01666  -0.0043   0.1532   1.0000
  10.500   1.0987   0.02603   0.01824  -0.0031   0.1418   1.0000
  11.000   1.1341   0.02769   0.01993  -0.0017   0.1316   1.0000
  11.500   1.1671   0.02945   0.02175  -0.0001   0.1220   1.0000
  12.000   1.1989   0.03136   0.02376   0.0016   0.1134   1.0000
  12.500   1.2285   0.03343   0.02597   0.0033   0.1057   1.0000
  13.000   1.2561   0.03569   0.02836   0.0051   0.0986   1.0000
  13.500   1.2850   0.03802   0.03078   0.0066   0.0921   1.0000
  14.000   1.3048   0.04055   0.03344   0.0085   0.0860   1.0000
  15.000   1.3206   0.04726   0.04067   0.0124   0.0749   1.0000
