  
       XFOIL         Version 6.96
  
 Calculated polar for: NLR-7301 AIRFOIL                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3909   0.01926   0.01196  -0.0600   0.9335   0.1917
  -4.500  -0.3355   0.01656   0.01082  -0.0644   0.9275   0.4409
  -4.000  -0.2827   0.01714   0.01179  -0.0636   0.9204   0.5652
  -3.500  -0.2155   0.01806   0.01269  -0.0647   0.9155   0.6041
  -3.000  -0.1644   0.01921   0.01386  -0.0628   0.9089   0.6258
  -2.500  -0.1204   0.02028   0.01499  -0.0595   0.8994   0.6419
  -2.000  -0.0550   0.02134   0.01612  -0.0593   0.8944   0.6542
  -1.000   0.0568   0.02355   0.01847  -0.0545   0.8737   0.6910
  -0.500   0.1408   0.02234   0.01730  -0.0540   0.8529   0.6966
   0.000   0.2127   0.02072   0.01563  -0.0534   0.8309   0.7038
   0.500   0.2797   0.01936   0.01422  -0.0556   0.8124   0.7136
   1.000   0.3341   0.01841   0.01330  -0.0530   0.7891   0.7175
   1.500   0.3876   0.01741   0.01229  -0.0505   0.7475   0.7228
   2.000   0.4379   0.01669   0.01080  -0.0480   0.5643   0.7293
   2.500   0.4492   0.01928   0.01134  -0.0419   0.2141   0.7365
   3.000   0.4864   0.02033   0.01196  -0.0389   0.1583   0.7406
   3.500   0.5311   0.02113   0.01255  -0.0373   0.1352   0.7457
   4.000   0.5817   0.02199   0.01324  -0.0372   0.1190   0.7530
   4.500   0.6330   0.02286   0.01397  -0.0371   0.1074   0.7582
   5.000   0.6808   0.02395   0.01495  -0.0358   0.0997   0.7628
   5.500   0.7335   0.02505   0.01592  -0.0355   0.0935   0.7690
   6.000   0.7941   0.02632   0.01718  -0.0370   0.0885   0.7764
   6.500   0.8477   0.02766   0.01841  -0.0366   0.0852   0.7811
   7.000   0.9020   0.02930   0.02023  -0.0364   0.0827   0.7871
   7.500   0.9596   0.03114   0.02218  -0.0372   0.0805   0.7947
   8.000   1.0104   0.03293   0.02405  -0.0366   0.0788   0.8010
   8.500   1.0623   0.03553   0.02672  -0.0365   0.0772   0.8080
   9.000   1.1045   0.03836   0.03004  -0.0353   0.0760   0.8155
   9.500   1.1359   0.04181   0.03400  -0.0323   0.0753   0.8220
  10.000   1.1608   0.04627   0.03898  -0.0294   0.0751   0.8301
  10.500   1.1693   0.05149   0.04477  -0.0248   0.0754   0.8377
  11.000   1.1592   0.05742   0.05125  -0.0191   0.0760   0.8459
  11.500   1.1377   0.06386   0.05812  -0.0139   0.0765   0.8535
  12.000   1.1171   0.07086   0.06545  -0.0105   0.0770   0.8613
  13.000   0.7088   0.16204   0.15817  -0.0617   0.0981   0.8562
  13.500   0.7241   0.16866   0.16480  -0.0649   0.0949   0.8638
  14.000   0.7512   0.17331   0.16947  -0.0648   0.0934   0.8720
  14.500   0.7413   0.18411   0.18030  -0.0741   0.0888   0.8789
  15.000   0.7597   0.18982   0.18604  -0.0766   0.0864   0.8888
  15.500   0.7877   0.19494   0.19119  -0.0769   0.0852   0.9009
  16.000   0.7826   0.20409   0.20038  -0.0859   0.0820   0.9115
  16.500   0.7979   0.20952   0.20587  -0.0886   0.0794   0.9298
  17.000   0.8219   0.21381   0.21021  -0.0898   0.0780   1.0000
  17.500   0.8636   0.22111   0.21748  -0.0901   0.0774   1.0000
  18.000   0.8529   0.22876   0.22513  -0.1044   0.0731   1.0000
