  
       XFOIL         Version 6.96
  
 Calculated polar for: NPL 9627 AIRFOIL                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5503   0.01558   0.00740   0.0002   1.0000   0.0737
  -4.500  -0.5114   0.01437   0.00641   0.0028   1.0000   0.1014
  -4.000  -0.4725   0.01269   0.00586   0.0046   1.0000   0.3064
  -3.500  -0.3933   0.01228   0.00570  -0.0008   0.9897   0.4006
  -3.000  -0.3105   0.01172   0.00545  -0.0066   0.9751   0.4847
  -2.500  -0.2311   0.01099   0.00520  -0.0114   0.9596   0.5844
  -2.000  -0.1561   0.01028   0.00506  -0.0144   0.9427   0.7142
  -1.500  -0.0876   0.00992   0.00500  -0.0151   0.9215   0.8165
  -1.000  -0.0264   0.00986   0.00498  -0.0138   0.8917   0.8818
  -0.500   0.0393   0.01000   0.00502  -0.0136   0.8580   0.9220
   0.000   0.1107   0.01022   0.00504  -0.0149   0.8180   0.9510
   0.500   0.1989   0.01043   0.00500  -0.0205   0.7756   0.9689
   1.000   0.2858   0.01057   0.00490  -0.0264   0.7283   0.9863
   1.500   0.3695   0.01064   0.00472  -0.0321   0.6779   1.0000
   2.000   0.4168   0.01072   0.00455  -0.0307   0.6334   1.0000
   2.500   0.4645   0.01084   0.00451  -0.0292   0.5894   1.0000
   3.000   0.5113   0.01104   0.00452  -0.0275   0.5447   1.0000
   3.500   0.5572   0.01129   0.00463  -0.0257   0.4972   1.0000
   4.000   0.6025   0.01161   0.00481  -0.0237   0.4493   1.0000
   4.500   0.6465   0.01205   0.00508  -0.0214   0.3952   1.0000
   5.000   0.6882   0.01270   0.00547  -0.0189   0.3247   1.0000
   5.500   0.7235   0.01404   0.00620  -0.0155   0.2065   1.0000
   6.000   0.7580   0.01564   0.00733  -0.0120   0.1450   1.0000
   6.500   0.7962   0.01686   0.00842  -0.0090   0.1272   1.0000
   7.000   0.8362   0.01802   0.00955  -0.0063   0.1156   1.0000
   7.500   0.8763   0.01938   0.01091  -0.0038   0.1071   1.0000
   8.000   0.9168   0.02110   0.01252  -0.0015   0.0995   1.0000
   8.500   0.9595   0.02247   0.01402   0.0005   0.0922   1.0000
   9.000   1.0017   0.02450   0.01612   0.0023   0.0852   1.0000
   9.500   1.0464   0.02700   0.01855   0.0035   0.0791   1.0000
  10.000   1.0860   0.02917   0.02107   0.0057   0.0742   1.0000
  10.500   1.1301   0.03218   0.02407   0.0066   0.0699   1.0000
  11.000   1.1594   0.03504   0.02749   0.0097   0.0666   1.0000
  11.500   1.1922   0.03777   0.03043   0.0119   0.0633   1.0000
  12.000   1.2170   0.04195   0.03490   0.0144   0.0607   1.0000
  12.500   1.2143   0.04617   0.03979   0.0198   0.0587   1.0000
  13.000   1.2036   0.05046   0.04450   0.0252   0.0570   1.0000
  13.500   1.2222   0.05358   0.04764   0.0270   0.0549   1.0000
  14.000   1.1987   0.06033   0.05475   0.0292   0.0538   1.0000
  14.500   1.1438   0.07037   0.06534   0.0275   0.0536   1.0000
  15.000   1.0811   0.08466   0.08007   0.0202   0.0538   1.0000
  16.500   0.5509   0.17006   0.16629  -0.0194   0.0760   1.0000
  17.000   0.5600   0.17444   0.17070  -0.0208   0.0712   1.0000
  17.500   0.5921   0.18088   0.17719  -0.0194   0.0695   1.0000
  18.000   0.5606   0.18569   0.18200  -0.0264   0.0650   1.0000
