  
       XFOIL         Version 6.96
  
 Calculated polar for: OAF128 AIRFOIL                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4457   0.01340   0.00634  -0.0302   1.0000   0.2430
  -4.500  -0.3837   0.01286   0.00597  -0.0315   1.0000   0.2831
  -4.000  -0.3206   0.01236   0.00563  -0.0331   1.0000   0.3190
  -3.500  -0.2512   0.01207   0.00549  -0.0361   0.9677   0.3558
  -3.000  -0.1969   0.01228   0.00562  -0.0345   0.8884   0.3895
  -2.500  -0.1478   0.01234   0.00558  -0.0318   0.8286   0.4205
  -2.000  -0.0940   0.01232   0.00544  -0.0303   0.7767   0.4504
  -1.500  -0.0371   0.01234   0.00531  -0.0296   0.7300   0.4828
  -1.000   0.0204   0.01235   0.00522  -0.0292   0.6876   0.5164
  -0.500   0.0786   0.01232   0.00511  -0.0289   0.6474   0.5478
   0.000   0.1379   0.01229   0.00508  -0.0290   0.6137   0.5823
   0.500   0.1967   0.01229   0.00511  -0.0290   0.5839   0.6230
   1.000   0.2550   0.01226   0.00522  -0.0288   0.5564   0.6765
   1.500   0.3109   0.01226   0.00538  -0.0279   0.5309   0.7466
   2.000   0.3608   0.01213   0.00553  -0.0254   0.5063   0.8413
   2.500   0.4087   0.01173   0.00524  -0.0224   0.4821   1.0000
   3.000   0.4720   0.01213   0.00542  -0.0238   0.4553   1.0000
   3.500   0.5335   0.01244   0.00553  -0.0247   0.4222   1.0000
   4.000   0.5946   0.01279   0.00579  -0.0255   0.3914   1.0000
   4.500   0.6548   0.01322   0.00611  -0.0261   0.3612   1.0000
   5.000   0.7144   0.01371   0.00648  -0.0267   0.3304   1.0000
   5.500   0.7735   0.01427   0.00692  -0.0273   0.2981   1.0000
   6.000   0.8320   0.01488   0.00748  -0.0278   0.2619   1.0000
   6.500   0.8892   0.01576   0.00821  -0.0283   0.2190   1.0000
   7.000   0.9450   0.01701   0.00927  -0.0287   0.1740   1.0000
   7.500   0.9992   0.01845   0.01054  -0.0289   0.1449   1.0000
   8.000   1.0510   0.02021   0.01211  -0.0289   0.1277   1.0000
   8.500   1.1020   0.02193   0.01381  -0.0286   0.1156   1.0000
   9.000   1.1526   0.02355   0.01552  -0.0282   0.1065   1.0000
   9.500   1.2006   0.02562   0.01767  -0.0275   0.0991   1.0000
  10.000   1.2468   0.02807   0.01999  -0.0268   0.0924   1.0000
  10.500   1.2918   0.02999   0.02225  -0.0258   0.0870   1.0000
  11.000   1.3350   0.03279   0.02500  -0.0249   0.0820   1.0000
  11.500   1.3721   0.03521   0.02783  -0.0233   0.0776   1.0000
  12.000   1.4117   0.03809   0.03066  -0.0222   0.0735   1.0000
  12.500   1.4338   0.04159   0.03468  -0.0199   0.0702   1.0000
  13.000   1.4539   0.04476   0.03809  -0.0175   0.0671   1.0000
  13.500   1.4710   0.04895   0.04238  -0.0152   0.0645   1.0000
  14.000   1.4447   0.05500   0.04901  -0.0128   0.0630   1.0000
  14.500   1.4212   0.06298   0.05744  -0.0145   0.0614   1.0000
  15.000   1.4010   0.07170   0.06650  -0.0179   0.0600   1.0000
  15.500   1.3844   0.08060   0.07561  -0.0217   0.0586   1.0000
  16.000   1.3542   0.09229   0.08754  -0.0270   0.0575   1.0000
  17.000   0.9696   0.21949   0.21581  -0.1091   0.0738   1.0000
  17.500   0.9682   0.23022   0.22653  -0.1193   0.0684   1.0000
  18.000   0.9917   0.23552   0.23186  -0.1205   0.0658   1.0000
