  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 66,2-(1.8)15.5 A=.6 P-51 ROOT AIRFOIL      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2895   0.02201   0.01354  -0.0601   0.8640   0.0732
  -4.500  -0.2978   0.02235   0.01389  -0.0496   0.8575   0.0821
  -4.000  -0.3004   0.02153   0.01365  -0.0400   0.8537   0.1849
  -3.500  -0.3556   0.02123   0.01426  -0.0212   0.8467   0.3777
  -3.000  -0.3711   0.02101   0.01556  -0.0072   0.8416   0.7272
  -2.500  -0.3309   0.02235   0.01684  -0.0031   0.8383   0.7798
  -2.000  -0.2685   0.02510   0.01965   0.0004   0.8356   0.8276
  -0.500  -0.1507   0.02821   0.02252   0.0117   0.8191   0.8829
   0.000  -0.1450   0.02835   0.02263   0.0193   0.8079   0.8923
   0.500  -0.0839   0.02819   0.02236   0.0176   0.8030   0.8987
   1.000  -0.0612   0.02829   0.02244   0.0220   0.7908   0.9049
   1.500   0.0146   0.02828   0.02238   0.0178   0.7864   0.9076
   2.000   0.0342   0.02808   0.02218   0.0228   0.7726   0.9156
   2.500   0.0939   0.02777   0.02188   0.0218   0.7589   0.9195
   3.000   0.2040   0.02649   0.02064   0.0135   0.7536   0.9191
   4.000   0.3040   0.02512   0.01943   0.0154   0.7257   0.9315
   4.500   0.4283   0.02225   0.01673   0.0062   0.7227   0.9299
   5.000   0.5982   0.01729   0.01193  -0.0095   0.7030   0.9226
   5.500   0.5972   0.01621   0.01098   0.0016   0.6649   0.9345
   6.000   0.6215   0.01487   0.00877   0.0095   0.4739   0.9456
   6.500   0.5895   0.01823   0.01077   0.0207   0.2276   0.9638
   7.000   0.6054   0.02181   0.01332   0.0227   0.0608   0.9756
   7.500   0.6550   0.02375   0.01533   0.0205   0.0529   0.9840
   8.000   0.7061   0.02601   0.01761   0.0178   0.0488   0.9912
   8.500   0.7651   0.02795   0.01960   0.0148   0.0461   0.9992
   9.000   0.7623   0.02831   0.01995   0.0234   0.0446   1.0000
   9.500   0.8286   0.03025   0.02176   0.0224   0.0424   1.0000
  10.000   0.8833   0.03230   0.02411   0.0223   0.0409   1.0000
  10.500   0.9456   0.03566   0.02785   0.0210   0.0396   1.0000
  11.000   1.0023   0.04117   0.03395   0.0201   0.0406   1.0000
  11.500   0.9926   0.03829   0.03183   0.0243   0.0430   1.0000
