  
       XFOIL         Version 6.96
  
 Calculated polar for: RAF 89 AIRFOIL                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2968   0.01927   0.01163  -0.0585   0.7468   0.3907
  -4.500  -0.2476   0.01893   0.01118  -0.0572   0.7390   0.4070
  -4.000  -0.2211   0.01881   0.01119  -0.0519   0.7273   0.4223
  -3.500  -0.1710   0.01833   0.01077  -0.0507   0.7188   0.4414
  -3.000  -0.1371   0.01825   0.01083  -0.0465   0.7080   0.4611
  -2.500  -0.0949   0.01800   0.01064  -0.0436   0.6979   0.4848
  -2.000  -0.0517   0.01800   0.01075  -0.0408   0.6881   0.5092
  -1.500  -0.0138   0.01802   0.01085  -0.0370   0.6764   0.5342
  -1.000   0.0336   0.01805   0.01083  -0.0348   0.6665   0.5601
  -0.500   0.0712   0.01805   0.01085  -0.0308   0.6540   0.5832
   0.000   0.1176   0.01799   0.01080  -0.0284   0.6425   0.6046
   0.500   0.1691   0.01774   0.01056  -0.0269   0.6304   0.6244
   1.000   0.2073   0.01764   0.01054  -0.0231   0.6164   0.6419
   1.500   0.2640   0.01736   0.01017  -0.0226   0.6045   0.6595
   2.000   0.2994   0.01721   0.00999  -0.0183   0.5894   0.6758
   2.500   0.3390   0.01714   0.01001  -0.0148   0.5739   0.6897
   3.000   0.3788   0.01704   0.00987  -0.0115   0.5589   0.7035
   3.500   0.4242   0.01699   0.00973  -0.0092   0.5442   0.7174
   4.000   0.4613   0.01698   0.00970  -0.0054   0.5285   0.7296
   4.500   0.4764   0.01704   0.00975   0.0022   0.5131   0.7430
   5.000   0.5087   0.01721   0.00996   0.0066   0.4984   0.7557
   5.500   0.5473   0.01741   0.01009   0.0097   0.4845   0.7699
   6.000   0.5791   0.01770   0.01035   0.0140   0.4707   0.7871
   6.500   0.6001   0.01815   0.01093   0.0200   0.4573   0.8087
   7.000   0.6397   0.01851   0.01132   0.0225   0.4445   0.8327
   7.500   0.6910   0.01891   0.01181   0.0227   0.4315   0.8610
   8.000   0.7584   0.01982   0.01293   0.0186   0.4172   0.8980
   8.500   0.8611   0.02103   0.01419   0.0079   0.4025   0.9277
   9.000   0.9619   0.02218   0.01525  -0.0018   0.3886   0.9514
   9.500   1.0336   0.02359   0.01672  -0.0073   0.3750   0.9801
  10.000   1.1122   0.02511   0.01828  -0.0145   0.3619   1.0000
  10.500   1.1191   0.02550   0.01846  -0.0076   0.3533   1.0000
  11.000   1.1101   0.02691   0.01996   0.0007   0.3440   1.0000
  11.500   1.1417   0.02769   0.02058   0.0036   0.3345   1.0000
  12.000   1.1362   0.02965   0.02268   0.0101   0.3249   1.0000
  12.500   1.1672   0.03059   0.02346   0.0126   0.3144   1.0000
  13.000   1.1578   0.03311   0.02614   0.0182   0.3039   1.0000
  13.500   1.1748   0.03491   0.02791   0.0212   0.2940   1.0000
  14.000   1.1839   0.03723   0.03027   0.0243   0.2845   1.0000
  14.500   1.1947   0.03978   0.03289   0.0269   0.2752   1.0000
  15.000   1.2135   0.04186   0.03493   0.0288   0.2659   1.0000
  15.500   1.2098   0.04573   0.03896   0.0312   0.2564   1.0000
  16.000   1.2373   0.04745   0.04057   0.0323   0.2472   1.0000
  16.500   1.2221   0.05268   0.04603   0.0342   0.2374   1.0000
  17.000   1.2259   0.05667   0.05007   0.0352   0.2277   1.0000
  17.500   1.2450   0.05932   0.05262   0.0358   0.2178   1.0000
  18.000   1.2206   0.06652   0.06007   0.0361   0.2074   1.0000
