  
       XFOIL         Version 6.96
  
 Calculated polar for: NASA/LANGLEY RC-10(N)1 AIRFOIL                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4193   0.03271   0.02716  -0.0235   0.9194   0.0785
  -4.500  -0.3818   0.02927   0.02310  -0.0208   0.8998   0.1021
  -4.000  -0.3405   0.02578   0.01941  -0.0192   0.8827   0.1335
  -3.500  -0.2930   0.02302   0.01610  -0.0169   0.8678   0.1580
  -3.000  -0.2157   0.01799   0.00974  -0.0127   0.8560   0.0446
  -2.500  -0.1662   0.01568   0.00737  -0.0110   0.8434   0.0467
  -2.000  -0.1170   0.01452   0.00618  -0.0096   0.8304   0.0562
  -1.500  -0.0692   0.01323   0.00490  -0.0079   0.8176   0.0939
  -1.000  -0.0044   0.01071   0.00549  -0.0069   0.8073   0.9575
  -0.500   0.1250   0.01109   0.00551  -0.0215   0.7972   0.9996
   0.000   0.1750   0.01098   0.00520  -0.0214   0.7837   1.0000
   0.500   0.2255   0.01098   0.00505  -0.0210   0.7697   1.0000
   1.000   0.2762   0.01103   0.00499  -0.0203   0.7553   1.0000
   1.500   0.3268   0.01109   0.00500  -0.0196   0.7405   1.0000
   2.000   0.3774   0.01117   0.00504  -0.0187   0.7252   1.0000
   2.500   0.4280   0.01123   0.00512  -0.0177   0.7094   1.0000
   3.000   0.4782   0.01124   0.00513  -0.0164   0.6917   1.0000
   3.500   0.5268   0.01097   0.00485  -0.0144   0.6639   1.0000
   4.000   0.5766   0.01082   0.00475  -0.0128   0.6362   1.0000
   4.500   0.6264   0.01073   0.00469  -0.0112   0.6027   1.0000
   5.000   0.6759   0.01077   0.00478  -0.0097   0.5549   1.0000
   5.500   0.7232   0.01111   0.00496  -0.0080   0.4657   1.0000
   6.000   0.7627   0.01270   0.00575  -0.0059   0.2918   1.0000
   6.500   0.7955   0.01539   0.00752  -0.0036   0.1345   1.0000
   7.000   0.8320   0.01743   0.00936  -0.0012   0.0904   1.0000
   7.500   0.8669   0.01963   0.01148   0.0015   0.0692   1.0000
   8.000   0.9037   0.02188   0.01381   0.0040   0.0562   1.0000
   8.500   0.9412   0.02461   0.01661   0.0063   0.0463   1.0000
   9.000   0.9818   0.02731   0.01967   0.0085   0.0406   1.0000
   9.500   1.0171   0.03179   0.02441   0.0104   0.0348   1.0000
  10.000   1.0473   0.03608   0.02940   0.0133   0.0323   1.0000
  10.500   1.0657   0.04117   0.03512   0.0165   0.0296   1.0000
  11.000   1.0782   0.04529   0.03954   0.0193   0.0270   1.0000
  11.500   1.0616   0.05221   0.04698   0.0235   0.0265   1.0000
  12.000   1.0306   0.05992   0.05520   0.0252   0.0266   1.0000
  12.500   0.9827   0.07084   0.06668   0.0225   0.0273   1.0000
  13.000   0.8696   0.09896   0.09541   0.0041   0.0315   1.0000
  13.500   0.8229   0.12310   0.11955  -0.0087   0.0365   1.0000
