  
       XFOIL         Version 6.96
  
 Calculated polar for: NASA RC(4)-10 AIRFOIL                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3757   0.01880   0.01117  -0.0259   0.8885   0.0555
  -4.500  -0.3250   0.01760   0.00980  -0.0244   0.8741   0.0648
  -4.000  -0.2741   0.01705   0.00927  -0.0230   0.8606   0.0811
  -3.500  -0.2209   0.01695   0.00900  -0.0221   0.8481   0.1018
  -3.000  -0.1674   0.01682   0.00888  -0.0216   0.8364   0.1200
  -2.500  -0.1139   0.01638   0.00838  -0.0209   0.8259   0.1362
  -2.000  -0.0618   0.01573   0.00764  -0.0196   0.8128   0.1501
  -1.500  -0.0104   0.01508   0.00693  -0.0180   0.7952   0.1636
  -1.000   0.0412   0.01445   0.00632  -0.0165   0.7799   0.1783
  -0.500   0.0921   0.01377   0.00574  -0.0150   0.7652   0.1968
   0.000   0.1431   0.01317   0.00524  -0.0134   0.7496   0.2249
   1.000   0.3203   0.01053   0.00486  -0.0240   0.7074   1.0000
   1.500   0.3700   0.01031   0.00446  -0.0221   0.6812   1.0000
   2.000   0.4203   0.01011   0.00415  -0.0203   0.6478   1.0000
   2.500   0.4695   0.00998   0.00377  -0.0182   0.5769   1.0000
   3.000   0.5112   0.01174   0.00401  -0.0161   0.3065   1.0000
   3.500   0.5584   0.01279   0.00470  -0.0149   0.2633   1.0000
   4.000   0.6055   0.01376   0.00539  -0.0135   0.2412   1.0000
   4.500   0.6530   0.01464   0.00613  -0.0120   0.2249   1.0000
   5.000   0.7008   0.01548   0.00688  -0.0106   0.2112   1.0000
   5.500   0.7489   0.01634   0.00773  -0.0092   0.2001   1.0000
   6.000   0.7965   0.01737   0.00872  -0.0078   0.1898   1.0000
   6.500   0.8444   0.01835   0.00966  -0.0065   0.1808   1.0000
   7.000   0.8921   0.01946   0.01088  -0.0052   0.1719   1.0000
   7.500   0.9402   0.02069   0.01205  -0.0040   0.1641   1.0000
   8.000   0.9872   0.02188   0.01345  -0.0027   0.1562   1.0000
   8.500   1.0348   0.02321   0.01475  -0.0017   0.1491   1.0000
   9.000   1.0801   0.02467   0.01651  -0.0004   0.1420   1.0000
   9.500   1.1262   0.02593   0.01781   0.0007   0.1354   1.0000
  10.000   1.1684   0.02778   0.01999   0.0022   0.1287   1.0000
  10.500   1.2116   0.02900   0.02130   0.0035   0.1223   1.0000
  11.000   1.2494   0.03117   0.02380   0.0052   0.1159   1.0000
  11.500   1.2875   0.03242   0.02522   0.0069   0.1097   1.0000
  12.000   1.3192   0.03483   0.02792   0.0090   0.1039   1.0000
  12.500   1.3477   0.03633   0.02969   0.0114   0.0979   1.0000
  13.000   1.3717   0.03869   0.03222   0.0139   0.0927   1.0000
  13.500   1.3759   0.04110   0.03501   0.0180   0.0876   1.0000
  14.000   1.3971   0.04308   0.03693   0.0200   0.0825   1.0000
  14.500   1.3794   0.04800   0.04241   0.0221   0.0788   1.0000
  15.000   1.3908   0.05060   0.04505   0.0227   0.0740   1.0000
  15.500   1.3753   0.05704   0.05180   0.0222   0.0704   1.0000
  16.000   1.3410   0.06656   0.06178   0.0192   0.0675   1.0000
  16.500   1.3597   0.06930   0.06434   0.0187   0.0623   1.0000
  17.000   1.3004   0.08479   0.08035   0.0109   0.0614   1.0000
  18.000   0.8835   0.21297   0.20893  -0.0626   0.0741   1.0000
