  
       XFOIL         Version 6.96
  
 Calculated polar for: RG-12                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4760   0.02080   0.01345  -0.0211   1.0000   0.0281
  -4.500  -0.4342   0.01758   0.00998  -0.0189   1.0000   0.0337
  -4.000  -0.3904   0.01567   0.00787  -0.0164   1.0000   0.0393
  -3.500  -0.3478   0.01349   0.00591  -0.0145   1.0000   0.0856
  -3.000  -0.3057   0.01201   0.00522  -0.0133   1.0000   0.2448
  -2.500  -0.2424   0.01030   0.00542  -0.0157   0.9903   0.6898
  -2.000  -0.1731   0.01056   0.00583  -0.0171   0.9753   0.8238
  -1.500  -0.1063   0.01070   0.00588  -0.0179   0.9596   0.8836
  -1.000  -0.0373   0.01067   0.00577  -0.0190   0.9448   0.9257
  -0.500   0.0506   0.01062   0.00559  -0.0243   0.9327   0.9553
   0.000   0.1643   0.01048   0.00534  -0.0354   0.9247   0.9703
   0.500   0.2770   0.01008   0.00490  -0.0465   0.9103   0.9804
   1.000   0.3743   0.00958   0.00438  -0.0547   0.8819   0.9885
   1.500   0.4565   0.00923   0.00396  -0.0598   0.8385   0.9972
   2.000   0.5096   0.00914   0.00375  -0.0591   0.7858   1.0000
   2.500   0.5485   0.00922   0.00366  -0.0557   0.7308   1.0000
   3.000   0.5842   0.00942   0.00373  -0.0517   0.6739   1.0000
   3.500   0.6174   0.00974   0.00387  -0.0473   0.6160   1.0000
   4.000   0.6510   0.01018   0.00411  -0.0430   0.5549   1.0000
   4.500   0.6898   0.01075   0.00451  -0.0397   0.4876   1.0000
   5.000   0.7317   0.01147   0.00501  -0.0371   0.4151   1.0000
   5.500   0.7743   0.01235   0.00566  -0.0349   0.3355   1.0000
   6.000   0.8155   0.01351   0.00652  -0.0326   0.2452   1.0000
   6.500   0.8550   0.01505   0.00765  -0.0303   0.1531   1.0000
   7.000   0.8919   0.01710   0.00932  -0.0277   0.0853   1.0000
   7.500   0.9269   0.01950   0.01166  -0.0245   0.0508   1.0000
   8.000   0.9598   0.02242   0.01468  -0.0211   0.0360   1.0000
   8.500   0.9950   0.02586   0.01829  -0.0182   0.0273   1.0000
   9.000   1.0323   0.02939   0.02227  -0.0155   0.0225   1.0000
   9.500   1.0632   0.03343   0.02672  -0.0125   0.0199   1.0000
  10.000   1.0817   0.03944   0.03337  -0.0087   0.0189   1.0000
  10.500   1.0814   0.04594   0.04058  -0.0034   0.0190   1.0000
  11.000   1.0562   0.05242   0.04770   0.0034   0.0195   1.0000
  11.500   1.0038   0.06219   0.05817   0.0058   0.0207   1.0000
  12.000   0.9513   0.07501   0.07144  -0.0002   0.0214   1.0000
  12.500   0.8945   0.09447   0.09117  -0.0145   0.0221   1.0000
  13.000   0.8357   0.12248   0.11921  -0.0314   0.0247   1.0000
  14.000 NaN      NaN       NaN       NaN        0.0413   1.0000
  14.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  15.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  15.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  16.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  16.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  17.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  17.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  18.000 NaN      NaN       NaN       NaN        1.0000   1.0000
