  
       XFOIL         Version 6.96
  
 Calculated polar for: RG 14 10% AIRFOIL                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4992   0.01825   0.01047  -0.0148   1.0000   0.0539
  -4.500  -0.4587   0.01647   0.00864  -0.0122   1.0000   0.0603
  -4.000  -0.4136   0.01515   0.00732  -0.0107   0.9988   0.0731
  -3.500  -0.3365   0.01384   0.00629  -0.0157   0.9883   0.1373
  -3.000  -0.2621   0.01256   0.00582  -0.0207   0.9763   0.3004
  -2.500  -0.1962   0.01098   0.00565  -0.0233   0.9627   0.6133
  -2.000  -0.1331   0.01065   0.00595  -0.0229   0.9483   0.8305
  -1.500  -0.0634   0.01070   0.00598  -0.0236   0.9345   0.9053
  -1.000   0.0407   0.01082   0.00595  -0.0314   0.9289   0.9466
  -0.500   0.1606   0.01078   0.00577  -0.0432   0.9201   0.9679
   0.000   0.2768   0.01037   0.00528  -0.0549   0.9054   0.9838
   0.500   0.3834   0.00976   0.00459  -0.0649   0.8769   0.9972
   1.000   0.4413   0.00949   0.00416  -0.0649   0.8305   1.0000
   1.500   0.4840   0.00945   0.00395  -0.0620   0.7829   1.0000
   2.000   0.5249   0.00951   0.00384  -0.0587   0.7331   1.0000
   2.500   0.5648   0.00966   0.00382  -0.0554   0.6834   1.0000
   3.000   0.6038   0.00991   0.00390  -0.0519   0.6337   1.0000
   3.500   0.6405   0.01024   0.00405  -0.0480   0.5784   1.0000
   4.000   0.6761   0.01066   0.00431  -0.0439   0.5223   1.0000
   4.500   0.7117   0.01117   0.00463  -0.0399   0.4647   1.0000
   5.000   0.7473   0.01181   0.00507  -0.0360   0.3994   1.0000
   5.500   0.7829   0.01268   0.00564  -0.0323   0.3223   1.0000
   6.000   0.8185   0.01388   0.00644  -0.0288   0.2378   1.0000
   6.500   0.8560   0.01521   0.00749  -0.0259   0.1806   1.0000
   7.000   0.8935   0.01674   0.00884  -0.0230   0.1436   1.0000
   7.500   0.9324   0.01822   0.01028  -0.0205   0.1170   1.0000
   8.000   0.9723   0.01960   0.01170  -0.0180   0.0971   1.0000
   8.500   1.0095   0.02142   0.01350  -0.0154   0.0819   1.0000
   9.000   1.0472   0.02338   0.01561  -0.0128   0.0703   1.0000
   9.500   1.0829   0.02537   0.01776  -0.0102   0.0598   1.0000
  10.000   1.1151   0.02758   0.02018  -0.0073   0.0507   1.0000
  10.500   1.1431   0.03035   0.02316  -0.0040   0.0432   1.0000
  11.000   1.1618   0.03259   0.02554   0.0003   0.0367   1.0000
  11.500   1.1739   0.03658   0.03002   0.0051   0.0323   1.0000
  12.000   1.1821   0.03977   0.03341   0.0093   0.0291   1.0000
  13.000   1.1568   0.05158   0.04621   0.0154   0.0257   1.0000
  13.500   1.1307   0.05971   0.05483   0.0150   0.0250   1.0000
  14.000   1.0940   0.07064   0.06622   0.0108   0.0247   1.0000
  14.500   1.0429   0.08622   0.08226   0.0017   0.0252   1.0000
  15.000   0.9786   0.10804   0.10441  -0.0127   0.0266   1.0000
  16.000   0.6713   0.17325   0.17015  -0.0428   0.0562   1.0000
  16.500   0.6607   0.18152   0.17841  -0.0496   0.0556   1.0000
  17.000   0.6510   0.18813   0.18502  -0.0563   0.0495   1.0000
  17.500   0.6771   0.19400   0.19097  -0.0562   0.0459   1.0000
  18.000   0.6823   0.20325   0.20022  -0.0600   0.0451   1.0000
