  
       XFOIL         Version 6.96
  
 Calculated polar for: RG 14A-1.4/7.0 AIRFOIL                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4369   0.03639   0.03132  -0.0298   1.0000   0.0645
  -4.500  -0.4020   0.03095   0.02572  -0.0276   1.0000   0.0719
  -4.000  -0.3485   0.02077   0.01383  -0.0222   1.0000   0.0245
  -3.500  -0.3023   0.01637   0.00883  -0.0197   1.0000   0.0278
  -3.000  -0.2561   0.01397   0.00629  -0.0173   1.0000   0.0339
  -2.500  -0.2103   0.01204   0.00427  -0.0152   1.0000   0.0623
  -2.000  -0.1804   0.00848   0.00381  -0.0108   1.0000   0.7497
  -1.500  -0.0885   0.00840   0.00381  -0.0160   1.0000   1.0000
  -1.000  -0.0612   0.00853   0.00366  -0.0118   1.0000   1.0000
  -0.500   0.0269   0.00881   0.00370  -0.0193   0.9868   1.0000
   0.000   0.1205   0.00892   0.00364  -0.0275   0.9709   1.0000
   0.500   0.2136   0.00878   0.00346  -0.0353   0.9531   1.0000
   1.000   0.3029   0.00845   0.00317  -0.0418   0.9305   1.0000
   1.500   0.3769   0.00814   0.00292  -0.0447   0.8923   1.0000
   2.000   0.4342   0.00806   0.00278  -0.0440   0.8387   1.0000
   2.500   0.4816   0.00823   0.00280  -0.0413   0.7735   1.0000
   3.000   0.5269   0.00861   0.00303  -0.0384   0.7012   1.0000
   3.500   0.5711   0.00910   0.00328  -0.0354   0.6141   1.0000
   4.000   0.6146   0.00981   0.00368  -0.0326   0.5126   1.0000
   4.500   0.6556   0.01089   0.00428  -0.0298   0.3694   1.0000
   5.000   0.6957   0.01247   0.00513  -0.0275   0.2018   1.0000
   5.500   0.7320   0.01536   0.00717  -0.0245   0.0532   1.0000
   6.000   0.7730   0.01789   0.00983  -0.0217   0.0396   1.0000
   6.500   0.8156   0.02129   0.01349  -0.0193   0.0329   1.0000
   7.000   0.8594   0.02470   0.01722  -0.0173   0.0240   1.0000
   7.500   0.8956   0.03159   0.02509  -0.0138   0.0215   1.0000
   8.000   0.9154   0.04046   0.03497  -0.0096   0.0221   1.0000
   9.500 NaN      NaN       NaN       NaN        0.0270   1.0000
  10.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  10.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  11.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  11.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  12.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  12.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  13.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  13.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  14.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  14.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  15.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  15.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  16.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  16.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  17.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  17.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  18.000 NaN      NaN       NaN       NaN        1.0000   1.0000
