  
       XFOIL         Version 6.96
  
 Calculated polar for: Rhode St. Genese 36                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.2554   0.01748   0.00908  -0.1027   0.7213   0.0891
  -4.500   0.3062   0.01641   0.00805  -0.1012   0.7035   0.0942
  -4.000   0.3549   0.01557   0.00723  -0.0992   0.6827   0.1008
  -3.500   0.4031   0.01498   0.00660  -0.0971   0.6568   0.1097
  -3.000   0.4494   0.01468   0.00624  -0.0946   0.6228   0.1249
  -2.500   0.4902   0.01450   0.00597  -0.0912   0.5739   0.1601
  -2.000   0.5192   0.01442   0.00573  -0.0860   0.4964   0.2170
  -1.500   0.5475   0.01466   0.00588  -0.0810   0.4507   0.3001
  -0.500   0.7381   0.01504   0.00730  -0.0971   0.4064   1.0000
   0.000   0.7783   0.01556   0.00765  -0.0944   0.3969   1.0000
   0.500   0.8221   0.01620   0.00804  -0.0923   0.3886   1.0000
   1.000   0.8687   0.01689   0.00856  -0.0909   0.3818   1.0000
   1.500   0.9122   0.01747   0.00907  -0.0890   0.3754   1.0000
   2.000   0.9589   0.01816   0.00961  -0.0877   0.3692   1.0000
   2.500   1.0128   0.01912   0.01041  -0.0879   0.3639   1.0000
   3.000   1.0556   0.01979   0.01113  -0.0860   0.3596   1.0000
   3.500   1.1014   0.02056   0.01190  -0.0847   0.3552   1.0000
   4.000   1.1501   0.02141   0.01271  -0.0841   0.3512   1.0000
   4.500   1.2043   0.02248   0.01369  -0.0847   0.3470   1.0000
   5.000   1.2522   0.02372   0.01498  -0.0843   0.3434   1.0000
   5.500   1.2929   0.02471   0.01612  -0.0826   0.3404   1.0000
   6.000   1.3318   0.02573   0.01728  -0.0807   0.3366   1.0000
   6.500   1.3726   0.02665   0.01823  -0.0791   0.3319   1.0000
   7.000   1.4259   0.02778   0.01927  -0.0799   0.3268   1.0000
   7.500   1.4566   0.02907   0.02075  -0.0770   0.3226   1.0000
   8.000   1.4823   0.03020   0.02210  -0.0733   0.3185   1.0000
   8.500   1.5076   0.03139   0.02344  -0.0696   0.3147   1.0000
   9.000   1.5451   0.03227   0.02435  -0.0680   0.3102   1.0000
   9.500   1.5918   0.03381   0.02591  -0.0684   0.3055   1.0000
  10.000   1.5880   0.03541   0.02782  -0.0609   0.3020   1.0000
  10.500   1.5931   0.03714   0.02979  -0.0555   0.2975   1.0000
  11.000   1.6139   0.03849   0.03127  -0.0524   0.2932   1.0000
  11.500   1.6780   0.03905   0.03175  -0.0550   0.2885   1.0000
  12.000   1.6438   0.04244   0.03555  -0.0464   0.2845   1.0000
  12.500   1.6186   0.04636   0.03980  -0.0405   0.2794   1.0000
  13.000   1.6426   0.04764   0.04117  -0.0391   0.2745   1.0000
  13.500   1.6784   0.04861   0.04219  -0.0388   0.2695   1.0000
  14.000   1.2711   0.09839   0.09298  -0.0342   0.2542   1.0000
  14.500   1.3707   0.08933   0.08397  -0.0324   0.2535   1.0000
  15.500   1.3974   0.09688   0.09176  -0.0347   0.2390   1.0000
  17.000   1.1865   0.15163   0.14687  -0.0544   0.1748   1.0000
  17.500   1.2448   0.14785   0.14321  -0.0540   0.1727   1.0000
  18.000   1.2716   0.14995   0.14538  -0.0557   0.1614   1.0000
