  
       XFOIL         Version 6.96
  
 Calculated polar for: S2062 8%                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.000  -0.2325   0.01196   0.00484  -0.0322   1.0000   0.1906
  -2.500  -0.1848   0.01103   0.00452  -0.0318   1.0000   0.3398
  -1.500  -0.0575   0.00972   0.00500  -0.0343   0.9817   0.8835
  -1.000   0.0418   0.00967   0.00480  -0.0429   0.9732   1.0000
  -0.500   0.1249   0.00969   0.00462  -0.0489   0.9585   1.0000
   0.000   0.2151   0.00955   0.00438  -0.0559   0.9463   1.0000
   0.500   0.2950   0.00929   0.00407  -0.0605   0.9293   1.0000
   1.000   0.3652   0.00898   0.00375  -0.0626   0.9086   1.0000
   1.500   0.4220   0.00877   0.00353  -0.0618   0.8806   1.0000
   2.000   0.4733   0.00867   0.00343  -0.0599   0.8457   1.0000
   2.500   0.5240   0.00865   0.00338  -0.0579   0.8029   1.0000
   3.000   0.5740   0.00876   0.00341  -0.0558   0.7490   1.0000
   3.500   0.6229   0.00905   0.00355  -0.0536   0.6794   1.0000
   4.000   0.6698   0.00961   0.00385  -0.0512   0.5880   1.0000
   4.500   0.7116   0.01065   0.00430  -0.0483   0.4486   1.0000
   5.000   0.7536   0.01196   0.00502  -0.0460   0.3110   1.0000
   5.500   0.7950   0.01368   0.00606  -0.0441   0.1623   1.0000
   6.000   0.8300   0.01690   0.00847  -0.0411   0.0452   1.0000
   6.500   0.8714   0.01915   0.01077  -0.0387   0.0372   1.0000
   7.000   0.9154   0.02155   0.01334  -0.0366   0.0337   1.0000
   7.500   0.9615   0.02491   0.01676  -0.0351   0.0315   1.0000
   9.000   1.0719   0.04242   0.03639  -0.0272   0.0303   1.0000
