  
       XFOIL         Version 6.96
  
 Calculated polar for: SELIG 3002-099-83                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2383   0.03756   0.03310  -0.0763   0.9622   0.0820
  -4.500  -0.1707   0.03195   0.02713  -0.0818   0.9530   0.0985
  -4.000  -0.0840   0.01972   0.01265  -0.0843   0.9463   0.0420
  -3.500  -0.0101   0.01676   0.00944  -0.0874   0.9379   0.0479
  -3.000   0.0655   0.01484   0.00752  -0.0909   0.9292   0.0612
  -2.500   0.1309   0.01334   0.00609  -0.0924   0.9157   0.0920
  -2.000   0.1831   0.01068   0.00574  -0.0920   0.9008   0.6697
  -1.500   0.2324   0.01078   0.00589  -0.0884   0.8842   0.7884
  -1.000   0.2751   0.01071   0.00579  -0.0833   0.8667   0.8465
  -0.500   0.3181   0.01054   0.00551  -0.0790   0.8474   0.8842
   0.000   0.3551   0.01021   0.00515  -0.0733   0.8266   0.9257
   0.500   0.4179   0.00984   0.00466  -0.0732   0.8064   0.9694
   1.000   0.4986   0.00963   0.00430  -0.0780   0.7829   0.9954
   1.500   0.5494   0.00962   0.00412  -0.0771   0.7569   1.0000
   2.000   0.6041   0.00967   0.00403  -0.0770   0.7262   1.0000
   2.500   0.6605   0.00979   0.00402  -0.0771   0.6897   1.0000
   3.000   0.7169   0.01000   0.00403  -0.0771   0.6488   1.0000
   3.500   0.7715   0.01033   0.00417  -0.0768   0.5998   1.0000
   4.000   0.8242   0.01083   0.00443  -0.0761   0.5451   1.0000
   4.500   0.8753   0.01148   0.00483  -0.0753   0.4879   1.0000
   5.000   0.9250   0.01228   0.00537  -0.0743   0.4341   1.0000
   5.500   0.9739   0.01314   0.00603  -0.0733   0.3837   1.0000
   6.000   1.0218   0.01407   0.00680  -0.0722   0.3375   1.0000
   6.500   1.0686   0.01507   0.00764  -0.0710   0.2941   1.0000
   7.000   1.1137   0.01616   0.00861  -0.0696   0.2537   1.0000
   7.500   1.1581   0.01730   0.00970  -0.0681   0.2157   1.0000
   8.000   1.1997   0.01864   0.01093  -0.0663   0.1823   1.0000
   8.500   1.2389   0.02016   0.01239  -0.0643   0.1530   1.0000
   9.000   1.2761   0.02179   0.01404  -0.0619   0.1282   1.0000
   9.500   1.3085   0.02379   0.01600  -0.0590   0.1087   1.0000
  10.000   1.3386   0.02584   0.01815  -0.0559   0.0939   1.0000
  10.500   1.3634   0.02818   0.02056  -0.0521   0.0832   1.0000
  11.000   1.3869   0.03067   0.02312  -0.0486   0.0745   1.0000
  11.500   1.4100   0.03331   0.02606  -0.0452   0.0679   1.0000
  12.000   1.4333   0.03675   0.02955  -0.0425   0.0619   1.0000
  12.500   1.4473   0.03995   0.03318  -0.0392   0.0575   1.0000
  13.000   1.4640   0.04364   0.03696  -0.0368   0.0533   1.0000
  13.500   1.4688   0.04873   0.04252  -0.0343   0.0502   1.0000
  14.000   1.4669   0.05409   0.04829  -0.0325   0.0475   1.0000
  14.500   1.4672   0.05948   0.05390  -0.0317   0.0449   1.0000
  15.000   1.4556   0.06795   0.06272  -0.0318   0.0428   1.0000
  15.500   1.4246   0.07798   0.07328  -0.0344   0.0421   1.0000
  16.000   1.3848   0.09088   0.08669  -0.0401   0.0416   1.0000
  16.500   1.3340   0.10783   0.10414  -0.0498   0.0415   1.0000
  17.000   1.2658   0.13134   0.12806  -0.0654   0.0423   1.0000
  17.500   0.8425   0.20993   0.20724  -0.1027   0.0733   1.0000
  18.000   0.8239   0.21832   0.21563  -0.1111   0.0660   1.0000
