  
       XFOIL         Version 6.96
  
 Calculated polar for: S3016-095-87                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3825   0.02101   0.01412  -0.0383   0.9787   0.0365
  -4.500  -0.3069   0.01791   0.01058  -0.0418   0.9708   0.0417
  -4.000  -0.2369   0.01543   0.00796  -0.0445   0.9605   0.0494
  -3.500  -0.1659   0.01387   0.00635  -0.0475   0.9497   0.0677
  -3.000  -0.1067   0.01181   0.00535  -0.0488   0.9362   0.3031
  -2.500  -0.0549   0.01077   0.00514  -0.0479   0.9205   0.5265
  -2.000  -0.0103   0.00995   0.00510  -0.0441   0.9042   0.7505
  -1.500   0.0712   0.00964   0.00503  -0.0469   0.8919   0.9258
  -1.000   0.1738   0.00958   0.00470  -0.0552   0.8785   0.9833
  -0.500   0.2442   0.00935   0.00422  -0.0578   0.8584   1.0000
   0.000   0.2838   0.00929   0.00397  -0.0542   0.8325   1.0000
   0.500   0.3271   0.00926   0.00377  -0.0512   0.8075   1.0000
   1.000   0.3727   0.00925   0.00361  -0.0486   0.7821   1.0000
   1.500   0.4199   0.00925   0.00348  -0.0463   0.7543   1.0000
   2.000   0.4681   0.00929   0.00341  -0.0442   0.7230   1.0000
   2.500   0.5169   0.00937   0.00335  -0.0422   0.6884   1.0000
   3.000   0.5658   0.00954   0.00340  -0.0403   0.6470   1.0000
   3.500   0.6145   0.00983   0.00353  -0.0385   0.5989   1.0000
   4.000   0.6627   0.01025   0.00378  -0.0367   0.5441   1.0000
   4.500   0.7100   0.01082   0.00414  -0.0349   0.4813   1.0000
   5.000   0.7562   0.01158   0.00466  -0.0332   0.4154   1.0000
   5.500   0.8017   0.01247   0.00532  -0.0314   0.3538   1.0000
   6.000   0.8468   0.01345   0.00614  -0.0298   0.3026   1.0000
   6.500   0.8917   0.01448   0.00705  -0.0282   0.2595   1.0000
   7.000   0.9358   0.01560   0.00807  -0.0265   0.2224   1.0000
   7.500   0.9795   0.01671   0.00922  -0.0248   0.1878   1.0000
   8.000   1.0213   0.01796   0.01048  -0.0229   0.1567   1.0000
   8.500   1.0610   0.01937   0.01190  -0.0208   0.1286   1.0000
   9.000   1.0984   0.02090   0.01353  -0.0185   0.1034   1.0000
   9.500   1.1336   0.02230   0.01500  -0.0162   0.0777   1.0000
  10.000   1.1639   0.02409   0.01684  -0.0134   0.0529   1.0000
  10.500   1.1723   0.02731   0.02007  -0.0078   0.0312   1.0000
  11.000   1.1755   0.03086   0.02384  -0.0024   0.0239   1.0000
  11.500   1.1739   0.03549   0.02873   0.0019   0.0205   1.0000
  12.000   1.1797   0.03955   0.03307   0.0043   0.0177   1.0000
  12.500   1.1796   0.04474   0.03851   0.0061   0.0165   1.0000
  13.000   1.1697   0.05199   0.04608   0.0072   0.0155   1.0000
  13.500   1.1522   0.06072   0.05524   0.0065   0.0152   1.0000
  14.000   1.1308   0.07027   0.06522   0.0034   0.0152   1.0000
  14.500   1.1020   0.08203   0.07740  -0.0024   0.0151   1.0000
  15.000   1.0690   0.09613   0.09186  -0.0105   0.0151   1.0000
  15.500   1.0379   0.11151   0.10758  -0.0200   0.0154   1.0000
  16.000   1.0075   0.12877   0.12513  -0.0312   0.0158   1.0000
